ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,year_earlier,6m_earlier,3m_earlier,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,1y_rtn_qtr_end,6m_rtn_qtr_end,3m_rtn_qtr_end,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
DDD,3D Systems Corporation,DDD.3Q14,1300,1315,3Q14,2014/3F,175.7,11/10/2014,1,9/30/2014,9/30/2013,3/31/2014,6/30/2014,0.17,0.21,0.21,-14.11,-21.61,-22.46,1.060,46.37,1.004,37.53,1.009,49.16,-47.490143,-23.657448,-14.87866,4.9714684,4.0064454,2.9855251,8.5,13.1,8.9,35.08915166,32.2029713,34.5860109,48.1,58.0,1.76,1.63,0.54237133,353.633,513.4,671.3556,0.023,0.027,0.021,-0.006,-52.462,-27.664,-17.864,-0.351596708,-0.043865989,0.08962466,0.014547522,0.13,28.28,20.47,-18.934,-20.068,89.84529159,11/7/2014,11/13/2014,11/3/2014,11/11/2013,10/13/2014,10/6/2014,8/11/2014
MMM,3M Company,MMM.3Q14,1200,1255,3Q14,2014/3F,305.9,10/23/2014,4,9/30/2014,9/30/2013,3/31/2014,6/30/2014,1.96,1.98,1.98,18.65,4.44,-1.09,8.057,141.68,8.039,135.05,7.906,145.13,15.37776,-6.9454966,-8.029145,11.31978,-6.3706517,-7.398784,2.7,5.1,4.6,1.65201091,1.176920218,1.215227014,152.2,150.6,1.72,1.78,0.57451314,29904,30871,32007.83,0.057,0.060,0.054,-0.005,4.058,-0.575,-0.630,-0.471157287,-0.411570483,0.40367281,0.359425762,-0.06,12.71,-1.06,-1.114,-1.059,7.035279561,10/22/2014,10/28/2014,10/16/2014,10/24/2013,9/25/2014,9/18/2014,7/24/2014
AOS,A. O. Smith Corporation,AOS.3Q14,1200,1230,3Q14,2014/3F,23.7,10/21/2014,2,9/30/2014,9/30/2013,3/31/2014,6/30/2014,0.28,0.28,0.29,4.60,2.74,-4.64,1.316,23.64,1.323,22.8,1.278,25.25,-5.954462,-9.702974,-8.726984,12.089443,-5.62917,-6.2942863,2.2,3.8,2.0,1.709407668,1.461815592,1.634182228,29.6,29.6,1.29,1.29,0.4501683,1939.3,2153.8,2351.84,0.056,0.058,0.051,-0.007,-18.044,-4.074,-2.433,-0.405116332,0.132209541,0.169372989,0.046032467,0.00,29.82,-0.17,-0.375,-1.327,21.27262414,10/20/2014,10/24/2014,10/14/2014,10/22/2013,9/23/2014,9/16/2014,7/22/2014
AAN,"Aaron's, Inc.",AAN.3Q14,4800,4830,3Q14,2014/3F,21.8,10/24/2014,5,9/30/2014,9/30/2013,3/31/2014,6/30/2014,0.38,0.37,0.40,-12.20,-19.58,-31.76,2.063,24.32,2.086,24.1,2.040,28.66,-12.345677,-15.910673,-3.4068167,11.794626,-4.754758,-6.169504,4.9,5.3,10.8,6.004282395,5.993640674,7.700739662,31.8,31.8,1.67,1.67,0.5,2222.58,2234.63,2689.02,0.085,0.087,0.071,-0.015,-24.140,-11.156,2.763,-0.075772807,-0.547881845,0.001775502,-0.220297964,0.00,31.74,0.00,1.672,-5.000,20.98642119,10/23/2014,10/29/2014,10/17/2014,10/25/2013,9/26/2014,9/19/2014,7/25/2014
ABT,Abbott Laboratories,ABT.3Q14,2300,2325,3Q14,2014/3F,197.7,10/22/2014,3,9/30/2014,9/30/2013,3/31/2014,6/30/2014,0.60,0.59,0.59,25.31,8.00,1.69,2.404,41.59,2.401,40.01,2.349,42.97,14.504433,-6.8885326,-7.768565,13.486349,-6.429231,-7.068217,2.2,3.8,1.9,0.796266065,0.729357602,0.613164217,45.1,44.0,1.52,1.59,0.58008933,39874,21848,22369.35,0.058,0.060,0.055,-0.005,1.018,-0.459,-0.700,-0.425045059,0.170027202,0.091736156,0.298617962,-0.07,12.67,-2.35,1.671,1.235,-43.89990972,10/21/2014,10/27/2014,10/15/2014,10/23/2013,9/24/2014,9/17/2014,7/23/2014
ABBV,"AbbVie, Inc.",ABBV.3Q14,2300,2305,3Q14,2014/3F,677.2,10/31/2014,5,9/30/2014,9/30/2013,3/31/2014,6/30/2014,0.77,0.77,0.77,29.13,12.37,2.34,3.734,57.76,3.870,60.29,3.587,52.48,19.87337,14.881861,1.8584251,10.857987,1.8897533,-0.8574188,8.7,11.0,3.6,7.036235497,5.969942651,4.005753559,63.9,66.8,1.25,1.33,0.4472136,18380,18790,19666.559,0.065,0.064,0.068,0.004,9.015,12.992,2.716,-0.209850019,1.451786859,0.178610233,0.756532296,-0.08,5.92,4.53,0.394,0.621,6.999776931,10/30/2014,11/5/2014,10/24/2014,11/1/2013,10/3/2014,9/26/2014,8/1/2014
ANF,Abercrombie & Fitch Co. Class A,ANF.3Q14,3500,3525,3Q14,2014/3F,80.2,12/03/2014,3,9/30/2014,9/30/2013,3/31/2014,6/30/2014,0.41,0.68,0.72,2.74,-5.61,-15.98,2.682,36.34,2.101,29.32,2.636,41.71,-5.2955985,-29.705107,-12.997037,12.323022,3.3475041,4.487467,7.1,6.9,4.6,29.77137285,24.00165321,21.74171478,33.7,45.3,1.73,1.59,0.5167644,4510.8,4116.89,3799.6804,0.074,0.072,0.063,-0.008,-17.619,-33.053,-17.485,0.027130082,0.528809765,0.240388426,0.369320367,0.13,15.10,34.11,-39.971,-43.182,-15.7648222,12/2/2014,12/8/2014,11/26/2014,12/4/2013,11/5/2014,10/29/2014,9/3/2014
AXAS,Abraxas Petroleum Corporation,AXAS.3Q14,2100,2105,3Q14,2014/3F,14.2,11/05/2014,3,9/30/2014,9/30/2013,3/31/2014,6/30/2014,0.15,0.15,0.14,105.37,33.33,-15.65,0.651,5.28,0.576,4.1,0.588,5.11,42.496063,-19.76517,-17.670685,10.330892,3.099656,2.108562,3.5,3.5,3.5,10.46554727,9.615665593,8.752469008,6.5,6.9,1.35,1.23,0.4116363,68.573,94.331,154.67233,0.123,0.140,0.115,-0.025,32.165,-22.865,-19.779,0,0.01595801,0.088385112,0.195725144,0.12,58.54,6.15,-2.158,7.171,125.5586455,11/4/2014,11/10/2014,10/29/2014,11/6/2013,10/8/2014,10/1/2014,8/6/2014
ACHC,"Acadia Healthcare Company, Inc.",ACHC.3Q14,3350,3365,3Q14,2014/3F,16.6,10/30/2014,4,9/30/2014,9/30/2013,3/31/2014,6/30/2014,0.41,0.41,0.41,23.00,7.49,6.59,1.845,48.5,1.875,52.7,1.755,47.66,12.930716,10.574913,3.8833022,9.961807,0.93466043,-0.68133473,17.8,19.4,8.1,11.14971555,10.93496529,10.56295768,57.9,57.2,1.27,1.29,0.4169047,407.461,713.408,996.3002,0.038,0.036,0.037,0.001,2.969,9.640,4.565,-0.081302962,1.210011447,0.01963886,0.055548633,-0.02,9.79,-1.08,-0.921,-0.921,144.514248,10/29/2014,11/4/2014,10/23/2014,10/31/2013,10/2/2014,9/25/2014,7/31/2014
ACN,Accenture Plc Class A,ACN.3Q14,3300,3308,3Q14,2014/4F,202.6,09/24/2014,3,9/30/2014,9/30/2013,3/31/2014,6/30/2014,1.09,1.10,1.15,10.43,2.01,0.59,4.875,81.32,4.935,79.68,4.848,83.06,6.384659,-4.0693464,-0.895524,17.667221,1.827383,0.6467581,10.3,7.5,9.6,2.87560707,2.782278726,2.89056539,88.0,87.1,1.54,1.52,0.48715383,27862.3,28562.8,29842.209,0.060,0.062,0.058,-0.004,-11.283,-5.897,-1.542,0.36840494,0.070344868,0.033543851,-0.005174877,0.02,10.38,-0.96,-0.526,-4.945,7.106050111,9/23/2014,9/29/2014,9/17/2014,9/25/2013,8/27/2014,8/20/2014,6/25/2014
