ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
DDD,3D Systems Corporation,DDD.4Q14,1300,1315,4Q14,2014/4F,115.9,02/26/2015,-2.6,0.24,0.21,-0.03,-7.4,4,2/25/2015,3/3/2015,-2.6,-0.3,-2.3,22,2/19/2015,0.31,0.20,0.11,-0.312
MMM,3M Company,MMM.4Q14,1200,1255,4Q14,2014/4F,430.8,01/27/2015,-1.2,1.80,1.81,0.01,-0.7,2,1/26/2015,1/30/2015,-1.2,-3.0,1.8,14,1/20/2015,1.83,1.77,0.06,0.238
AOS,A. O. Smith Corporation,AOS.4Q14,1200,1230,4Q14,2014/4F,25.1,01/27/2015,6.4,0.30,0.32,0.02,2.7,2,1/26/2015,1/30/2015,6.4,-3.0,9.3,10,1/20/2015,0.31,0.29,0.02,0.775
AAN,"Aaron's, Inc.",AAN.4Q14,4800,4830,4Q14,2014/4F,16.2,02/06/2015,-0.8,0.36,0.39,0.03,2.9,5,2/5/2015,2/11/2015,-0.8,0.2,-1.0,6,1/30/2015,0.38,0.33,0.05,0.600
ABAX,"Abaxis, Inc.",ABAX.4Q14,2300,2325,4Q14,2014/3F,10.8,01/30/2015,-2.2,0.25,0.26,0.01,14.1,5,1/29/2015,2/4/2015,-2.2,1.0,-3.2,8,1/23/2015,0.28,0.23,0.05,0.200
ABT,Abbott Laboratories,ABT.4Q14,2300,2325,4Q14,2014/4F,218.1,01/29/2015,5.6,0.68,0.71,0.03,-1.2,4,1/28/2015,2/3/2015,5.6,2.4,3.2,13,1/22/2015,0.70,0.66,0.04,0.679
ABBV,"AbbVie, Inc.",ABBV.4Q14,2300,2305,4Q14,2014/4F,734.3,01/30/2015,-9.8,0.86,0.89,0.03,2.0,5,1/29/2015,2/4/2015,-9.8,1.0,-10.8,11,1/23/2015,0.90,0.81,0.09,0.372
ANF,Abercrombie & Fitch Co. Class A,ANF.4Q14,3500,3525,4Q14,2014/4F,88.9,03/04/2015,-13.6,1.14,1.15,0.01,-3.9,3,3/3/2015,3/9/2015,-13.6,-1.3,-12.3,30,2/25/2015,1.30,0.77,0.53,0.011
ABMD,"ABIOMED, Inc.",ABMD.4Q14,2300,2325,4Q14,2014/3F,11.6,01/28/2015,34.2,0.04,0.30,0.26,15.9,3,1/27/2015,2/2/2015,34.2,-0.5,34.8,8,1/21/2015,0.06,0.01,0.05,5.257
AXAS,Abraxas Petroleum Corporation,AXAS.4Q14,2100,2105,4Q14,2014/4F,12.2,03/05/2015,0.6,0.05,0.06,0.02,-13.0,4,3/4/2015,3/10/2015,0.6,-2.5,3.2,11,2/26/2015,0.14,0.02,0.12,0.125
