ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
DDD,3D Systems Corporation,DDD.3Q14,1300,1315,3Q14,2014/3F,175.7,11/10/2014,-13.3,0.21,0.18,-0.03,-10.3,1,11/7/2014,11/13/2014,-3.1,0.3,-3.5,21,11/3/2014,0.21,0.15,0.06,-0.476
MMM,3M Company,MMM.3Q14,1200,1255,3Q14,2014/3F,305.9,10/23/2014,8.7,1.96,1.98,0.02,-1.1,4,10/22/2014,10/28/2014,8.7,3.1,5.6,12,10/16/2014,2.00,1.92,0.08,0.221
AOS,A. O. Smith Corporation,AOS.3Q14,1200,1230,3Q14,2014/3F,23.7,10/21/2014,6.7,0.28,0.30,0.01,-0.5,2,10/20/2014,10/24/2014,6.7,3.1,3.6,11,10/14/2014,0.31,0.28,0.03,0.409
AAN,"Aaron's, Inc.",AAN.3Q14,4800,4830,3Q14,2014/3F,21.8,10/24/2014,-2.4,0.37,0.39,0.02,1.9,5,10/23/2014,10/29/2014,-2.4,1.7,-4.1,8,10/17/2014,0.39,0.36,0.03,0.542
ABT,Abbott Laboratories,ABT.3Q14,2300,2325,3Q14,2014/3F,197.7,10/22/2014,-0.4,0.59,0.62,0.03,-8.8,3,10/21/2014,10/27/2014,-0.4,1.0,-1.4,16,10/15/2014,0.62,0.49,0.13,0.214
ABBV,"AbbVie, Inc.",ABBV.3Q14,2300,2305,3Q14,2014/3F,677.2,10/31/2014,2.2,0.77,0.89,0.12,3.9,5,10/30/2014,11/5/2014,2.2,1.4,0.8,7,10/24/2014,0.79,0.76,0.03,3.887
ANF,Abercrombie & Fitch Co. Class A,ANF.3Q14,3500,3525,3Q14,2014/3F,80.2,12/03/2014,-5.4,0.41,0.42,0.01,-0.1,3,12/2/2014,12/8/2014,-5.4,-0.3,-5.1,32,11/26/2014,0.72,0.40,0.32,0.025
AXAS,Abraxas Petroleum Corporation,AXAS.3Q14,2100,2105,3Q14,2014/3F,14.2,11/05/2014,7.6,0.15,0.15,0.00,-3.4,3,11/4/2014,11/10/2014,7.6,1.3,6.3,10,10/29/2014,0.17,0.11,0.06,-0.019
ACHC,"Acadia Healthcare Company, Inc.",ACHC.3Q14,3350,3365,3Q14,2014/3F,16.6,10/30/2014,14.9,0.41,0.46,0.05,3.4,4,10/29/2014,11/4/2014,14.9,1.5,13.4,14,10/23/2014,0.43,0.40,0.03,1.481
ACN,Accenture Plc Class A,ACN.3Q14,3300,3308,3Q14,2014/4F,202.6,09/24/2014,0.4,1.10,1.08,-0.02,2.0,3,9/23/2014,9/29/2014,0.4,-0.3,0.7,1,9/17/2014,1.13,1.08,0.05,-0.430
ACIW,"ACI Worldwide, Inc.",ACIW.3Q14,3300,3310,3Q14,2014/3F,10.5,10/30/2014,-3.4,0.14,0.18,0.04,-3.5,4,10/29/2014,11/4/2014,-3.4,1.5,-4.9,6,10/23/2014,0.16,0.11,0.05,0.733
ACOR,"Acorda Therapeutics, Inc.",ACOR.3Q14,2300,2320,3Q14,2014/3F,20.5,10/30/2014,-3.1,0.06,0.28,0.22,12.1,4,10/29/2014,11/4/2014,-3.1,1.5,-4.6,9,10/23/2014,0.18,-0.03,0.21,1.050
ATVI,"Activision Blizzard, Inc.",ATVI.3Q14,1400,1435,3Q14,2014/3F,139.6,11/05/2014,4.9,0.13,0.23,0.10,16.3,3,11/4/2014,11/10/2014,4.9,1.3,3.6,22,10/29/2014,0.18,0.11,0.07,1.407
ATU,Actuant Corporation Class A,ATU.3Q14,1200,1210,3Q14,2014/4F,16.7,10/02/2014,-0.3,0.52,0.51,-0.01,0.1,4,10/1/2014,10/7/2014,-0.3,-0.6,0.3,5,9/25/2014,0.53,0.51,0.02,-0.700
AYI,"Acuity Brands, Inc.",AYI.3Q14,1200,1235,3Q14,2014/4F,49.1,10/01/2014,13.0,1.22,1.26,0.04,3.1,3,9/30/2014,10/6/2014,13.0,-0.4,13.4,13,9/24/2014,1.28,1.16,0.12,0.300
ADBE,Adobe Inc.,ADBE.3Q14,3300,3310,3Q14,2014/3F,186.9,09/17/2014,-5.0,0.26,0.28,0.02,-1.0,3,9/16/2014,9/22/2014,-5.0,-0.4,-4.6,1,9/10/2014,0.29,0.25,0.04,0.394
ADT.I,ADT Corporation,ADT.I.3Q14,3200,3205,3Q14,2014/4F,64.0,11/12/2014,-0.7,0.48,0.55,0.07,0.6,3,11/11/2014,11/17/2014,-0.7,0.0,-0.7,7,11/5/2014,0.52,0.44,0.08,0.862
ATGE,Adtalem Global Education Inc.,ATGE.3Q14,3400,3450,3Q14,2015/1F,19.1,10/24/2014,3.5,0.29,0.47,0.18,1.4,5,10/23/2014,10/29/2014,3.5,1.7,1.8,11,10/17/2014,0.41,0.19,0.22,0.802
AAP,"Advance Auto Parts, Inc.",AAP.3Q14,3500,3540,3Q14,2014/3F,87.4,11/06/2014,-2.9,1.88,1.89,0.01,0.2,4,11/5/2014,11/11/2014,-2.9,0.8,-3.8,22,10/30/2014,1.99,1.75,0.24,0.051
AMD,"Advanced Micro Devices, Inc.",AMD.3Q14,1300,1305,3Q14,2014/3F,121.0,10/17/2014,0.0,0.04,0.03,-0.01,-3.0,5,10/16/2014,10/22/2014,0.0,3.4,-3.4,25,10/10/2014,0.06,0.03,0.03,-0.369
ABCO,Advisory Board Company,ABCO.3Q14,3200,3205,3Q14,2014/2F,13.9,11/07/2014,-11.3,0.29,0.43,0.14,-1.5,5,11/6/2014,11/12/2014,-11.3,0.4,-11.7,16,10/31/2014,0.32,0.25,0.07,1.986
ACM,AECOM,ACM.3Q14,3100,3115,3Q14,2014/4F,56.6,11/11/2014,-1.4,0.81,0.79,-0.02,14.0,2,11/10/2014,11/14/2014,-1.4,0.0,-1.5,8,11/4/2014,0.86,0.71,0.15,-0.153
