EXR
LCII
CASY
CCMP
MWV
NTGR
TEL
RHI
UBNT
WFT
APTI
CNMD
PPC
COV
IRWD
SPB.1
ARTC
URS
GIS
BRKR
KRA
PLXS
HTH
CAKE
TROW
MRK
SFM
FTK
LNCE
TIME
COR
SYNA
EMLX
EFII
ENPH
COUP
PEB
CLNY
IBKC
SWX
CSGS
CTB
MTSC
ED
LXU
CSL
HCA
AJRD
IT
LZB
WAL
BHE
MRD
SLAB
MPC
ICLR
ASTE
PSX
FCN
PANW
GMED
STJ
HD
VRA
GE
RBC
DNOW
AMPH
SUSS
MUR
FWONA
WY
SNR
LHO
ATGE
EMR
CVX
CONN
RPM
AIR
ITGR
VREX
TRUE
MANT
RJF
BRE
LGIH
NUE
FCE.A
INVH
CPE
CARB
UNH
SEE
PETS
LC
VTR
FE
UFS
LEN
CPST
PSA
NOG
MTCH
LXRX
CLD
CMLSQ
JOSB
TFM
CBT
ZBRA
IBKR
AVGO
VSAT
LBTYA
DEI
LE
MGNX
RPAI
RYL
KOG
JBL
FLT
RMD
CODE
NEU
FTI.1
TWX
RGC
FLOW
HW
TOO
ASGN
XEC
OME
QGEN
AXE
OII
BSIG
CDNS
LB
MKSI
EEP
CBPO
FLDM
LYV
AGR
BSX
LVLT
RTRX
NSA
DECK
TGP
WETF
SE.I
HUBS
BATS
IMPR
RUBI
TECH
ESS
IRDM
SGNT
ELGX
CY
CRK
UDR
VOLC
AFL
IRTC
GEF
TUP
NI
MORE
TRTN
THG
VLY
SCTY
LNTH
IIIN
DOV
MAN
SBH
CHRS
BAS
MKC
TSE
EPAY
NCS
ACIA
CACC
FMI
WU
FRTA
RCAPQ
FGL
GPS
SF
MTZ
UCBI
CAB
CBM
LIN
MDRX
UHS
HSC
HZNP
PTP
FMER
ARE
JKHY
CNHI
LIVN
FARO
FIVE
LABL
MOG.A
CC
B4K007
JCOM
FOE
ORA
LHCG
NUS
TRU
IDCC
LTM.2
ATI
BMS
NGL
GLNG
CGNX
GMLP
GLOB
FRC
BXLT
HDS
ACIW
PI
TTC
BR
EXP
TMUS
MCRL
WIFI
NBL
BBBY
NHI
KOS
DLPH
KALU
KEGXQ
TMO
CME
TCBI
KHC
ONB
OIS
GRUB
BANR
IRM
AVT
FLIR
CADX
ALEX
AMRI
TNET
VIAB
SAM
MPWR
CB
DHR
L
STL
KEM
TRHC
DAL
AXP
NDSN
STRZA
CAH
CFG
APTV
FUEL
MSGN
TFX
PSMT
LLY
NWSA
DG
TGE
CONE
QRE
QLGC
PCTY
MLNX
WHR
DXC
SCHN
PBY
BPL
MUSA
AXS
PFPT
HOLX
MDAS
PODD
TRN
MTN
BKS
AWR
SIX
AMRX
EXPE
GPI
EVHC
PMCS
LOW
MD
FUL
TVL
ALTR.1
INTC
FWLT
JRVR
NVRO
BMRN
LGF.A
SYNT
IRBT
MITL
SLGN
WYNN
H
MHRCQ
NXTM
ODFL
CBU
SWN
ALGN
FAF
CMPR
RESI
VOYA
STRA
CFFN
MHK
FSK
TUBE
KBH
SJW
DOOR
VIAV
KIM
PUMP
FINL
ATHL
HMHC
SWK
AEE
CXW
DUK
RDC
WPG
TDS
NVR
NTK
ENT
ARNC
KLAC
ESIO
CLMT
CVBF
AON
HSY
ABM
SIRO
SNEC
FBC
DNKN
MXIM
BANC
HSH
AXAS
TK
FND
BXS
ABCO
AFSI
VNCE
