ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
CRC,California Resources Corp,CRC.4Q15,2100,2105,4Q15,2015/4F,24.3,03/01/2016,213.1,-2.54,-2.00,0.54,4.0,2,2/29/2016,3/4/2016,213.1,3.6,209.5,10,2/23/2016,-2.00,-3.00,1.00,0.544
HPR,HighPoint Resources Corp.,HPR.4Q15,2100,2105,4Q15,2015/4F,11.9,03/02/2016,94.3,-0.04,0.07,0.11,1.5,3,3/1/2016,3/7/2016,94.3,1.4,92.9,21,2/24/2016,0.11,-0.12,0.23,0.498
GRPN,"Groupon, Inc.",GRPN.4Q15,3200,3210,4Q15,2015/4F,29.7,02/12/2016,71.4,0.00,0.04,0.04,8.4,5,2/11/2016,2/17/2016,69.2,5.4,63.8,20,2/5/2016,0.02,-0.02,0.04,0.967
SGMS,Scientific Games Corporation,SGMS.4Q15,3400,3445,4Q15,2015/4F,12.0,02/26/2016,46.0,-1.10,-1.48,-0.38,6.4,5,2/25/2016,3/2/2016,46.0,1.9,44.1,11,2/19/2016,-0.57,-2.45,1.88,-0.201
FOSL,"Fossil Group, Inc.",FOSL.4Q15,1400,1445,4Q15,2015/4F,85.8,02/17/2016,33.3,1.31,1.46,0.15,7.0,3,2/16/2016,2/22/2016,33.3,2.6,30.7,12,2/10/2016,1.55,1.15,0.40,0.370
AKAM,"Akamai Technologies, Inc.",AKAM.4Q15,3300,3320,4Q15,2015/4F,138.5,02/10/2016,32.8,0.62,0.72,0.10,1.8,3,2/9/2016,2/15/2016,28.3,0.7,27.6,23,2/3/2016,0.64,0.58,0.06,1.598
DAR,Darling Ingredients Inc.,DAR.4Q15,2200,2225,4Q15,2015/4F,15.2,03/02/2016,32.5,0.03,0.52,0.49,-4.0,3,3/1/2016,3/7/2016,32.5,1.4,31.1,5,2/24/2016,0.08,0.03,0.05,9.800
JCP,"J. C. Penney Company, Inc.",JCP.4Q15,3500,3515,4Q15,2015/4F,113.8,02/25/2016,32.2,0.22,0.39,0.17,0.2,4,2/24/2016,3/1/2016,32.2,2.6,29.6,21,2/18/2016,0.28,0.12,0.16,1.076
WYNN,"Wynn Resorts, Limited",WYNN.4Q15,3400,3445,4Q15,2015/4F,329.7,02/12/2016,31.4,0.74,1.03,0.29,-0.3,5,2/11/2016,2/17/2016,27.7,5.4,22.3,16,2/5/2016,1.05,0.37,0.68,0.423
SNEC,Sanchez Energy Corporation,SNEC.4Q15,2100,2105,4Q15,2015/4F,12.7,02/25/2016,29.9,-0.68,0.04,0.72,-21.4,4,2/24/2016,3/1/2016,29.9,2.6,27.3,16,2/18/2016,-0.41,-0.93,0.52,1.394
TREE,"LendingTree, Inc.",TREE.4Q15,4800,4830,4Q15,2015/4F,45.6,02/25/2016,28.8,0.56,2.47,1.91,2.6,4,2/24/2016,3/1/2016,28.8,2.6,26.3,6,2/18/2016,0.63,0.50,0.13,14.666
CLR,"Continental Resources, Inc.",CLR.4Q15,2100,2105,4Q15,2015/4F,171.7,02/25/2016,28.2,-0.21,-0.23,-0.02,-0.7,4,2/24/2016,3/1/2016,28.2,2.6,25.7,32,2/18/2016,-0.11,-0.40,0.29,-0.068
CPRI,Capri Holdings Limited,CPRI.4Q15,3500,3525,4Q15,2015/3F,136.6,02/02/2016,28.2,1.46,1.59,0.13,3.1,2,2/1/2016,2/5/2016,28.2,-3.1,31.3,30,1/26/2016,1.50,1.40,0.10,1.337
RDC,Rowan Cos. Plc Class A,RDC.4Q15,3100,3105,4Q15,2015/4F,58.9,02/26/2016,28.1,0.75,0.95,0.20,1.1,5,2/25/2016,3/2/2016,28.1,1.9,26.2,32,2/19/2016,0.87,0.55,0.32,0.627
WES,Western Midstream Partners LP,WES.4Q15,2100,2120,4Q15,2015/4F,12.1,02/25/2016,27.9,0.25,-0.14,-0.39,-2.6,4,2/24/2016,3/1/2016,27.9,2.6,25.3,9,2/18/2016,0.30,0.17,0.13,-2.873
TMH,"Team Health Holdings, Inc.",TMH.4Q15,3200,3235,4Q15,2015/4F,49.7,02/23/2016,27.7,0.61,0.61,0.00,-1.3,2,2/22/2016,2/26/2016,27.7,0.3,27.5,17,2/16/2016,0.68,0.55,0.13,-0.017
ELLI,"Ellie Mae, Inc.",ELLI.4Q15,3300,3310,4Q15,2015/4F,35.0,02/12/2016,27.2,0.21,0.44,0.23,5.3,5,2/11/2016,2/17/2016,28.4,5.4,23.0,9,2/5/2016,0.27,0.18,0.09,2.568
ADPTQ,"Adeptus Health, Inc. Class A",ADPTQ.4Q15,3350,3360,4Q15,2015/4F,36.3,02/24/2016,27.1,0.35,0.45,0.10,14.9,3,2/23/2016,2/29/2016,27.1,0.7,26.4,11,2/17/2016,0.50,0.21,0.29,0.331
MACK,"Merrimack Pharmaceuticals, Inc.",MACK.4Q15,2300,2320,4Q15,2015/4F,12.7,02/26/2016,26.8,-3.03,-4.10,-1.08,28.1,5,2/25/2016,3/2/2016,26.8,1.9,24.9,4,2/19/2016,0.20,-4.20,4.40,-0.244
