ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,year_earlier,6m_earlier,3m_earlier,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,1y_rtn_qtr_end,6m_rtn_qtr_end,3m_rtn_qtr_end,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
DDD,3D Systems Corporation,DDD.2Q14,1300,1315,2Q14,2014/2F,229.8,07/31/2014,4,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.18,0.18,0.18,36.22,-35.65,1.10,1.007,59.8,1.032,53.16,0.950,49.64,29.480982,7.0910573,-8.265745,16.199993,5.318427,1.3185978,7.3,5.7,6.1,32.6486426,32.57169896,30.72670893,66.1,70.8,1.41,1.36,0.6101593,353.633,513.4,717.0637,0.017,0.019,0.019,0.000,13.281,1.773,-9.584,0.291428001,0.195320133,0.002362285,0.062549285,0.05,24.40,7.08,-0.663,-0.663,102.7705842,7/30/2014,8/5/2014,7/24/2014,8/1/2013,7/3/2014,6/26/2014,5/1/2014
MMM,3M Company,MMM.2Q14,1200,1255,2Q14,2014/2F,304.3,07/24/2014,4,6/30/2014,6/30/2013,12/31/2013,3/31/2014,1.91,1.91,1.91,30.99,2.13,5.59,7.840,143.24,7.875,143.54,7.707,136.65,23.320461,5.042076,-0.6574929,15.672577,3.9031625,-0.3280878,4.6,4.1,2.8,1.215227014,1.221154136,1.157094398,146.9,144.6,1.78,1.78,0.54831886,29904,30871,32218.834,0.055,0.055,0.056,0.002,7.648,1.139,-0.329,0.119061945,0.644672432,-0.004853705,0.050240168,0.00,2.36,-1.58,0.171,0.065,7.740884163,7/23/2014,7/29/2014,7/17/2014,7/25/2013,6/26/2014,6/19/2014,4/24/2014
EGHT,"8x8, Inc.",EGHT.2Q14,3300,3310,2Q14,2014/1F,10.4,07/24/2014,4,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.03,0.03,0.03,-1.94,-20.39,-25.25,0.152,8.08,0.155,7.38,0.153,10.61,-17.584742,-30.442978,-3.1496048,15.672577,3.9031625,-0.3280878,4.6,3.1,5.9,7.620843494,6.803297373,7.509746398,11.7,12.3,1.20,1.22,0.42163703,107.614,128.597,160.7521,0.019,0.021,0.014,-0.007,-33.257,-34.346,-2.822,0.480082063,-0.212539705,0.1201691,0.014793722,-0.02,58.84,5.04,0.000,-7.692,49.3784266,7/23/2014,7/29/2014,7/17/2014,7/25/2013,6/26/2014,6/19/2014,4/24/2014
AOS,A. O. Smith Corporation,AOS.2Q14,1200,1230,2Q14,2014/2F,31.1,07/22/2014,2,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.30,0.30,0.30,36.66,-8.08,7.74,1.247,24.79,1.252,23.82,1.221,23.365,22.562181,1.9473553,-4.318142,15.075838,4.6806335,1.3637781,2.0,2.0,1.5,1.634182228,1.067557454,1.676946311,28.9,28.5,1.29,1.42,0.4501683,1939.3,2153.8,2361.0461,0.050,0.053,0.052,0.000,7.486,-2.733,-5.682,0.010178275,0.357127029,0.530767475,-0.025501164,-0.13,21.33,-1.56,-0.662,-0.602,21.74733667,7/21/2014,7/25/2014,7/15/2014,7/23/2013,6/24/2014,6/17/2014,4/22/2014
AAN,"Aaron's, Inc.",AAN.2Q14,4800,4830,2Q14,2014/2F,29.7,07/25/2014,5,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.36,0.46,0.46,27.24,21.22,17.86,2.287,35.64,2.126,29.58,2.146,28.67,26.366222,3.1740546,-15.630352,15.935934,5.9188604,0.5394101,10.8,7.4,11.0,7.700739662,8.498412273,12.36025171,33.5,32.0,1.67,1.78,0.5,2222.58,2234.63,2716.9866,0.064,0.072,0.075,0.003,10.430,-2.745,-16.170,0.461871026,-0.011705889,-0.093861369,-0.376975499,-0.11,13.25,-4.48,-21.359,-21.928,22.2447156,7/24/2014,7/30/2014,7/18/2014,7/26/2013,6/27/2014,6/20/2014,4/25/2014
ABT,Abbott Laboratories,ABT.2Q14,2300,2325,2Q14,2014/2F,238.8,07/16/2014,3,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.51,0.51,0.51,17.26,6.70,6.21,2.321,40.9,2.329,41.27,2.272,38.38,12.702394,7.529962,3.1749964,16.391373,5.8137655,1.4490843,1.9,2.1,1.4,0.788495066,0.72197262,0.691196869,41.8,41.5,1.56,1.63,0.63442886,39874,21848,22471.834,0.057,0.056,0.059,0.003,-3.689,1.716,1.726,-0.090846254,0.390664059,0.092139846,0.140767705,-0.07,1.22,-0.75,0.630,0.850,-43.6428901,7/15/2014,7/21/2014,7/9/2014,7/17/2013,6/18/2014,6/11/2014,4/16/2014
ABBV,"AbbVie, Inc.",ABBV.2Q14,2300,2305,2Q14,2014/2F,308.3,07/25/2014,5,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.76,0.76,0.75,36.53,6.87,9.81,3.449,56.44,3.514,54.91,3.316,49.14,26.79169,11.741961,3.0206442,15.935934,5.9188604,0.5394101,2.0,3.2,1.7,0.965911034,0.797600479,0.674089763,64.4,54.2,1.42,1.46,0.51492864,18380,18790,19390.344,0.061,0.064,0.067,0.003,10.856,5.823,2.481,-0.379645201,0.217238171,0.21102113,0.432911589,-0.04,17.24,-15.81,0.027,0.576,5.496974973,7/24/2014,7/30/2014,7/18/2014,7/26/2013,6/27/2014,6/20/2014,4/25/2014
ANF,Abercrombie & Fitch Co. Class A,ANF.2Q14,3500,3525,2Q14,2014/2F,78.7,08/28/2014,4,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.13,0.11,0.12,-4.42,31.42,12.34,2.544,43.25,2.618,43.5,2.493,37.14,9.429765,17.12439,12.200153,17.302692,3.6745071,0.2724409,9.5,9.8,7.8,23.83300529,20.90666113,21.70035397,44.3,42.8,1.59,1.65,0.5507298,4510.8,4116.89,4014.202,0.059,0.060,0.067,0.007,-7.873,13.450,11.928,-0.028781239,0.220546549,0.139971856,0.09827726,-0.06,1.82,-3.38,10.115,4.596,-11.0090893,8/27/2014,9/2/2014,8/21/2014,8/29/2013,7/31/2014,7/24/2014,5/29/2014
ACHC,"Acadia Healthcare Company, Inc.",ACHC.2Q14,3350,3365,2Q14,2014/2F,21.8,07/30/2014,3,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.31,0.32,0.32,37.59,-3.87,0.84,1.570,45.5,1.706,47.24,1.428,42.02,29.780304,12.422657,-0.12684464,17.092085,5.255687,1.1320114,9.9,16.5,7.1,10.46935954,12.96276514,12.19616966,55.8,53.9,1.29,1.29,0.4258153,407.461,713.408,970.3395,0.035,0.036,0.034,-0.002,12.688,7.167,-1.259,-0.399398262,0.396359665,-0.192351367,-0.141586266,0.00,18.22,-3.44,-1.456,-2.034,138.1429143,7/29/2014,8/4/2014,7/23/2014,7/31/2013,7/2/2014,6/25/2014,4/30/2014
ACN,Accenture Plc Class A,ACN.2Q14,3300,3308,2Q14,2014/3F,222.7,06/26/2014,4,6/30/2014,6/30/2013,12/31/2013,3/31/2014,1.21,1.21,1.21,12.34,-1.68,1.40,4.861,80.84,4.844,83.06,4.778,78.8,0.24931431,5.4060817,4.5437336,18.995453,5.806625,3.6771417,9.6,5.1,7.2,2.89056539,2.505628686,2.718592284,87.1,86.0,1.52,1.56,0.52085143,27862.3,28562.8,29566.838,0.060,0.058,0.061,0.002,-18.746,-0.401,0.867,0.893892431,0.342426106,0.15362879,0.063258145,-0.04,4.87,-1.27,-0.110,-0.404,6.117721796,6/25/2014,7/1/2014,6/19/2014,6/27/2013,5/29/2014,5/22/2014,3/27/2014
