ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,year_earlier,6m_earlier,3m_earlier,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,1y_rtn_qtr_end,6m_rtn_qtr_end,3m_rtn_qtr_end,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
ACIW,"ACI Worldwide, Inc.",ACIW.2Q14,3300,3310,2Q14,2014/2F,13.1,07/31/2014,4,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.06,0.04,0.07,20.12,-14.11,-5.68,0.896,18.61,0.904,17.79,0.889,18.67,19.350863,-4.71344,-2.019459,16.199993,5.318427,1.3185978,6.2,9.7,6.4,3.979394388,4.818362516,4.137125459,21.4,20.6,1.80,1.83,0.83666,666.579,864.928,1066.0667,0.048,0.051,0.048,-0.003,3.151,-10.032,-3.338,-0.364089215,-0.040254983,-0.17411893,-0.038125765,-0.03,20.38,-3.89,41.667,-14.141,59.93103593,7/30/2014,8/5/2014,7/24/2014,8/1/2013,7/3/2014,6/26/2014,5/1/2014
ACOR,"Acorda Therapeutics, Inc.",ACOR.2Q14,2300,2320,2Q14,2014/2F,20.3,07/31/2014,4,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.16,0.14,0.15,2.18,15.45,-11.08,0.550,33.71,0.587,29.56,0.553,35.9,-8.803004,-17.660172,-11.734856,16.199993,5.318427,1.3185978,4.7,6.5,8.7,12.43829492,8.472171741,7.529120153,38.7,41.2,1.64,1.54,0.504525,305.814,336.43,364.19077,0.016,0.020,0.015,-0.004,-25.003,-22.979,-13.053,-0.283552986,-0.462212656,0.468135361,0.652025027,0.10,30.86,6.39,11.697,8.727,19.08897892,7/30/2014,8/5/2014,7/24/2014,8/1/2013,7/3/2014,6/26/2014,5/1/2014
ATVI,"Activision Blizzard, Inc.",ATVI.2Q14,1400,1435,2Q14,2014/2F,138.8,08/06/2014,3,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.02,0.02,0.02,56.38,25.07,9.10,1.367,22.3,1.374,22.89,1.348,21.01,28.61222,8.948112,1.869154,16.529274,4.665315,-0.55469275,2.0,2.0,3.9,3.508258969,3.321977798,3.450931876,24.5,24.2,1.10,1.08,0.25448868,4987,4342,4708.42,0.061,0.060,0.064,0.004,12.083,4.283,2.424,0,-0.484509979,0.056075381,0.016612062,0.02,7.21,-1.27,4.368,3.806,-5.586123922,8/5/2014,8/11/2014,7/30/2014,8/7/2013,7/9/2014,7/2/2014,5/7/2014
ATU,Actuant Corporation Class A,ATU.2Q14,1200,1210,2Q14,2014/3F,21.2,06/18/2014,3,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.62,0.63,0.64,4.85,-5.65,1.23,2.199,34.57,2.226,36.24,2.167,33.72,4.734266,7.473314,6.4942837,15.854549,4.0612817,3.0602098,5.6,7.5,7.1,4.272536519,6.407987152,6.76935729,39.6,39.4,1.55,1.58,0.52223295,1605.34,1279.74,1417.9667,0.064,0.061,0.064,0.003,-11.120,3.412,3.434,-0.25343418,-0.219371905,-0.33324827,-0.368841629,-0.04,9.27,-0.60,-1.290,-3.866,-11.67187636,6/17/2014,6/23/2014,6/11/2014,6/19/2013,5/21/2014,5/14/2014,3/19/2014
AYI,"Acuity Brands, Inc.",AYI.2Q14,1200,1235,2Q14,2014/3F,60.2,07/01/2014,2,6/30/2014,6/30/2013,12/31/2013,3/31/2014,1.13,1.13,1.11,83.06,26.46,4.28,4.984,138.25,4.968,134.08,4.685,133.46,53.434086,0.4645586,6.2019825,19.018448,3.110695,2.0422459,8.7,5.6,3.7,5.934097015,5.347336132,4.131594893,148.3,138.5,1.73,1.88,0.438529,1933.7,2089.1,2387.77,0.036,0.037,0.035,-0.002,34.416,-2.646,4.160,0.565667357,1.332271162,0.109729568,0.436272715,-0.15,10.63,-6.63,0.476,2.328,23.48192584,6/30/2014,7/4/2014,6/24/2014,7/2/2013,6/3/2014,5/27/2014,4/1/2014
ADBE,Adobe Inc.,ADBE.2Q14,3300,3310,2Q14,2014/2F,233.2,06/18/2014,3,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.30,0.30,0.30,58.82,20.84,10.07,1.731,72.36,1.643,67.46,1.430,67.63,36.456978,-0.2513647,10.8081455,15.854549,4.0612817,3.0602098,3.1,1.5,1.6,1.419526124,1.068329336,0.897837753,75.8,75.9,1.43,1.40,0.5910517,4403.67,4055.24,4112.1064,0.024,0.024,0.021,-0.003,20.602,-4.313,7.748,1.094516374,0.973089915,0.328734573,0.581049715,0.03,12.29,0.20,1.122,1.313,-6.620923003,6/17/2014,6/23/2014,6/11/2014,6/19/2013,5/21/2014,5/14/2014,3/19/2014
ADT.I,ADT Corporation,ADT.I.2Q14,3200,3205,2Q14,2014/3F,82.7,07/30/2014,3,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.47,0.47,0.47,-12.32,-13.66,16.66,2.023,34.94,2.026,33.54,1.984,30.24,-13.473058,10.912704,-3.1475604,17.092085,5.255687,1.1320114,13.6,17.9,14.0,19.1775748,20.6630129,21.6391145,42.2,42.5,1.50,1.55,0.5345225,3228,3309,3403.5417,0.058,0.060,0.066,0.005,-30.565,5.657,-4.280,-0.240830529,-0.026941816,-0.071888747,-0.113754179,-0.05,25.72,0.79,0.702,-0.032,5.438094796,7/29/2014,8/4/2014,7/23/2014,7/31/2013,7/2/2014,6/25/2014,4/30/2014
ATGE,Adtalem Global Education Inc.,ATGE.2Q14,3400,3450,2Q14,2014/4F,26.7,08/08/2014,5,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.67,0.67,0.68,36.49,19.27,-0.12,2.765,42.34,2.826,40.91,2.737,44.05,48.22335,-7.1282625,-6.853366,16.017008,2.2827983,-3.366536,12.6,10.5,5.6,8.433399806,8.454543745,10.28177972,46.4,45.9,1.71,1.83,0.46880722,2089.78,1964.37,1926.97,0.065,0.069,0.062,-0.007,32.206,-9.411,-3.487,0.19615571,1.233616153,-0.002500897,-0.17977237,-0.12,13.53,-1.23,-0.321,-0.840,-7.790772234,8/7/2014,8/13/2014,8/1/2014,8/9/2013,7/11/2014,7/4/2014,5/9/2014
ADTN,"ADTRAN, Inc.",ADTN.2Q14,1300,1320,2Q14,2014/2F,16.7,07/16/2014,3,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.25,0.25,0.25,-8.37,-16.48,-7.58,1.166,22.56,1.161,22.37,1.098,22.46,-16.412794,-0.40070415,0.81118345,16.391373,5.8137655,1.4490843,7.3,5.4,4.2,6.812972406,6.467238542,4.947816213,24.4,24.3,2.09,2.08,0.53935987,620.614,641.744,681.4064,0.052,0.052,0.049,-0.003,-32.804,-6.214,-0.638,0.362217912,0.750031771,0.053459272,0.376965537,0.01,8.96,-0.51,2.163,2.680,9.795525077,7/15/2014,7/21/2014,7/9/2014,7/17/2013,6/18/2014,6/11/2014,4/16/2014
AAP,"Advance Auto Parts, Inc.",AAP.2Q14,3500,3540,2Q14,2014/2F,97.2,08/14/2014,4,6/30/2014,6/30/2013,12/31/2013,3/31/2014,2.03,2.01,2.02,66.22,21.90,6.66,8.024,134.92,8.118,121.85,7.850,124.23,58.597958,-1.9158065,-8.493543,17.476917,2.0154715,-2.878052,2.5,1.8,3.3,2.390721422,2.556040641,2.631925665,140.1,138.9,1.61,1.61,0.4990109,6205,6493.81,9839.28,0.059,0.067,0.063,-0.003,41.121,-3.931,-5.615,0.405666804,-0.225864537,-0.064677852,-0.091645538,0.00,14.94,-0.80,0.764,0.438,58.57018533,8/13/2014,8/19/2014,8/7/2014,8/15/2013,7/17/2014,7/10/2014,5/15/2014
AEIS,"Advanced Energy Industries, Inc.",AEIS.2Q14,1300,1355,2Q14,2014/2F,11.4,08/05/2014,2,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.35,0.37,0.38,10.57,-15.79,-21.43,1.883,19.25,1.846,16.98,1.876,16.87,-13.979494,0.65203905,-14.67337,15.542185,5.2048326,-0.597018,3.5,3.5,4.7,4.660829899,4.32779673,3.598597481,22.6,23.6,1.83,1.56,0.5,451.931,547.004,578.7696,0.098,0.109,0.111,0.002,-29.522,-4.553,-14.076,0,-0.254177557,0.076952128,0.295179559,0.27,32.93,4.43,-3.344,-7.181,28.06592157,8/4/2014,8/8/2014,7/29/2014,8/6/2013,7/8/2014,7/1/2014,5/6/2014
AMD,"Advanced Micro Devices, Inc.",AMD.2Q14,1300,1305,2Q14,2014/2F,85.8,07/18/2014,5,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.03,0.03,0.00,2.70,8.27,4.49,0.179,4.19,0.188,4.37,0.112,3.69,1.7369628,18.428183,2.1027923,15.937054,5.278337,1.4870048,4.5,8.4,6.1,18.12252528,17.67828914,19.56901957,4.3,4.0,1.93,2.00,0.69006556,5422,5299,5987,0.043,0.043,0.030,-0.013,-14.200,13.150,0.616,-0.462133667,-0.257233206,0.02512891,-0.073917566,-0.07,-1.71,-6.12,1.906,-4908.723,10.42050904,7/17/2014,7/23/2014,7/11/2014,7/19/2013,6/20/2014,6/13/2014,4/18/2014
ABCO,Advisory Board Company,ABCO.2Q14,3200,3205,2Q14,2014/1F,14.2,08/01/2014,5,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.29,0.29,0.31,-5.12,-18.56,-19.30,1.383,51.85,1.399,51.73,1.433,56.48,-10.072315,-8.410054,2.3545623,16.06388,4.869294,0.556159,11.8,10.1,21.4,9.130956216,8.918638725,10.25565519,65.0,70.9,1.23,1.28,0.4169047,450.837,520.596,597.5339,0.027,0.027,0.025,-0.002,-26.136,-13.279,1.798,0.169347833,-0.445967255,0.023806042,-0.109666224,-0.05,25.65,9.11,-0.898,-9.236,32.53878896,7/31/2014,8/6/2014,7/25/2014,8/2/2013,7/4/2014,6/27/2014,5/2/2014
ACM,AECOM,ACM.2Q14,3100,3115,2Q14,2014/3F,20.4,08/05/2014,2,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.64,0.65,0.71,1.29,9.41,0.09,2.607,32.2,2.622,34.72,2.623,32.08,8.583105,8.229423,6.177366,15.542185,5.2048326,-0.597018,3.3,3.3,2.6,1.90749434,2.108000386,1.457258494,39.0,33.4,1.60,1.80,0.5163978,8218.18,8153.49,7836.667,0.081,0.076,0.082,0.006,-6.959,3.025,6.774,0,0.258809135,-0.095116703,0.308960866,-0.20,12.33,-14.29,-1.920,-9.297,-4.642305231,8/4/2014,8/8/2014,7/29/2014,8/6/2013,7/8/2014,7/1/2014,5/6/2014
AER,AerCap Holdings NV,AER.2Q14,4800,4830,2Q14,2014/2F,34.7,08/12/2014,2,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.93,0.77,0.68,162.31,19.43,8.56,3.856,45.8,4.066,43.99,3.476,47.01,145.30478,-6.424159,-0.43005347,16.109253,1.0582447,-2.3956954,2.5,3.7,2.4,2.221805575,2.106570705,1.423279094,50.6,44.6,1.18,1.39,0.46220815,972.52,1050.06,3654.63,0.084,0.092,0.074,-0.018,129.196,-7.482,1.966,-0.322376705,0.028782371,0.054702588,0.56104701,-0.21,14.93,-11.84,19.412,36.423,275.789701,8/11/2014,8/15/2014,8/5/2014,8/13/2013,7/15/2014,7/8/2014,5/13/2014
AJRD,"Aerojet Rocketdyne Holdings, Inc.",AJRD.2Q14,1300,1330,2Q14,2014/2F,11.3,07/10/2014,4,6/30/2014,6/30/2013,12/31/2013,3/31/2014,,0.09,0.09,17.47,5.99,4.54,0.498,19.1,0.500,19,0.449,17.35,13.750005,9.510088,0,15.176189,8.230722,2.4361491,37.2,15.3,42.6,27.47266599,27.86668493,35.70427633,20.0,20.0,1.00,1.00,0,994.9,1383.1,,0.026,0.026,0.026,0.000,-1.426,1.279,-2.436,1.436552093,-0.125730045,-0.014139427,-0.230549704,0.00,5.26,0.00,0.000,0.000,,7/9/2014,7/15/2014,7/3/2014,7/11/2013,6/12/2014,6/5/2014,4/10/2014
AES,AES Corporation,AES.2Q14,4700,4705,2Q14,2014/2F,78.0,08/07/2014,4,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.28,0.27,0.28,29.69,7.17,8.89,1.383,15.55,1.402,14.61,1.367,14.08,18.278753,3.7642002,-5.4980636,15.533304,2.7583241,-3.0928135,2.9,1.9,1.7,1.303508108,1.7819766,1.109458939,16.5,16.1,1.30,1.25,0.4830459,18141,15891,17433.137,0.089,0.096,0.097,0.001,2.745,1.006,-2.405,0.565139958,0.680876967,-0.268504363,0.174904326,0.05,12.94,-2.65,3.598,1.504,-3.902006505,8/6/2014,8/12/2014,7/31/2014,8/8/2013,7/10/2014,7/3/2014,5/8/2014
AET,Aetna Inc.,AET.2Q14,3350,3355,2Q14,2014/2F,186.6,07/29/2014,2,6/30/2014,6/30/2013,12/31/2013,3/31/2014,1.60,1.59,1.60,27.60,18.21,8.15,6.806,81.08,6.843,84.87,6.690,70.46,30.35742,20.451332,4.7907233,17.139482,5.4542184,1.5003324,2.9,2.1,2.4,1.323749886,1.466346108,1.259913372,88.1,82.9,1.29,1.26,0.4643056,35544.8,47294.6,56577.46,0.084,0.081,0.095,0.014,13.218,14.997,3.290,0.385099735,0.220097682,-0.097245951,0.050667384,0.03,3.81,-5.86,0.756,0.113,59.17225586,7/28/2014,8/1/2014,7/22/2014,7/30/2013,7/1/2014,6/24/2014,4/29/2014
AMG,"Affiliated Managers Group, Inc.",AMG.2Q14,4800,4845,2Q14,2014/2F,116.8,07/29/2014,2,6/30/2014,6/30/2013,12/31/2013,3/31/2014,2.60,2.58,2.57,25.29,-5.29,2.67,12.734,205.4,12.926,207.21,12.414,195.11,14.643133,6.201637,2.803135,17.139482,5.4542184,1.5003324,0.5,1.5,1.8,1.740076564,1.095108694,1.341313698,240.4,236.3,1.10,1.11,0.31622776,1805.5,2188.8,2604.9543,0.062,0.062,0.064,0.001,-2.496,0.747,1.303,-0.656528548,-0.722972,0.588953291,0.297292771,-0.01,16.04,-1.74,0.909,1.069,44.27883135,7/28/2014,8/1/2014,7/22/2014,7/30/2013,7/1/2014,6/24/2014,4/29/2014
AFL,Aflac Incorporated,AFL.2Q14,4800,4865,2Q14,2014/2F,110.6,07/30/2014,3,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.80,0.79,0.79,7.11,-6.81,-1.25,3.190,31.125,3.210,31.795,3.158,31.36,1.3780832,1.3871193,1.5814781,17.092085,5.255687,1.1320114,2.9,2.2,2.1,0.930934113,0.99296621,0.951635483,34.9,34.9,1.68,1.64,0.466651,25364,23939,23179.926,0.102,0.101,0.101,0.000,-15.714,-3.869,0.449,0.334555056,0.344122971,-0.062471509,-0.021753467,0.04,9.71,-0.08,0.285,0.464,-8.61092099,7/29/2014,8/4/2014,7/23/2014,7/31/2013,7/2/2014,6/25/2014,4/30/2014
AGCO,AGCO Corporation,AGCO.2Q14,1200,1220,2Q14,2014/2F,65.9,07/29/2014,2,6/30/2014,6/30/2013,12/31/2013,3/31/2014,1.68,1.72,1.76,12.01,-5.02,1.92,5.446,56.22,5.344,53.69,5.439,56.4,1.1661768,-4.804969,-3.6259234,17.139482,5.4542184,1.5003324,6.5,7.1,6.0,9.958878823,8.487389347,8.995774038,57.9,58.2,2.00,2.03,0.57735026,9962.2,10786.9,10254.873,0.097,0.100,0.096,-0.003,-15.973,-10.259,-5.126,-0.089308905,0.074396738,0.173373627,0.107061914,-0.03,7.92,0.51,-2.352,-4.474,2.937835016,7/28/2014,8/1/2014,7/22/2014,7/30/2013,7/1/2014,6/24/2014,4/29/2014
A,"Agilent Technologies, Inc.",A.2Q14,2300,2320,2Q14,2014/3F,75.4,08/15/2014,5,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.53,0.53,0.53,34.33,0.44,2.72,2.360,41.074585,2.387,39.501396,2.329,39.351227,20.004284,0.38161278,-2.4028182,19.112444,2.7636766,-1.8792808,1.1,2.1,1.7,0.712437833,0.945357203,0.957596496,45.6,45.9,1.27,1.14,0.438529,6858,6782,6989.0435,0.057,0.060,0.059,-0.001,0.892,-2.382,-0.524,-0.475906391,-0.361599475,-0.246382393,-0.256014579,0.13,15.36,0.78,-0.191,-0.304,1.91081219,8/14/2014,8/20/2014,8/8/2014,8/16/2013,7/18/2014,7/11/2014,5/16/2014
GAS,"AGL Resources, Inc.",GAS.2Q14,4700,4735,2Q14,2014/2F,36.0,07/30/2014,3,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.44,0.43,0.43,28.39,16.51,12.40,3.549,55.03,3.545,54.23,3.555,54,18.300938,0.42592287,-0.64126253,17.092085,5.255687,1.1320114,7.4,3.5,3.2,3.493730634,2.97214558,1.848851572,51.0,49.3,2.25,2.19,0.37796447,3922,4617,5497.005,0.064,0.065,0.066,0.000,1.209,-4.830,-1.773,1.128447385,1.354947423,0.175491086,0.889676103,0.06,-5.96,-3.27,3.196,2.000,40.1582101,7/29/2014,8/4/2014,7/23/2014,7/31/2013,7/2/2014,6/25/2014,4/30/2014
AGNC,AGNC Investment Corp.,AGNC.2Q14,4800,4890,2Q14,2014/2F,92.5,07/29/2014,2,6/30/2014,6/30/2013,12/31/2013,3/31/2014,0.68,0.69,0.70,1.74,21.36,8.93,2.775,23.41,2.770,23.39,2.791,22.4,0.17323494,4.4196367,-2.0108998,17.139482,5.4542184,1.5003324,1.9,3.0,1.7,1.997496622,2.873221094,2.514443838,23.4,23.0,1.65,1.68,0.60633904,1440,2193,1048.0966,0.119,0.118,0.125,0.006,-16.966,-1.035,-3.511,-0.348504293,0.160001487,-0.304788404,-0.205591077,-0.04,0.00,-1.55,-0.919,-2.117,-27.21551389,7/28/2014,8/1/2014,7/22/2014,7/30/2013,7/1/2014,6/24/2014,4/29/2014
