ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
ESIO,"Electro Scientific Industries, Inc.",ESIO.3Q18,1300,1355,3Q18,2018/2F,13.4,10/30/2018,94.3,0.57,0.59,0.02,1.9,2,10/29/2018,11/2/2018,94.3,3.2,91.1,4,10/23/2018,0.58,0.56,0.02,1
FIT,"Fitbit, Inc. Class A",FIT.3Q18,1400,1445,3Q18,2018/3F,30.6,11/1/2018,31.9,-0.01,0.04,0.05,3.2,4,10/31/2018,11/6/2018,31.9,1.8,30.2,14,10/25/2018,0,-0.02,0.02,2.277
UAA,"Under Armour, Inc. Class A",UAA.3Q18,2400,2440,3Q18,2018/3F,92.3,10/30/2018,30.3,0.12,0.25,0.13,2.1,2,10/29/2018,11/2/2018,30.3,3.2,27.1,33,10/23/2018,0.15,0.1,0.05,2.791
CATM,Cardtronics plc Class A,CATM.3Q18,3200,3205,3Q18,2018/3F,15.9,11/2/2018,28.8,0.42,0.62,0.2,6.6,5,11/1/2018,11/7/2018,28.8,2.7,26.1,6,10/26/2018,0.45,0.38,0.07,2.905
CTB,Cooper Tire & Rubber Company,CTB.3Q18,1400,1410,3Q18,2018/3F,17,10/29/2018,27.9,0.45,1.07,0.62,-1.6,1,10/26/2018,11/1/2018,27.9,3.1,24.8,6,10/22/2018,0.5,0.39,0.11,5.636
FND,"Floor & Decor Holdings, Inc. Class A",FND.3Q18,3500,3530,3Q18,2018/3F,55.9,11/1/2018,27.3,0.22,0.24,0.02,1.6,4,10/31/2018,11/6/2018,27.3,1.8,25.6,17,10/25/2018,0.23,0.2,0.03,0.563
DBD,Diebold Nixdorf Incorporated,DBD.3Q18,1300,1315,3Q18,2018/3F,19.4,10/31/2018,27.1,-0.12,-0.61,-0.49,1.7,3,10/30/2018,11/5/2018,27.1,2.1,25,5,10/24/2018,0.09,-0.26,0.35,-1.4
BEAT,"BioTelemetry, Inc.",BEAT.3Q18,2300,2325,3Q18,2018/3F,22.3,10/31/2018,27.1,0.32,0.53,0.21,2.2,3,10/30/2018,11/5/2018,27.1,2.1,24.9,7,10/24/2018,0.36,0.27,0.09,2.333
TREE,"LendingTree, Inc.",TREE.3Q18,4800,4830,3Q18,2018/3F,42.9,11/1/2018,26.8,1.27,1.86,0.59,-1.2,4,10/31/2018,11/6/2018,26.8,1.8,25.1,10,10/25/2018,1.52,1.11,0.41,1.439
LCI,"Lannett Company, Inc.",LCI.3Q18,2300,2305,3Q18,2019/1F,14.9,11/8/2018,26.5,0.39,0.44,0.05,6.4,4,11/7/2018,11/13/2018,26.5,-3.3,29.8,6,11/1/2018,0.43,0.35,0.08,0.625
ICPT,"Intercept Pharmaceuticals, Inc.",ICPT.3Q18,2300,2310,3Q18,2018/3F,52.4,10/31/2018,26.3,-2.56,-2.18,0.38,-2.6,3,10/30/2018,11/5/2018,26.3,2.1,24.1,16,10/24/2018,-2.21,-3.04,0.83,0.451
ON,ON Semiconductor Corporation,ON.3Q18,1300,1305,3Q18,2018/3F,118.6,10/29/2018,25.9,0.51,0.57,0.06,2.1,1,10/26/2018,11/1/2018,25.9,3.1,22.7,21,10/22/2018,0.53,0.48,0.05,1.292
ETSY,"Etsy, Inc.",ETSY.3Q18,3200,3205,3Q18,2018/3F,116,11/7/2018,25.4,0.07,0.15,0.08,0.3,3,11/6/2018,11/12/2018,25.4,-1.1,26.6,8,10/31/2018,0.1,0.02,0.08,0.984
FOXF,Fox Factory Holding Corp.,FOXF.3Q18,1400,1435,3Q18,2018/3F,15.8,11/1/2018,25.3,0.66,0.72,0.06,1.4,4,10/31/2018,11/6/2018,25.3,1.8,23.6,9,10/25/2018,0.68,0.62,0.06,1.019
RGEN,Repligen Corporation,RGEN.3Q18,2300,2320,3Q18,2018/3F,17.2,11/1/2018,25.2,0.18,0.2,0.02,6.1,4,10/31/2018,11/6/2018,25.2,1.8,23.5,9,10/25/2018,0.19,0.16,0.03,0.794
MLNX,"Mellanox Technologies, Ltd.",MLNX.3Q18,1300,1305,3Q18,2018/3F,35.1,10/25/2018,24.9,1.2,1.33,0.13,1.3,4,10/24/2018,10/30/2018,24.9,1.1,23.8,12,10/18/2018,1.23,1.14,0.09,1.492
SSYS,Stratasys Ltd.,SSYS.3Q18,1300,1315,3Q18,2018/3F,13.5,11/1/2018,24.7,0.05,0.11,0.06,0.1,4,10/31/2018,11/6/2018,24.7,1.8,23,13,10/25/2018,0.08,0.02,0.06,0.931
HMSY,HMS Holdings Corp.,HMSY.3Q18,3200,3205,3Q18,2018/3F,14.9,11/2/2018,24.6,0.21,0.31,0.1,9.8,5,11/1/2018,11/7/2018,24.6,2.7,22,13,10/26/2018,0.25,0.19,0.06,1.65
KEM,KEMET Corporation,KEM.3Q18,1300,1310,3Q18,2018/2F,32.5,10/30/2018,24.2,0.6,0.87,0.27,4.1,2,10/29/2018,11/2/2018,24.2,3.2,21,3,10/23/2018,0.62,0.59,0.03,8.836
DNOW,NOW Inc.,DNOW.3Q18,3250,3255,3Q18,2018/3F,18.5,11/1/2018,24.1,0.11,0.15,0.04,2,4,10/31/2018,11/6/2018,24.1,1.8,22.4,11,10/25/2018,0.13,0.1,0.03,1.283
ACIA,"Acacia Communications, Inc.",ACIA.3Q18,1300,1320,3Q18,2018/3F,22.2,11/2/2018,24,0.17,0.42,0.25,5.4,5,11/1/2018,11/7/2018,24,2.7,21.3,14,10/26/2018,0.23,0.12,0.11,2.248
CROX,"Crocs, Inc.",CROX.3Q18,2400,2440,3Q18,2018/3F,19.7,11/8/2018,23.8,-0.01,0.07,0.08,5.3,4,11/7/2018,11/13/2018,23.8,-3.3,27.1,5,11/1/2018,0.01,-0.06,0.07,1.171
TWTR,"Twitter, Inc.",TWTR.3Q18,3300,3320,3Q18,2018/3F,956,10/25/2018,22.9,0.14,0.21,0.07,8.1,4,10/24/2018,10/30/2018,22.9,1.1,21.8,33,10/18/2018,0.22,0.06,0.16,0.444
PBI,Pitney Bowes Inc.,PBI.3Q18,1200,1245,3Q18,2018/3F,19,11/1/2018,22.1,0.26,0.27,0.01,-2.3,4,10/31/2018,11/6/2018,22.1,1.8,20.3,6,10/25/2018,0.26,0.25,0.01,1.333
IIVI,II-VI Incorporated,IIVI.3Q18,1300,1310,3Q18,2019/1F,24,11/1/2018,22.1,0.56,0.56,0,1.1,4,10/31/2018,11/6/2018,22.1,1.8,20.3,10,10/25/2018,0.58,0.54,0.04,-0.035
NWL,Newell Brands Inc,NWL.3Q18,1200,1255,3Q18,2018/3F,181.7,11/2/2018,21.9,0.65,0.81,0.16,-2.9,5,11/1/2018,11/7/2018,21.9,2.7,19.2,10,10/26/2018,0.68,0.6,0.08,2.06
SYMC,Symantec Corporation,SYMC.3Q18,3300,3310,3Q18,2018/2F,171.8,11/2/2018,21.8,0.33,0.42,0.09,3.2,5,11/1/2018,11/7/2018,21.8,2.7,19.1,25,10/26/2018,0.37,0.32,0.05,1.686
NOVT,Novanta Inc,NOVT.3Q18,1300,1315,3Q18,2018/3F,14.3,11/6/2018,21.7,0.52,0.61,0.09,4.1,2,11/5/2018,11/9/2018,21.7,1.4,20.3,3,10/30/2018,0.52,0.51,0.01,9.333
SEM,Select Medical Holdings Corporation,SEM.3Q18,3350,3360,3Q18,2018/3F,11.3,11/2/2018,21.5,0.18,0.23,0.05,-0.8,5,11/1/2018,11/7/2018,21.5,2.7,18.8,6,10/26/2018,0.21,0.14,0.07,0.69
AJRD,"Aerojet Rocketdyne Holdings, Inc.",AJRD.3Q18,1300,1330,3Q18,2018/3F,23.4,10/31/2018,21.3,0.28,0.42,0.15,3.2,3,10/30/2018,11/5/2018,21.3,2.1,19.1,4,10/24/2018,0.32,0.23,0.09,1.611
SNBR,Sleep Number Corporation,SNBR.3Q18,1400,1420,3Q18,2018/3F,17.9,10/25/2018,21.1,0.71,0.52,-0.19,0.9,4,10/24/2018,10/30/2018,21.1,1.1,20,8,10/18/2018,0.84,0.61,0.23,-0.831
VMC,Vulcan Materials Company,VMC.3Q18,1100,1135,3Q18,2018/3F,143.7,10/30/2018,20.8,1.38,1.4,0.02,1.7,2,10/29/2018,11/2/2018,20.8,3.2,17.6,13,10/23/2018,1.53,1.27,0.26,0.096
WYND,"Wyndham Destinations, Inc.",WYND.3Q18,3400,3440,3Q18,2018/3F,57.1,11/1/2018,20.8,1.42,1.47,0.05,-0.1,4,10/31/2018,11/6/2018,20.8,1.8,19,11,10/25/2018,1.48,1.34,0.14,0.374
NBR,Nabors Industries Ltd.,NBR.3Q18,3100,3105,3Q18,2018/3F,65.7,10/31/2018,19.6,-0.2,-0.31,-0.11,-2.4,3,10/30/2018,11/5/2018,19.6,2.1,17.4,22,10/24/2018,-0.13,-0.33,0.2,-0.536
OSK,Oshkosh Corp,OSK.3Q18,1200,1220,3Q18,2018/4F,48.5,11/1/2018,19.2,1.45,1.8,0.35,3.8,4,10/31/2018,11/6/2018,19.2,1.8,17.5,16,10/25/2018,1.53,1.33,0.2,1.789
INT,World Fuel Services Corporation,INT.3Q18,3250,3255,3Q18,2018/3F,17.6,10/26/2018,19.1,0.56,0.63,0.07,-0.1,5,10/25/2018,10/31/2018,19.1,0.3,18.8,3,10/19/2018,0.58,0.52,0.06,1.167
BECN,"Beacon Roofing Supply, Inc.",BECN.3Q18,3250,3255,3Q18,2018/4F,48.5,11/20/2018,19,1.35,1.07,-0.28,-3.7,2,11/19/2018,11/23/2018,18.9,-2,20.9,17,11/13/2018,1.42,1.29,0.13,-2.131
CVI,"CVR Energy, Inc.",CVI.3Q18,2100,2120,3Q18,2018/3F,28.7,10/25/2018,18.9,0.84,0.95,0.11,9.2,4,10/24/2018,10/30/2018,18.9,1.1,17.8,1,10/18/2018,0.84,0.84,0,#DIV/0!
XLNX,"Xilinx, Inc.",XLNX.3Q18,1300,1305,3Q18,2018/2F,152.1,10/25/2018,18.8,0.76,0.84,0.08,5,4,10/24/2018,10/30/2018,18.8,1.1,17.7,22,10/18/2018,0.78,0.71,0.07,1.213
FL,"Foot Locker, Inc.",FL.3Q18,3500,3525,3Q18,2018/3F,157.4,11/21/2018,18.8,0.92,0.95,0.03,0.5,3,11/20/2018,11/26/2018,19.9,1.3,18.7,22,11/14/2018,1,0.85,0.15,0.226
RXN,Rexnord Corporation,RXN.3Q18,1200,1210,3Q18,2018/2F,16.7,10/31/2018,18.5,0.42,0.46,0.04,1.7,3,10/30/2018,11/5/2018,18.5,2.1,16.3,8,10/24/2018,0.45,0.38,0.07,0.571
MCY,Mercury General Corporation,MCY.3Q18,4800,4855,3Q18,2018/3F,13.4,10/29/2018,18.4,0.73,1.11,0.38,1.3,1,10/26/2018,11/1/2018,18.4,3.1,15.2,4,10/22/2018,0.8,0.6,0.2,1.857
IBP,"Installed Building Products, Inc.",IBP.3Q18,1200,1230,3Q18,2018/3F,10.1,11/1/2018,18.4,0.79,0.72,-0.07,0.7,4,10/31/2018,11/6/2018,18.4,1.8,16.6,11,10/25/2018,0.89,0.73,0.16,-0.415
ITGR,Integer Holdings Corporation,ITGR.3Q18,1200,1235,3Q18,2018/3F,18,11/1/2018,18,0.93,1.06,0.13,4.3,4,10/31/2018,11/6/2018,18,1.8,16.2,3,10/25/2018,0.97,0.86,0.11,1.212
EXP,Eagle Materials Inc.,EXP.3Q18,1100,1135,3Q18,2018/2F,51.2,10/30/2018,17.8,1.67,1.53,-0.14,-4.7,2,10/29/2018,11/2/2018,17.8,3.2,14.6,12,10/23/2018,1.75,1.53,0.22,-0.626
TDS,"Telephone and Data Systems, Inc.",TDS.3Q18,4900,4915,3Q18,2018/3F,17.6,11/2/2018,17.8,0.23,0.41,0.18,0.9,5,11/1/2018,11/7/2018,17.8,2.7,15.2,3,10/26/2018,0.31,0.17,0.14,1.307
MYL,Mylan N.V.,MYL.3Q18,2300,2315,3Q18,2018/3F,149.3,11/6/2018,17.8,1.19,1.25,0.06,-2.7,2,11/5/2018,11/9/2018,17.8,1.4,16.3,18,10/30/2018,1.29,1.1,0.19,0.325
USCR,"U.S. Concrete, Inc.",USCR.3Q18,1100,1135,3Q18,2018/3F,17.4,11/1/2018,17.8,1.31,0.73,-0.58,-1.8,4,10/31/2018,11/6/2018,17.8,1.8,16,7,10/25/2018,1.52,1.06,0.46,-1.265
LAD,"Lithia Motors, Inc. Class A",LAD.3Q18,3500,3540,3Q18,2018/3F,28.2,10/24/2018,17.7,2.53,2.83,0.3,-2.1,3,10/23/2018,10/29/2018,17.7,-3.6,21.3,10,10/17/2018,2.75,2.41,0.34,0.894
THRM,Gentherm Incorporated,THRM.3Q18,1200,1225,3Q18,2018/3F,10.7,10/25/2018,17.7,0.54,0.54,0,-0.9,4,10/24/2018,10/30/2018,17.7,1.1,16.6,8,10/18/2018,0.69,0.43,0.26,0
