ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
HII,"Huntington Ingalls Industries, Inc.",HII.3Q16,1300,1330,3Q16,2016/3F,48.2,11/03/2016,4,9/30/2016,2.37,2.40,2.39,10.165,153.42,10.125,159.13,10.250,172.79,19.926226,-7.905543,4.327023,3.2037616,-1.5806377,-1.0593474,3.1,5.4,4.7,2.595291448,2.371552118,2.628499037,171.4,166.2,1.83,1.69,0.71774054,6957,7020,7049.175,0.066,0.064,0.059,-0.004,16.722,-6.325,5.386,-0.421008106,-0.333756721,0.094342995,-0.01263367,0.14,7.69,-3.03,-1.291,-0.962,1.324924536,11/2/2016,11/8/2016,10/27/2016,11/5/2015,10/6/2016,9/29/2016,8/4/2016
UNFI,"United Natural Foods, Inc.",UNFI.3Q16,3250,3260,3Q16,2017/1F,28.4,12/08/2016,4,9/30/2016,0.62,0.62,0.65,2.628,40.04,2.645,46.9,2.698,42.22,10.032439,11.084795,14.92281,6.107521,0.8220196,5.5709004,7.6,10.2,5.5,7.30235002,8.530917095,6.371005499,42.2,42.0,2.00,1.94,0.6183469,8184.97,8470.28,9426.293,0.066,0.056,0.064,0.008,3.925,10.263,9.352,-0.2528796,0.371682475,-0.144013482,0.146184856,0.06,-9.96,-0.55,-0.408,-4.664,15.16588332,12/7/2016,12/13/2016,12/1/2016,12/10/2015,11/10/2016,11/3/2016,9/8/2016
CONE,"CyrusOne, Inc.",CONE.3Q16,4800,4890,3Q16,2016/3F,54.7,10/31/2016,1,9/30/2016,0.08,0.08,0.14,0.524,47.57,0.520,48.86,0.715,55.64,27.277672,-12.185478,-1.2729883,3.036189,-0.91377497,0.1388669,5.8,6.9,4.0,9.505887881,8.883920879,4.142421676,59.6,57.8,1.18,1.21,0.39295262,330.9,399.3,527.4814,0.011,0.011,0.013,0.002,24.241,-11.272,-1.412,-0.164328245,0.442496511,0.070010417,1.29476587,-0.03,21.92,-2.95,-6.231,-45.495,59.40809912,10/28/2016,11/3/2016,10/24/2016,11/2/2015,10/3/2016,9/26/2016,8/1/2016
MTDR,Matador Resources Company,MTDR.3Q16,2100,2105,3Q16,2016/3F,34.5,11/02/2016,3,9/30/2016,-0.01,0.00,-0.03,0.340,24.34,0.395,22.7,0.067,20.05,-9.943295,13.216961,-1.4329135,3.055656,-1.1961102,-1.6424477,7.6,9.1,8.9,18.77980692,16.97695321,15.93686799,27.1,25.4,1.32,1.28,0.44754037,367.712,316.169,265.778,0.014,0.017,0.003,-0.014,-12.999,14.413,0.210,-0.167769378,-0.140812944,0.106194185,0.178387555,0.04,19.19,-6.21,-1595.673,-65.555,-27.72115134,11/1/2016,11/7/2016,10/26/2016,11/4/2015,10/5/2016,9/28/2016,8/3/2016
RHI,Robert Half International Inc.,RHI.3Q16,3200,3235,3Q16,2016/3F,43.8,10/27/2016,4,9/30/2016,0.71,0.71,0.71,2.910,37.86,2.925,38.19,2.882,37.18,-29.012466,2.7165055,0.6324053,3.3689141,-1.3340473,-1.7566442,2.9,2.4,2.1,2.831349741,2.30066843,2.478801446,41.1,42.0,1.74,1.63,0.752447,4695.01,5094.93,5361.339,0.077,0.077,0.078,0.001,-32.381,4.051,2.389,0.175021278,0.351839593,0.230663969,0.142225307,0.10,7.53,2.27,-0.419,-0.174,14.19228074,10/26/2016,11/1/2016,10/20/2016,10/29/2015,9/29/2016,9/22/2016,7/28/2016
TVPT,Travelport Worldwide Ltd.,TVPT.3Q16,3200,3205,3Q16,2016/3F,10.7,11/03/2016,4,9/30/2016,0.30,0.30,0.30,1.356,15.03,1.370,14.08,1.314,13.61,5.20314,3.45335,-5.6300282,3.2037616,-1.5806377,-1.0593474,1.4,3.9,3.9,1.439679486,1.917413345,1.877979729,17.7,17.7,1.14,1.14,0.3233349,2148,2221,2377.92,0.090,0.097,0.097,-0.001,1.999,5.034,-4.571,-0.635826875,-0.641420603,-0.249155385,-0.23338923,0.00,25.36,0.00,0.185,0.753,10.70391061,11/2/2016,11/8/2016,10/27/2016,11/5/2015,10/6/2016,9/29/2016,8/4/2016
SITC,SITE Centers Corp.,SITC.3Q16,4800,4890,3Q16,2016/3F,54.5,10/27/2016,4,9/30/2016,,0.07,0.08,0.409,28.774107,0.401,27.02422,0.435,32.17483,3.701532,-16.008204,-7.9302607,3.3689141,-1.3340473,-1.7566442,0.9,1.7,2.3,1.519700531,1.358130393,2.067211625,31.1,31.2,1.96,1.89,0.4240777,953.768,995.1,978.71,0.014,0.015,0.014,-0.001,0.333,-14.674,-6.174,-0.491721201,-0.622704466,0.118965114,-0.264854884,0.07,15.10,0.28,0.000,0.000,2.615101366,10/26/2016,11/1/2016,10/20/2016,10/29/2015,9/29/2016,9/22/2016,7/28/2016
MNRO,Monro Inc,MNRO.3Q16,3500,3540,3Q16,2016/2F,15.0,10/20/2016,4,9/30/2016,0.55,0.56,0.57,2.258,61.17,2.280,61.04,2.220,63.94,-15.282166,-4.535496,2.467692,6.4611435,-1.4528751,-0.67356825,13.8,16.9,13.2,12.35634149,11.53740134,12.5031361,69.0,70.1,1.77,1.79,0.68423814,894.492,943.651,999.825,0.037,0.037,0.035,-0.003,-21.743,-3.083,3.141,-0.182779573,0.046309133,0.070981336,-0.011740623,-0.02,13.04,1.66,-1.079,-3.846,11.77573416,10/19/2016,10/25/2016,10/13/2016,10/22/2015,9/22/2016,9/15/2016,7/21/2016
NHI,"National Health Investors, Inc.",NHI.3Q16,4800,4890,3Q16,2016/3F,20.2,11/07/2016,1,9/30/2016,,0.87,0.86,3.670,78.48,3.660,75.76,3.664,78.48,32.06656,-3.4658551,-2.282983,4.402685,-2.5911152,-1.7379522,7.0,3.8,5.7,3.762488282,3.228613747,3.675243079,79.3,75.0,1.80,1.88,0.42163703,177.509,228.988,245.2975,0.047,0.048,0.047,-0.002,27.664,-0.875,-0.545,0.861517555,0.235040424,0.165357202,0.023738621,-0.08,4.72,-5.46,0.000,0.000,38.18876789,11/4/2016,11/10/2016,10/31/2016,11/9/2015,10/10/2016,10/3/2016,8/8/2016
COR,CoreSite Realty Corporation,COR.3Q16,4800,4890,3Q16,2016/3F,44.4,10/27/2016,4,9/30/2016,0.33,0.35,0.38,1.754,74.04,1.759,78,1.788,82.28,37.58426,-5.2017508,0.3602624,3.3689141,-1.3340473,-1.7566442,3.7,4.5,3.2,6.66914402,6.635360447,6.556260456,90.1,90.3,1.46,1.58,0.49810246,272.42,333.292,397.856,0.024,0.023,0.022,-0.001,34.215,-3.868,2.117,-0.17429493,0.162866579,0.005091445,0.017217675,-0.12,15.51,0.17,-5.529,-13.309,46.04507745,10/26/2016,11/1/2016,10/20/2016,10/29/2015,9/29/2016,9/22/2016,7/28/2016
NTCT,"NetScout Systems, Inc.",NTCT.3Q16,3300,3308,3Q16,2016/2F,17.5,10/27/2016,4,9/30/2016,0.35,0.35,0.36,2.074,29.25,2.090,29.15,2.022,27.47,-23.58988,6.1157584,-0.91774464,3.3689141,-1.3340473,-1.7566442,15.1,15.9,6.8,9.564137809,10.40514122,9.755381197,31.0,31.0,1.40,1.33,0.5163978,453.669,1024.58,1214.7375,0.071,0.072,0.074,0.002,-26.959,7.450,0.839,-0.050520987,1.226335145,-0.080825756,-0.019603887,0.07,6.35,0.00,0.505,-0.438,167.758542,10/26/2016,11/1/2016,10/20/2016,10/29/2015,9/29/2016,9/22/2016,7/28/2016
GPI,"Group 1 Automotive, Inc.",GPI.3Q16,3500,3540,3Q16,2016/3F,17.3,10/20/2016,4,9/30/2016,2.11,2.09,2.05,7.962,63.88,7.994,62.14,7.757,60.09,-29.133589,3.4115434,1.3537765,6.4611435,-1.4528751,-0.67356825,10.1,10.8,7.6,13.8434082,13.91286811,13.26231267,69.8,69.3,1.75,1.75,0.5838742,9937.88,10632.5,10998.075,0.125,0.129,0.129,0.000,-35.595,4.864,2.027,-0.061308152,0.333179668,-0.004992494,0.043815551,0.00,12.29,-0.64,0.722,2.732,10.66822099,10/19/2016,10/25/2016,10/13/2016,10/22/2015,9/22/2016,9/15/2016,7/21/2016
RXN,Rexnord Corporation,RXN.3Q16,1200,1210,3Q16,2016/2F,11.0,11/03/2016,4,9/30/2016,0.38,0.38,0.38,1.616,21.41,1.616,19.66,1.584,21.07,4.1727304,-6.6919804,-6.780463,3.2037616,-1.5806377,-1.0593474,3.1,3.3,3.2,1.644814846,1.539811062,1.660193276,22.1,21.6,1.65,1.75,0.74721706,2050.2,1923.8,1950.3275,0.075,0.082,0.075,-0.007,0.969,-5.111,-5.721,-0.063824527,-0.034857352,0.068192641,-0.009263036,-0.10,12.54,-2.26,0.278,-0.309,-4.871354014,11/2/2016,11/8/2016,10/27/2016,11/5/2015,10/6/2016,9/29/2016,8/4/2016
WAB,Westinghouse Air Brake Technologies Corporation,WAB.3Q16,1200,1220,3Q16,2016/3F,66.5,10/25/2016,2,9/30/2016,0.99,0.99,1.00,4.277,81.65,4.278,80.81,4.270,68.65,-3.8452148,17.713034,8.092558,5.008626,-1.3757706,-0.018048286,16.5,16.4,11.0,17.65402976,16.68422544,15.59759044,85.0,81.8,1.33,1.36,0.49236596,3044.45,3307.99,2980.8743,0.052,0.053,0.062,0.009,-8.854,19.089,8.111,0.006110296,0.497693679,0.058127021,0.131843398,-0.03,5.19,-3.82,0.589,-0.245,-2.088249109,10/24/2016,10/28/2016,10/18/2016,10/27/2015,9/27/2016,9/20/2016,7/26/2016
TRV,"Travelers Companies, Inc.",TRV.3Q16,4800,4855,3Q16,2016/3F,161.1,10/20/2016,4,9/30/2016,2.40,2.24,2.26,9.712,114.55,9.736,115.06,9.659,116.72,3.926289,-1.4222085,0.104403496,6.4611435,-1.4528751,-0.67356825,5.1,6.6,4.2,2.696447134,2.749260771,2.34074455,116.2,114.1,1.86,1.87,0.4453463,23904,24121,24811.957,0.085,0.085,0.083,-0.002,-2.535,0.031,0.778,-0.228793084,0.232940326,-0.019210123,0.1519613,-0.01,1.02,-1.83,7.129,5.916,3.798347557,10/19/2016,10/25/2016,10/13/2016,10/22/2015,9/22/2016,9/15/2016,7/21/2016
