ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
FUL,H.B. Fuller Company,FUL.1Q16,2200,2240,1Q16,2016/1F,12.9,03/24/2016,6.5,0.39,0.43,0.04,-0.7,4,3/23/2016,3/29/2016,5.5,1.1,4.4,1,3/17/2016,0.45,0.35,0.10,0.432
VER,"VEREIT, Inc. Class A",VER.1Q16,4800,4890,1Q16,2016/1F,48.5,05/05/2016,6.4,0.00,-0.15,-0.15,-1.5,4,5/4/2016,5/10/2016,6.4,1.6,4.9,2,4/28/2016,0.00,0.00,0.00,-39.415
GPT,Gramercy Property Trust,GPT.1Q16,4800,4890,1Q16,2016/1F,20.3,05/04/2016,6.4,0.14,-0.06,-0.20,-7.0,3,5/3/2016,5/9/2016,6.4,-0.2,6.7,2,4/27/2016,0.30,0.06,0.24,-0.833
SPLK,Splunk Inc.,SPLK.1Q16,3300,3308,1Q16,2016/1F,111.2,05/27/2016,6.4,-0.02,-0.02,0.00,6.8,5,5/26/2016,6/1/2016,6.0,0.5,5.5,36,5/20/2016,0.01,-0.04,0.05,-0.076
CDW,CDW Corp.,CDW.1Q16,3300,3308,1Q16,2016/1F,44.5,05/04/2016,6.4,0.65,0.67,0.02,0.3,3,5/3/2016,5/9/2016,6.4,-0.2,6.7,9,4/27/2016,0.68,0.63,0.05,0.333
NTCT,"NetScout Systems, Inc.",NTCT.1Q16,3300,3308,1Q16,2015/4F,28.5,05/05/2016,6.4,0.42,0.44,0.02,1.6,4,5/4/2016,5/10/2016,6.4,1.6,4.8,8,4/28/2016,0.47,0.38,0.09,0.272
EXR,Extra Space Storage Inc.,EXR.1Q16,4800,4890,1Q16,2016/1F,140.6,05/03/2016,6.4,0.52,0.66,0.14,0.7,2,5/2/2016,5/6/2016,6.4,-1.2,7.6,5,4/26/2016,0.56,0.49,0.07,2.011
CATM,Cardtronics plc Class A,CATM.1Q16,3200,3205,1Q16,2016/1F,14.4,04/29/2016,6.4,0.65,0.68,0.03,3.1,5,4/28/2016,5/4/2016,6.4,-1.2,7.6,9,4/22/2016,0.68,0.64,0.04,0.781
UAA,"Under Armour, Inc. Class A",UAA.1Q16,2400,2440,1Q16,2016/1F,164.3,04/21/2016,6.4,0.02,0.04,0.02,1.2,4,4/20/2016,4/26/2016,6.4,-0.4,6.8,31,4/14/2016,0.04,0.01,0.03,0.529
BABY,Natus Medical Incorporated,BABY.1Q16,2300,2325,1Q16,2016/1F,13.0,04/20/2016,6.4,0.30,0.34,0.04,-3.5,3,4/19/2016,4/25/2016,6.4,-0.6,7.0,3,4/13/2016,0.32,0.28,0.04,1.083
WAGE,"WageWorks, Inc.",WAGE.1Q16,3300,3308,1Q16,2016/1F,10.2,05/06/2016,6.3,0.29,0.33,0.04,0.9,5,5/5/2016,5/11/2016,6.3,0.7,5.7,7,4/29/2016,0.30,0.29,0.01,3.857
ATVI,"Activision Blizzard, Inc.",ATVI.1Q16,1400,1435,1Q16,2016/1F,343.5,05/06/2016,6.3,0.12,0.23,0.11,11.6,5,5/5/2016,5/11/2016,6.3,0.7,5.6,18,4/29/2016,0.15,0.10,0.05,2.231
AMN,"AMN Healthcare Services, Inc.",AMN.1Q16,3200,3235,1Q16,2016/1F,26.2,05/06/2016,6.3,0.50,0.60,0.10,4.8,5,5/5/2016,5/11/2016,6.3,0.7,5.6,8,4/29/2016,0.51,0.46,0.05,2.034
CB,Chubb Limited,CB.1Q16,4800,4855,1Q16,2016/1F,299.5,05/05/2016,6.3,2.16,2.26,0.10,-16.5,4,5/4/2016,5/10/2016,6.3,1.6,4.7,22,4/28/2016,2.40,1.98,0.42,0.235
CRM,"salesforce.com, inc.",CRM.1Q16,3300,3310,1Q16,2016/1F,419.7,05/19/2016,6.3,0.23,0.24,0.01,1.2,4,5/18/2016,5/24/2016,6.3,1.5,4.8,41,5/12/2016,0.24,0.22,0.02,0.314
ATU,Actuant Corporation Class A,ATU.1Q16,1200,1210,1Q16,2016/2F,16.2,03/16/2016,6.3,0.17,0.21,0.04,-1.6,3,3/15/2016,3/21/2016,6.3,1.9,4.4,1,3/9/2016,0.21,0.13,0.08,0.500
PVH,PVH Corp.,PVH.1Q16,2400,2440,1Q16,2016/1F,101.5,05/26/2016,6.3,1.43,1.50,0.07,0.9,4,5/25/2016,5/31/2016,4.4,0.4,4.1,17,5/19/2016,1.45,1.40,0.05,1.394
CW,Curtiss-Wright Corporation,CW.1Q16,1300,1330,1Q16,2016/1F,29.7,05/05/2016,6.2,0.68,0.73,0.05,2.4,4,5/4/2016,5/10/2016,6.2,1.6,4.6,6,4/28/2016,0.72,0.61,0.11,0.455
247680,"Johnson Controls, Inc.",247680.1Q16,1200,1225,1Q16,2016/2F,172.8,04/21/2016,6.2,0.82,0.86,0.04,0.1,4,4/20/2016,4/26/2016,6.2,-0.4,6.7,17,4/14/2016,0.83,0.79,0.04,1.041
WFM,"Whole Foods Market, Inc.",WFM.1Q16,3500,3505,1Q16,2016/2F,171.8,05/05/2016,6.2,0.41,0.44,0.03,-1.2,4,5/4/2016,5/10/2016,6.2,1.6,4.6,28,4/28/2016,0.43,0.37,0.06,0.541
EWBC,"East West Bancorp, Inc.",EWBC.1Q16,4800,4810,1Q16,2016/1F,48.0,04/21/2016,6.2,0.67,0.74,0.07,0.8,4,4/20/2016,4/26/2016,6.2,-0.4,6.6,13,4/14/2016,0.68,0.66,0.02,3.409
DOOR,Masonite International Corp.,DOOR.1Q16,1200,1230,1Q16,2016/1F,16.8,05/05/2016,6.2,0.40,0.57,0.17,5.6,4,5/4/2016,5/10/2016,6.2,1.6,4.6,10,4/28/2016,0.47,0.26,0.21,0.787
FTNT,"Fortinet, Inc.",FTNT.1Q16,1300,1352,1Q16,2016/1F,76.1,04/27/2016,6.2,0.09,0.12,0.03,4.1,3,4/26/2016,5/2/2016,6.2,-0.5,6.7,31,4/20/2016,0.10,0.08,0.02,1.510
