ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
LOCK,"LifeLock, Inc.",LOCK.3Q15,3200,3205,3Q15,2015/3F,32.3,10/29/2015,4,9/30/2015,,0.25,0.25,0.722,8.76,0.732,9.42,0.694,8.05,-48.16568,17.018627,6.5610886,-3.4476638,-2.8292418,5.8754086,11.9,5.8,11.7,15.76086599,15.76022504,16.20144908,11.9,13.5,1.71,1.71,0.48795003,369.658,476.016,,0.082,0.078,0.086,0.008,-44.718,19.848,0.686,1.06474074,0.017411344,4.06689E-05,-0.027194055,0.00,25.80,14.28,0.000,0.000,,10/28/2015,11/3/2015,10/22/2015,10/30/2014,10/1/2015,9/24/2015,7/30/2015
ECHO,"Echo Global Logistics, Inc",ECHO.3Q15,4600,4630,3Q15,2015/3F,11.5,10/29/2015,4,9/30/2015,0.31,0.33,0.33,1.323,19.6,1.323,21.48,1.241,31.36,-23.725569,-31.505102,3.9690256,-3.4476638,-2.8292418,5.8754086,5.4,4.3,6.1,9.154439776,9.223668433,10.81943634,33.5,35.2,1.08,1.36,0.2773501,884.2,1173.4,1531.34,0.068,0.062,0.040,-0.022,-20.278,-28.676,-1.906,0.255217763,-0.121021375,-0.007505545,-0.1538894,-0.29,55.75,5.28,-5.537,-5.879,73.18932368,10/28/2015,11/3/2015,10/22/2015,10/30/2014,10/1/2015,9/24/2015,7/30/2015
CSTM,Constellium NV Class A,CSTM.3Q15,3200,3205,3Q15,2015/3F,10.7,11/05/2015,4,9/30/2015,0.05,0.08,0.14,0.859,6.06,0.850,3.66,0.720,5.89,-69.48743,-37.860783,-39.901478,-0.6691277,-0.04284382,8.338261,2.8,2.8,3.2,3.382222727,4.157373282,3.453727669,13.1,15.8,1.30,1.27,0.4830459,4815.935,4436.0435,5656.1265,0.142,0.232,0.122,-0.110,-68.818,-37.818,-48.240,0,-0.111598916,-0.186451998,-0.0207037,0.03,258.01,20.24,-31.019,-61.372,17.44607226,11/4/2015,11/10/2015,10/29/2015,11/6/2014,10/8/2015,10/1/2015,8/6/2015
ANF,Abercrombie & Fitch Co. Class A,ANF.3Q15,3500,3525,3Q15,2015/3F,57.0,11/20/2015,5,9/30/2015,0.24,0.23,0.30,0.949,21.19,0.977,19.9,0.857,16.45,-29.915112,20.972633,-2.4987757,0.56216717,2.2546291,-0.6394923,12.1,10.7,12.7,34.00035079,34.36567876,33.358612,20.7,20.8,2.02,2.12,0.66714,4116.89,3744.03,3481.7278,0.045,0.049,0.052,0.003,-30.477,18.718,-1.859,0.126670526,-0.051603199,-0.010630605,0.019237575,-0.11,3.96,0.46,4.267,-20.296,-15.4282043,11/19/2015,11/25/2015,11/13/2015,11/21/2014,10/23/2015,10/16/2015,8/21/2015
SSTK,"Shutterstock, Inc.",SSTK.3Q15,3300,3320,3Q15,2015/3F,25.7,11/05/2015,4,9/30/2015,0.28,0.27,0.28,1.417,30.24,1.441,28.38,1.408,34.42,-54.558804,-17.547935,-4.860878,-0.6691277,-0.04284382,8.338261,10.9,10.9,16.1,31.92955769,28.67898731,43.63549915,45.6,47.7,1.81,1.81,0.6512351,235.515,327.971,425.62766,0.047,0.051,0.041,-0.010,-53.890,-17.505,-13.199,0,-0.326005285,0.113343276,-0.268266473,0.00,60.58,4.70,4.958,1.644,80.72210263,11/4/2015,11/10/2015,10/29/2015,11/6/2014,10/8/2015,10/1/2015,8/6/2015
STMP,Stamps.com Inc.,STMP.3Q15,3300,3320,3Q15,2015/3F,21.0,11/06/2015,5,9/30/2015,0.72,0.89,0.89,3.831,74.01,3.669,75.61,3.755,84.4,72.08761,-10.414696,2.3000956,-0.62617064,-0.20252466,6.341243,6.4,4.3,2.2,8.227067436,7.174874169,3.129364916,89.3,88.6,1.17,1.20,0.4082483,127.819,147.269,196.987,0.052,0.049,0.044,-0.004,72.714,-10.212,-4.041,0.480189048,1.860635231,0.146649717,1.628989478,-0.03,18.15,-0.82,-19.283,-19.283,54.11402061,11/5/2015,11/11/2015,10/30/2015,11/7/2014,10/9/2015,10/2/2015,8/7/2015
MDAS,"MedAssets, Inc.",MDAS.3Q15,3300,3305,3Q15,2015/3F,14.2,11/02/2015,1,9/30/2015,0.28,0.28,0.28,1.292,20.06,1.307,23,1.258,23.6,0.18553734,-2.5423765,18.312752,-1.4117658,-1.5478015,9.659028,12.9,11.6,4.4,7.52423276,8.968891047,8.271647848,21.5,21.5,1.89,1.88,0.48628372,680.416,720.229,762.689,0.064,0.057,0.053,-0.004,1.597,-0.995,8.654,0.112994002,1.953110489,-0.161074349,-0.090358669,0.01,-6.52,0.00,0.788,0.091,12.09157339,10/30/2015,11/5/2015,10/26/2015,11/3/2014,10/5/2015,9/28/2015,8/3/2015
TALO,"Talos Energy, Inc.",TALO.3Q15,2100,2110,3Q15,2015/3F,15.0,11/03/2015,2,9/30/2015,-4.40,-4.50,-2.87,-48.374,281.3895,-58.449,294.43784,-29.101,300.111,-59.259262,-1.8903553,6.7901134,-1.4871061,-1.6685367,9.200692,4.5,4.4,4.9,0.388060505,0.344096823,0.287736004,574.4,994.0,1.46,1.43,0.4770368,974.179,795.542,546.3986,-0.172,-0.199,-0.097,0.102,-57.772,-0.222,-2.411,0.021628627,-0.090047025,0.12776544,0.348668571,0.03,95.09,73.05,-2.121,53.202,-43.91188888,11/2/2015,11/6/2015,10/27/2015,11/4/2014,10/6/2015,9/29/2015,8/4/2015
SLCA,"U.S. Silica Holdings, Inc.",SLCA.3Q15,1100,1125,3Q15,2015/3F,47.1,10/28/2015,3,9/30/2015,-0.03,-0.01,0.01,0.243,14.09,0.231,16.28,0.572,25.11,-70.05313,-35.165276,-3.5544932,-3.0101478,-4.3025312,3.8896918,8.4,7.7,10.3,31.80382822,36.55754771,36.58183947,24.5,31.4,1.69,1.44,0.60207975,545.985,876.741,652.8101,0.017,0.014,0.023,0.009,-67.043,-30.863,-7.444,0.08587563,-0.184393399,-0.130033872,-0.130611563,0.25,50.49,28.01,112.500,-454.167,19.56557415,10/27/2015,11/2/2015,10/21/2015,10/29/2014,9/30/2015,9/23/2015,7/29/2015
RYAM,Rayonier Advanced Materials Inc,RYAM.3Q15,2200,2210,3Q15,2015/3F,12.0,10/29/2015,4,9/30/2015,0.45,0.44,0.41,1.127,6.12,1.107,7.5,1.272,13.27,-76.740845,-43.48154,12.951815,-3.4476638,-2.8292418,5.8754086,6.8,1.3,6.9,11.09883077,10.44358638,11.24736671,11.4,17.6,1.70,1.70,0.6708204,1047,957.7,934.88074,0.184,0.148,0.096,-0.052,-73.293,-40.652,7.076,4.234930295,-0.015679564,0.06274132,-0.013206286,0.00,52.00,54.39,1.664,9.720,-10.70862082,10/28/2015,11/3/2015,10/22/2015,10/30/2014,10/1/2015,9/24/2015,7/30/2015
