ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
FNSR,Finisar Corporation,FNSR.3Q15,1300,1352,3Q15,2015/2F,22.3,12/11/2015,5,9/30/2015,0.22,0.23,0.23,1.054,11.13,1.076,12.46,1.040,12.16,-38.641304,2.4671078,1.3832331,1.01614,6.2625766,-0.4295528,8.8,6.2,6.4,6.719460455,6.696201962,7.726385129,15.8,16.5,1.73,1.75,0.438529,1156.83,1250.94,1263.2428,0.095,0.086,0.086,-0.001,-39.657,-3.795,1.813,0.40888181,0.367135914,0.003473386,-0.130322869,-0.02,26.61,4.88,-2.573,-3.199,9.198654945,12/10/2015,12/16/2015,12/4/2015,12/12/2014,11/13/2015,11/6/2015,9/11/2015
EROS,Eros International PLC Class A,EROS.3Q15,3400,3430,3Q15,2015/2F,17.1,11/17/2015,2,9/30/2015,0.37,0.39,0.39,1.215,27.19,1.223,12.03,1.155,35.56,-5.2409945,-66.16985,-61.155956,-0.8259654,-0.9400606,3.718853,2.2,4.4,1.3,24.29519328,12.74752632,2.500594263,36.3,44.7,1.25,1.00,0.5,235.47,284.175,294.90466,0.045,0.102,0.032,-0.069,-4.415,-65.230,-64.875,-0.508867834,0.656240201,0.905875122,8.715767822,0.25,202.02,22.94,-4.183,-4.183,25.24086295,11/16/2015,11/20/2015,11/10/2015,11/18/2014,10/20/2015,10/13/2015,8/18/2015
BLOX,Infoblox Inc.,BLOX.3Q15,3300,3308,3Q15,2016/1F,17.9,12/01/2015,2,9/30/2015,0.06,0.06,0.08,0.344,15.98,0.369,14.06,0.436,18.98,-9.265351,-25.922018,-13.370299,2.2172213,8.845663,1.2930512,5.1,4.3,2.8,6.850783066,6.816975744,5.265344463,26.0,29.0,1.38,1.31,0.6504436,250.34,306.125,370.9751,0.022,0.026,0.023,-0.003,-11.483,-34.768,-14.663,0.195570929,0.810162498,0.004959284,0.30110824,0.08,84.92,11.54,-2.946,-26.308,48.18850364,11/30/2015,12/4/2015,11/24/2015,12/2/2014,11/3/2015,10/27/2015,9/1/2015
MU,"Micron Technology, Inc.",MU.3Q15,1300,1305,3Q15,2015/4F,565.7,10/02/2015,5,9/30/2015,0.31,0.35,0.39,1.975,14.98,2.024,14.91,2.607,19.07,-50.441956,-21.81437,-6.578946,-1.8573463,-7.0862474,-2.8388321,1.5,1.6,1.6,5.882951786,5.836650747,5.659639834,25.5,29.6,1.35,1.40,0.5252627,9073,16358,16158.259,0.132,0.136,0.137,0.001,-48.585,-14.728,-3.740,-0.082885415,-0.061093042,0.00793281,0.039456919,-0.05,71.13,16.03,-10.629,-20.345,78.09168963,10/1/2015,10/7/2015,9/25/2015,10/3/2014,9/4/2015,8/28/2015,7/3/2015
GIMO,Gigamon Inc.,GIMO.3Q15,3300,3305,3Q15,2015/3F,10.6,10/23/2015,5,9/30/2015,0.17,0.17,0.17,0.782,20.01,0.789,22.01,0.751,26.56,66.18868,-17.13102,-9.646964,-1.3492048,-2.2868156,3.5995364,2.3,1.9,3.2,3.170061849,3.956770717,5.436941183,36.8,36.8,1.25,1.25,0.41833,140.295,157.13,212.9875,0.039,0.036,0.028,-0.008,67.538,-14.844,-13.247,0.188077589,-0.299275448,-0.198825993,-0.416940198,0.00,67.20,0.00,-0.990,-0.990,51.81403471,10/22/2015,10/28/2015,10/16/2015,10/24/2014,9/25/2015,9/18/2015,7/24/2015
TREE,"LendingTree, Inc.",TREE.3Q15,4800,4830,3Q15,2015/3F,33.1,10/26/2015,1,9/30/2015,0.51,0.50,0.34,2.406,93.03,2.475,98.46,1.766,81.71,151.15831,20.499325,-14.826989,-3.7482202,-1.6491175,3.179717,2.8,2.0,3.9,12.90493633,10.96427202,18.76790424,117.0,80.7,1.17,1.17,0.28867513,139.24,167.35,228.6425,0.026,0.025,0.022,-0.004,154.907,22.148,-18.007,0.361731284,-0.290312461,0.17699892,-0.31239332,0.00,18.83,-31.05,2.064,49.707,64.20748348,10/23/2015,10/29/2015,10/19/2015,10/27/2014,9/28/2015,9/21/2015,7/27/2015
UNT,Unit Corporation,UNT.3Q15,2100,2105,3Q15,2015/3F,20.5,11/03/2015,2,9/30/2015,-0.27,-0.25,-0.20,-0.527,11.26,-0.833,12.1,-0.221,17.86,-59.01456,-32.25084,3.773594,-1.4871061,-1.6685367,9.200692,4.7,5.5,5.4,12.60380806,11.46326156,9.173332169,24.1,32.9,1.56,1.70,0.46398038,1351.85,1572.94,856.7,-0.047,-0.069,-0.012,0.056,-57.527,-30.582,-5.427,-0.155953885,-0.142568337,0.099495811,0.373961809,-0.14,99.38,36.33,9.345,38.144,-36.62758442,11/2/2015,11/6/2015,10/27/2015,11/4/2014,10/6/2015,9/29/2015,8/4/2015
VRTS,"Virtus Investment Partners, Inc.",VRTS.3Q15,4800,4845,3Q15,2015/3F,13.9,10/30/2015,5,9/30/2015,1.72,2.20,2.23,8.682,100.5,8.065,111.26,9.001,120.86,-44.433903,-7.943076,8.334959,-3.2268822,-1.6364574,7.051623,6.2,5.7,4.4,6.864431679,7.337423592,5.69357793,111.2,132.5,2.25,2.00,0.75828755,389.215,450.598,384.331,0.086,0.072,0.074,0.002,-41.207,-6.307,1.283,0.084445406,0.425810532,-0.064462942,0.205644634,0.25,-0.05,19.15,-21.823,-22.844,-1.254833447,10/29/2015,11/4/2015,10/23/2015,10/31/2014,10/2/2015,9/25/2015,7/31/2015
BDC,Belden Inc.,BDC.3Q15,1200,1235,3Q15,2015/3F,27.4,10/28/2015,3,9/30/2015,1.10,1.11,1.11,5.328,46.69,5.371,49.95,5.231,62.03,-31.849367,-19.474447,2.5456786,-3.0101478,-4.3025312,3.8896918,9.3,5.8,12.3,6.731984226,7.947329521,6.140449275,79.0,79.0,1.17,1.17,0.4082483,2069.19,2308.26,2366.7666,0.114,0.108,0.084,-0.023,-28.839,-15.172,-1.344,0.60003388,-0.245580188,-0.152924991,0.096334148,0.00,58.16,0.00,-0.754,-0.754,14.38130863,10/27/2015,11/2/2015,10/21/2015,10/29/2014,9/30/2015,9/23/2015,7/29/2015
HLX,"Helix Energy Solutions Group, Inc.",HLX.3Q15,3100,3110,3Q15,2015/3F,15.5,10/20/2015,2,9/30/2015,0.05,0.08,0.13,0.218,4.79,0.183,5.9,0.532,9.4,-77.439026,-37.23404,-4.838705,0.38092136,-5.378419,1.1952758,3.2,2.4,1.4,5.996572315,5.042917681,3.157925817,10.9,15.6,1.58,1.54,0.44935852,876.561,1107.15,691.82465,0.045,0.031,0.057,0.026,-77.820,-31.856,-6.034,0.292004885,1.241092885,0.189107714,0.898895878,0.04,84.56,43.49,-37.185,-61.698,-21.07512769,10/19/2015,10/23/2015,10/13/2015,10/21/2014,9/22/2015,9/15/2015,7/21/2015
AKS,AK Steel Holding Corporation,AKS.3Q15,1100,1105,3Q15,2015/3F,28.1,10/27/2015,2,9/30/2015,-0.04,-0.12,-0.23,-0.214,2.41,-0.229,2.71,-0.396,2.9,-67.48299,-6.5517244,6.692922,-4.8960266,-2.9390097,4.3584585,5.8,6.6,7.0,25.35833888,28.18931552,29.33213033,3.5,4.5,1.92,1.82,0.5490634,5570.4,6505.7,6837.6963,-0.089,-0.085,-0.137,-0.052,-62.587,-3.613,2.334,-0.12672679,-0.175207331,-0.100427293,-0.135475719,0.10,28.54,30.05,-62.741,-80.296,22.75054395,10/26/2015,10/30/2015,10/20/2015,10/28/2014,9/29/2015,9/22/2015,7/28/2015
TRMB,Trimble Inc.,TRMB.3Q15,1300,1320,3Q15,2015/3F,42.7,10/30/2015,5,9/30/2015,0.21,0.23,0.34,1.217,16.42,1.214,18.52,1.373,23.1,-38.9799,-19.826841,14.462304,-3.2268822,-1.6364574,7.051623,3.4,3.0,5.9,3.168387324,3.68152076,2.463981797,21.6,28.0,1.71,1.58,0.4501683,2288.12,2395.54,2252.984,0.074,0.066,0.059,-0.006,-35.753,-18.190,7.411,0.126652577,-0.427471237,-0.139380835,0.285880978,0.13,16.77,29.48,-7.460,-36.873,-1.535583798,10/29/2015,11/4/2015,10/23/2015,10/31/2014,10/2/2015,9/25/2015,7/31/2015
EPE,EP Energy Corp. Class A,EPE.3Q15,2100,2105,3Q15,2015/3F,23.5,10/29/2015,4,9/30/2015,0.20,0.20,0.19,0.137,5.15,0.043,5.86,0.302,9.08,-62.552895,-35.46255,7.5229406,-3.4476638,-2.8292418,5.8754086,3.3,2.9,3.9,27.64905106,28.17108755,22.3941207,9.5,13.9,1.76,1.77,0.6005597,1694.9564,2163.5454,2164.04,0.027,0.007,0.033,0.026,-59.105,-32.633,1.648,0.126347725,-0.168264057,-0.018530931,0.234656695,-0.01,62.12,46.65,-0.999,5.719,27.67526056,10/28/2015,11/3/2015,10/22/2015,10/30/2014,10/1/2015,9/24/2015,7/30/2015
CHE,Chemed Corporation,CHE.3Q15,3350,3365,3Q15,2015/3F,23.7,10/23/2015,5,9/30/2015,1.63,1.61,1.61,7.160,133.47,7.183,131.63,6.998,141.61,31.507647,-7.047522,-4.6435714,-1.3492048,-2.2868156,3.5995364,15.7,12.5,23.5,14.27604851,15.27186527,17.45377084,139.5,138.0,1.80,1.80,0.4472136,1413.32,1456.28,1533.58,0.054,0.055,0.049,-0.005,32.857,-4.761,-8.243,0.259659631,-0.330159957,-0.065205968,-0.182065088,0.00,5.98,-1.08,1.242,1.494,8.509042538,10/22/2015,10/28/2015,10/16/2015,10/24/2014,9/25/2015,9/18/2015,7/24/2015
MPLX,MPLX LP,MPLX.3Q15,3100,3130,3Q15,2015/3F,27.7,10/29/2015,4,9/30/2015,0.64,0.62,0.63,2.592,38.21,2.445,36.22,2.497,56,-41.49545,-35.321426,-10.678172,-3.4476638,-2.8292418,5.8754086,6.4,6.0,7.8,11.31731929,11.37491614,4.929267493,65.3,72.4,1.67,1.60,0.70710677,486.3,548.3,618.9055,0.068,0.067,0.045,-0.023,-38.048,-32.492,-16.554,0.06409261,-0.175533063,-0.005063497,1.295943425,0.07,80.15,11.03,3.551,2.229,27.26825005,10/28/2015,11/3/2015,10/22/2015,10/30/2014,10/1/2015,9/24/2015,7/30/2015
PCRX,"Pacira Pharmaceuticals, Inc.",PCRX.3Q15,2300,2310,3Q15,2015/3F,51.4,10/27/2015,2,9/30/2015,0.13,0.15,0.22,1.288,41.1,1.302,41.31,1.565,59.64,-60.610004,-30.734402,-31.865412,-4.8960266,-2.9390097,4.3584585,4.8,7.6,8.3,21.26034096,15.76172626,14.86259833,81.7,95.0,1.20,1.28,0.42163703,85.551,197.668,246.4012,0.031,0.032,0.026,-0.005,-55.714,-27.795,-36.224,-0.371740047,-0.421660619,0.34885866,0.43045923,-0.08,97.77,16.28,-16.066,-40.809,188.0167386,10/26/2015,10/30/2015,10/20/2015,10/28/2014,9/29/2015,9/22/2015,7/28/2015
AMWD,American Woodmark Corporation,AMWD.3Q15,1200,1230,3Q15,2015/2F,11.0,11/24/2015,2,9/30/2015,,0.79,0.79,3.049,64.87,3.105,70.46,3.007,63.11,70.503426,11.64633,1.3229728,-0.20645857,9.287286,0.7292032,3.4,3.1,3.1,4.39633053,3.934737373,3.517120984,70.0,70.0,1.63,1.63,0.47871354,726.515,825.465,922.2,0.047,0.044,0.048,0.004,70.710,2.359,0.594,0.095039487,0.094117809,0.117312317,0.249979899,0.00,-0.65,0.00,0.000,0.000,26.93475014,11/23/2015,11/27/2015,11/17/2015,11/25/2014,10/27/2015,10/20/2015,8/25/2015
KLAC,KLA-Tencor Corporation,KLAC.3Q15,1300,1355,3Q15,2016/1F,84.0,10/21/2015,3,9/30/2015,0.56,0.56,0.88,3.499,50,3.482,52.59,3.940,51.67,-31.891895,1.7805338,-1.1280298,0.95380545,-5.683613,-0.1970768,2.1,2.1,3.5,2.993311295,2.907483947,2.648039726,57.0,65.1,1.79,1.79,0.60642695,2929.4,2814.04,2811.5916,0.070,0.066,0.076,0.010,-32.846,7.464,-0.931,-0.001556212,-0.394575274,0.029519457,0.130387609,0.00,8.30,14.30,0.544,-35.613,-4.021588039,10/20/2015,10/26/2015,10/14/2015,10/22/2014,9/23/2015,9/16/2015,7/22/2015
GMCR,"Keurig Green Mountain, Inc.",GMCR.3Q15,2400,2410,3Q15,2015/4F,164.7,11/19/2015,4,9/30/2015,0.71,0.71,0.71,3.502,52.14,3.526,45.41,3.520,50.4,-62.063156,-9.900797,-13.94732,0.013530254,0.21734238,0.87008476,7.0,6.7,7.5,13.53422565,13.94261212,10.55933521,65.7,66.9,1.83,1.88,0.4281744,4358.1,4707.68,4517.859,0.067,0.078,0.070,-0.008,-62.077,-10.118,-14.817,0.035512766,-0.069063299,-0.029290528,0.281730846,-0.04,44.66,1.86,0.481,0.269,3.665794727,11/18/2015,11/24/2015,11/12/2015,11/20/2014,10/22/2015,10/15/2015,8/20/2015
ARII,"American Railcar Industries, Inc.",ARII.3Q15,4600,4620,3Q15,2015/3F,11.4,10/29/2015,4,9/30/2015,1.32,1.42,1.39,5.202,36.16,5.095,45.47,5.458,41.54,-48.377808,9.460759,27.832449,-3.4476638,-2.8292418,5.8754086,10.1,6.9,7.6,11.16594687,10.32099816,9.39988272,43.5,49.6,2.10,2.10,0.5676462,750.592,733.006,838.77423,0.144,0.112,0.131,0.019,-44.930,12.290,21.957,0.467469147,0.333359789,0.081866958,0.187881509,0.00,-4.33,14.02,-7.063,-5.196,11.7483573,10/28/2015,11/3/2015,10/22/2015,10/30/2014,10/1/2015,9/24/2015,7/30/2015
GNRC,Generac Holdings Inc.,GNRC.3Q15,1200,1235,3Q15,2015/3F,32.1,10/28/2015,3,9/30/2015,0.78,0.80,0.92,2.909,30.09,2.883,26.99,3.263,35.64,-33.620117,-24.270481,-5.198455,-3.0101478,-4.3025312,3.8896918,16.3,13.0,23.5,20.77394436,20.90028239,18.52771641,34.6,42.8,1.75,1.88,0.5345225,1485.76,1460.91,1298.065,0.097,0.107,0.092,-0.015,-30.610,-19.968,-9.088,0.260009355,-0.305704956,-0.0060448,0.121236093,-0.13,28.20,23.70,-2.151,-15.086,-12.6329286,10/27/2015,11/2/2015,10/21/2015,10/29/2014,9/30/2015,9/23/2015,7/29/2015
YRCW,YRC Worldwide Inc.,YRCW.3Q15,4600,4615,3Q15,2015/3F,11.9,10/30/2015,5,9/30/2015,0.50,0.48,0.48,1.658,13.26,1.716,16.42,1.503,19.3,-33.955227,-14.922274,18.641615,-3.2268822,-1.6364574,7.051623,3.2,2.3,2.5,5.421529356,5.724578694,8.027733691,27.7,27.7,1.40,1.40,0.5477226,4865.4,5068.8,4892.99,0.125,0.105,0.078,-0.027,-30.728,-13.286,11.590,0.35749906,0.240614157,-0.052938278,-0.324650074,0.00,68.49,0.00,3.920,3.920,0.567065401,10/29/2015,11/4/2015,10/23/2015,10/31/2014,10/2/2015,9/25/2015,7/31/2015
ABCO,Advisory Board Company,ABCO.3Q15,3200,3205,3Q15,2015/3F,21.3,11/06/2015,5,9/30/2015,0.14,0.14,0.14,1.567,45.54,1.594,43.83,1.531,47.3,-6.5607605,-7.3361454,3.6170244,-0.62617064,-0.20252466,6.341243,11.8,13.8,9.0,9.411411843,9.20806597,7.456363074,62.8,62.7,1.17,1.25,0.34299716,520.596,574.21564,777.1421,0.034,0.036,0.032,-0.004,-5.935,-7.134,-2.724,-0.143866244,0.303357792,0.022083451,0.262198709,-0.08,43.28,-0.11,-1.065,-0.649,49.27930679,11/5/2015,11/11/2015,10/30/2015,11/7/2014,10/9/2015,10/2/2015,8/7/2015
DPLO,"Diplomat Pharmacy, Inc.",DPLO.3Q15,3350,3360,3Q15,2015/3F,28.0,11/04/2015,3,9/30/2015,0.16,0.17,0.17,0.821,28.73,0.847,27.9,0.766,47.75,20.710897,-41.570683,-2.8889656,-1.1716425,-0.7171631,8.618212,6.1,6.1,8.2,17.42045557,16.81791639,15.7628322,44.0,53.0,1.36,1.35,0.45226702,,2214.95,3314.0625,0.029,0.030,0.016,-0.014,21.883,-40.854,-11.507,0,-0.257239576,0.03582722,0.10516025,0.01,57.71,20.45,-0.831,-0.831,,11/3/2015,11/9/2015,10/28/2015,11/5/2014,10/7/2015,9/30/2015,8/5/2015
HBI,Hanesbrands Inc.,HBI.3Q15,2400,2440,3Q15,2015/3F,119.2,10/29/2015,4,9/30/2015,0.45,0.45,0.51,1.813,28.94,1.823,28.21,1.775,34.14,7.754338,-17.369658,-4.5023737,-3.4476638,-2.8292418,5.8754086,3.3,3.5,4.6,2.880317996,3.740763108,2.624303069,37.2,37.1,1.17,1.29,0.3834825,4627.8,5324.74,5865.093,0.063,0.065,0.052,-0.013,11.202,-14.540,-10.378,-0.07626585,-0.286968554,-0.230018605,0.097555397,-0.13,31.87,-0.27,-0.543,-10.813,26.7360949,10/28/2015,11/3/2015,10/22/2015,10/30/2014,10/1/2015,9/24/2015,7/30/2015
IMPV,"Imperva, Inc.",IMPV.3Q15,3300,3308,3Q15,2015/3F,35.4,10/30/2015,5,9/30/2015,-0.05,-0.05,-0.16,-0.280,65.48,-0.263,60.04,-0.514,65.7,64.38857,-8.61491,-12.94766,-3.2268822,-1.6364574,7.051623,4.3,3.2,3.3,7.70242557,8.207298824,5.407125257,77.7,65.9,1.32,1.28,0.4767313,137.759,164.01,217.12422,-0.004,-0.004,-0.008,-0.003,67.615,-6.978,-19.999,0.356232424,0.279535333,-0.061515154,0.424495495,0.04,29.36,-15.15,-1.369,-68.146,57.61164062,10/29/2015,11/4/2015,10/23/2015,10/31/2014,10/2/2015,9/25/2015,7/31/2015
HIBB,"Hibbett Sports, Inc.",HIBB.3Q15,3500,3540,3Q15,2015/3F,16.7,11/20/2015,5,9/30/2015,0.67,0.69,0.71,3.030,35.01,3.033,29.85,3.085,37.37,-29.612564,-20.123089,-16.480137,0.56216717,2.2546291,-0.6394923,6.1,8.4,12.7,18.60030336,15.51135844,15.80807445,41.3,46.6,1.98,1.88,0.5729655,851.965,913.486,953.2419,0.087,0.102,0.083,-0.019,-30.175,-22.378,-15.841,-0.270197714,-0.517495251,0.199140838,0.176633082,0.09,38.47,12.77,-2.448,-5.553,11.88744843,11/19/2015,11/25/2015,11/13/2015,11/21/2014,10/23/2015,10/16/2015,8/21/2015
