ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,year_earlier,6m_earlier,3m_earlier,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,1y_rtn_qtr_end,6m_rtn_qtr_end,3m_rtn_qtr_end,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
CHRW,"C.H. Robinson Worldwide, Inc.",CHRW.4Q14,4600,4605,4Q14,2014/4F,105.1,02/04/2015,3,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.76,0.76,0.75,28.35,17.40,12.92,3.397,74.89,3.444,72.94,3.308,71.45,31.132423,2.0853877,-2.603817,15.125155,-0.8066416,-2.5786102,9.8,9.8,5.9,6.720991151,8.758083901,7.967546738,75.1,71.5,1.90,2.03,0.5477226,11359.1,12752,13458.179,0.045,0.047,0.046,-0.001,16.007,2.892,-0.025,0,0.670590948,-0.232595711,-0.156454129,-0.13,2.89,-4.80,0.942,1.168,18.47927213,2/3/2015,2/9/2015,1/28/2015,2/5/2014,1/7/2015,12/31/2014,11/5/2014
CA,"CA, Inc.",CA.4Q14,3300,3310,4Q14,2014/3F,86.4,01/21/2015,3,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.60,0.60,0.64,-9.51,5.95,8.98,2.494,30.45,2.497,31.06,2.528,27.41,-8.717203,13.316309,4.9324274,12.106276,4.535103,-0.030428171,3.5,3.3,2.6,2.702253082,2.705857157,1.718865805,30.3,29.4,1.82,1.93,0.6078696,4643,4515,4305.686,0.082,0.080,0.092,0.012,-20.823,8.781,4.963,0.061083106,0.375543078,-0.001331953,0.57211405,-0.11,-2.39,-3.03,-1.377,-6.509,-7.265001077,1/20/2015,1/26/2015,1/14/2015,1/22/2014,12/24/2014,12/17/2014,10/22/2014
CAB,Cabela's Incorporated,CAB.4Q14,3500,3540,4Q14,2014/4F,48.3,02/12/2015,4,12/31/2014,12/31/2013,6/30/2014,9/30/2014,1.34,1.35,1.35,-20.93,-15.53,-10.51,3.506,52.71,3.538,56.65,3.457,52.43,-16.184252,8.048832,-0.19379258,8.383644,1.3770223,0.22599697,10.6,11.1,5.0,15.36551138,13.104879,16.88109441,60.1,59.3,1.41,1.40,0.4905354,3112.68,3599.57,3632.6763,0.067,0.062,0.066,0.003,-24.568,6.672,-0.420,-0.044444725,1.121347624,0.17250311,-0.089779904,0.01,6.06,-1.35,-0.340,-0.684,16.70574232,2/11/2015,2/17/2015,2/5/2015,2/13/2014,1/15/2015,1/8/2015,11/13/2014
CVC,Cablevision Systems Corporation Class A,CVC.4Q14,3400,3415,4Q14,2014/4F,55.8,02/25/2015,3,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.20,0.17,0.19,15.11,16.94,17.88,0.854,20.64,0.888,19.89,0.895,20.2,9.154118,-1.5346587,0.7598758,8.0214615,1.5460253,3.5287857,23.1,19.4,28.3,26.88610611,25.77995471,26.73390664,19.1,19.2,1.98,1.82,0.65844715,6705.46,6232.15,6456.4653,0.041,0.045,0.044,0.000,1.133,-3.081,-2.769,0.187785068,-0.184786426,0.042907423,0.005693125,0.16,-4.03,0.68,15.963,1.704,-3.713312733,2/24/2015,3/2/2015,2/18/2015,2/26/2014,1/28/2015,1/21/2015,11/26/2014
CBT,Cabot Corporation,CBT.4Q14,2200,2240,4Q14,2015/1F,20.7,01/29/2015,4,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.65,0.66,0.65,-14.67,-24.37,-13.61,3.650,43.86,3.635,42.94,3.739,45.07,-7.6048017,-4.7259865,-2.2090673,14.130378,3.4763098,-0.8483827,5.4,3.3,3.0,3.170818986,2.68024222,1.729744109,53.8,57.7,1.25,1.19,0.46291006,3463,3647,3631.5,0.083,0.085,0.083,-0.002,-21.735,-8.202,-1.361,0.643630552,0.775009232,0.183034489,0.833114487,0.06,25.37,7.21,-1.481,-0.309,4.865723361,1/28/2015,2/3/2015,1/22/2015,1/30/2014,1/1/2015,12/25/2014,10/30/2014
COG,Cabot Oil & Gas Corporation,COG.4Q14,2100,2105,4Q14,2014/4F,209.6,02/20/2015,5,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.22,0.23,0.25,-23.61,-13.27,-9.42,0.878,29.61,0.450,28.1,1.063,34.44,-21.04242,-18.408823,-3.2369137,11.112917,1.8971205,3.94094,2.4,2.6,2.8,3.56328716,4.472996811,4.348999745,35.2,39.2,1.51,1.42,0.4861159,1204.54,1746.27,2078.0918,0.030,0.016,0.031,0.015,-32.155,-20.306,-7.178,-0.072890942,-0.13945377,-0.203378113,-0.180665126,0.09,25.39,11.30,-5.455,-12.756,72.52160991,2/19/2015,2/25/2015,2/13/2015,2/21/2014,1/23/2015,1/16/2015,11/21/2014
CACI,CACI International Inc Class A,CACI.4Q14,3300,3308,4Q14,2015/2F,17.2,01/29/2015,4,12/31/2014,12/31/2013,6/30/2014,9/30/2014,1.03,1.03,1.07,17.70,22.75,20.92,5.434,86.18,5.456,87.96,5.396,82.05,15.83333,7.2029233,0.2278924,14.130378,3.4763098,-0.8483827,3.9,7.1,12.3,2.354823678,3.062936164,8.674443328,86.6,80.9,1.96,1.88,0.41437095,3681.99,3564.56,3432.8513,0.063,0.062,0.066,0.004,1.703,3.727,1.076,-0.454571086,-0.686434057,-0.231187478,-0.728533165,0.08,-1.52,-6.65,-0.141,-3.417,-6.766414357,1/28/2015,2/3/2015,1/22/2015,1/30/2014,1/1/2015,12/25/2014,10/30/2014
CDNS,"Cadence Design Systems, Inc.",CDNS.4Q14,1300,1355,4Q14,2014/4F,55.3,02/05/2015,4,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.28,0.27,0.27,35.31,8.46,10.23,1.069,18.97,1.077,18.01,1.049,18.23,35.542618,-1.2067974,-5.0606194,15.7166,-0.26715994,-1.6600788,16.8,16.8,7.2,10.61448723,13.78347054,10.67313806,20.0,20.0,1.21,1.09,0.49810246,1326.42,1460.11,1582.2,0.056,0.060,0.058,-0.002,19.826,-0.940,-3.401,0,1.333110267,-0.229911857,-0.005495182,0.12,11.05,0.00,1.784,1.784,19.28348487,2/4/2015,2/10/2015,1/29/2015,2/6/2014,1/8/2015,1/1/2015,11/6/2014
CZR,Caesars Entertainment Corporation,CZR.4Q14,3400,3445,4Q14,2014/4F,22.5,03/03/2015,2,12/31/2014,12/31/2013,6/30/2014,9/30/2014,,-1.84,-1.79,-27.16,-13.22,24.72,-6.350,15.69,-7.777,10.8,-6.627,16.24,-57.38572,-33.497536,-7.4550095,8.833814,2.747488,4.1767836,17.9,12.0,13.0,29.52885934,34.58250844,33.47984585,9.5,11.3,2.25,2.63,0.35355338,8586.7,8559.7,,-0.405,-0.720,-0.408,0.312,-66.220,-36.245,-11.632,0.487586488,0.370895517,-0.146133098,-0.118010893,-0.38,-12.04,18.42,0.000,0.000,,3/2/2015,3/6/2015,2/24/2015,3/4/2014,2/3/2015,1/27/2015,12/2/2014
CSTE,Caesarstone Ltd.,CSTE.4Q14,1100,1125,4Q14,2014/4F,12.4,02/11/2015,3,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.58,0.59,0.59,20.43,21.88,15.75,2.807,59.82,2.843,61.04,2.743,60.45,4.576707,0.97601414,4.6459794,10.116709,0.31467676,0.9531021,3.0,4.4,2.4,3.267730212,2.47154207,2.522829454,67.0,67.0,1.00,1.00,0,296.691,356.554,449.22168,0.047,0.047,0.045,-0.001,-5.540,0.661,3.693,-0.330455382,0.236981484,0.322142257,0.295264017,0.00,9.76,0.00,-2.202,-2.202,51.41061913,2/10/2015,2/16/2015,2/4/2015,2/12/2014,1/14/2015,1/7/2015,11/12/2014
