ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,year_earlier,6m_earlier,3m_earlier,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,1y_rtn_qtr_end,6m_rtn_qtr_end,3m_rtn_qtr_end,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
DDD,3D Systems Corporation,DDD.1Q15,1300,1315,1Q15,2015/1F,80.1,05/06/2015,3,3/31/2015,3/31/2014,9/30/2014,12/31/2014,0.04,0.17,0.22,-53.64,-40.87,-16.58,1.025,27.42,0.812,25.24,1.056,28.83,-42.211365,-12.452305,-8.117944,11.055565,3.2569647,2.0187259,21.8,21.8,12.7,34.5099523,36.54105776,34.48469684,31.3,41.6,1.94,1.82,0.6645119,513.4,653.652,796.74414,0.037,0.032,0.037,0.004,-53.267,-15.709,-10.137,0,0.713842093,-0.0555842,0.000732367,0.12,23.95,32.88,-75.464,-80.839,55.18974289,5/5/2015,5/11/2015,4/29/2015,5/7/2014,4/8/2015,4/1/2015,2/4/2015
MMM,3M Company,MMM.1Q15,1200,1255,1Q15,2015/1F,378.9,04/23/2015,4,3/31/2015,3/31/2014,9/30/2014,12/31/2014,1.92,1.93,1.94,21.59,16.42,0.38,8.364,164.95,8.377,165.89,8.250,165.89,18.982803,0,0.13883114,9.446251,2.384758,0.76304674,3.1,4.1,3.9,1.12216004,1.219326459,1.423382732,166.9,164.4,1.89,1.85,0.5829831,30871,31821,31778.99,0.051,0.050,0.050,-0.001,9.537,-2.385,-0.624,-0.238708184,-0.215078341,-0.079688601,-0.211624523,0.04,0.58,-1.50,-0.575,-1.272,2.941239351,4/22/2015,4/28/2015,4/16/2015,4/24/2014,3/26/2015,3/19/2015,1/22/2015
AOS,A. O. Smith Corporation,AOS.1Q15,1200,1230,1Q15,2015/1F,33.0,04/24/2015,5,3/31/2015,3/31/2014,9/30/2014,12/31/2014,0.31,0.31,0.31,42.68,38.87,16.40,1.436,32.83,1.447,32.19,1.379,27.775,37.48939,15.895581,-0.20152926,10.692633,1.7467618,-1.3134301,2.0,2.8,3.1,1.46753229,1.615138474,1.825585524,33.5,29.5,1.46,1.41,0.4770368,2153.8,2356,2586.795,0.044,0.045,0.050,0.005,26.797,14.149,1.112,-0.280145039,-0.348607525,-0.091389182,-0.196130627,0.05,3.91,-11.81,-0.504,-0.537,20.10377008,4/23/2015,4/29/2015,4/17/2015,4/25/2014,3/27/2015,3/20/2015,1/23/2015
AAN,"Aaron's, Inc.",AAN.1Q15,4800,4830,1Q15,2015/1F,19.6,04/24/2015,5,3/31/2015,3/31/2014,9/30/2014,12/31/2014,0.55,0.54,0.68,-6.38,16.41,-7.39,2.083,28.31,2.102,28.24,2.119,32.38,-3.2786906,-12.785673,0.035429,10.692633,1.7467618,-1.3134301,6.5,6.6,7.8,6.344332835,4.248461509,6.117855362,35.7,30.8,1.44,1.50,0.4955156,2234.63,2725.23,3164.6914,0.074,0.074,0.065,-0.009,-13.971,-14.532,1.349,-0.018365835,-0.165864083,0.493324777,0.037019096,-0.06,26.47,-13.67,1.852,-18.639,41.62037563,4/23/2015,4/29/2015,4/17/2015,4/25/2014,3/27/2015,3/20/2015,1/23/2015
ABAX,"Abaxis, Inc.",ABAX.1Q15,2300,2325,1Q15,2014/4F,12.3,05/01/2015,5,3/31/2015,3/31/2014,9/30/2014,12/31/2014,0.27,0.27,0.27,64.89,26.42,12.81,1.263,64.11,1.282,63.62,1.225,61.48,53.00678,3.480804,-1.2111843,10.062706,6.2779784,2.6218414,30.5,27.5,11.2,19.80865811,19.7405975,18.61591558,64.8,63.2,1.75,1.75,0.46291006,186.025,171.87,216.435,0.020,0.020,0.020,0.000,42.944,-2.797,-3.833,0.10851713,1.731542036,0.003447748,0.064071118,0.00,1.91,-2.57,0.358,0.156,16.34726515,4/30/2015,5/6/2015,4/24/2015,5/2/2014,4/3/2015,3/27/2015,1/30/2015
ABT,Abbott Laboratories,ABT.1Q15,2300,2325,1Q15,2015/1F,257.8,04/22/2015,3,3/31/2015,3/31/2014,9/30/2014,12/31/2014,0.42,0.42,0.43,20.31,11.40,2.91,2.215,46.33,2.217,46.83,2.274,44.06,20.54404,6.2868834,-1.18168,9.865629,4.09317,0.40507317,2.5,2.3,2.8,0.76702651,0.911917603,0.81477475,50.8,47.9,1.32,1.41,0.45106897,21848,20247,20708.324,0.048,0.047,0.052,0.004,10.678,2.194,-1.587,0.095306862,-0.085401331,-0.158886167,-0.058602993,-0.09,8.37,-5.53,-0.359,-3.019,-5.216385939,4/21/2015,4/27/2015,4/15/2015,4/23/2014,3/25/2015,3/18/2015,1/21/2015
ABBV,"AbbVie, Inc.",ABBV.1Q15,2300,2305,1Q15,2015/1F,713.3,04/23/2015,4,3/31/2015,3/31/2014,9/30/2014,12/31/2014,0.85,0.85,0.87,13.89,1.35,-10.54,4.464,58.54,4.465,62.59,4.441,62.98,16.119217,-0.6192446,2.28796,9.446251,2.384758,0.76304674,2.0,1.9,2.1,1.568957004,1.223528673,1.037069589,69.8,71.4,1.41,1.41,0.6115213,18790,19960,23200.791,0.076,0.071,0.071,-0.001,6.673,-3.004,1.525,0.021547666,-0.068123417,0.282321402,0.512875337,-0.01,11.44,2.41,0.026,-3.132,23.4741405,4/22/2015,4/28/2015,4/16/2015,4/24/2014,3/26/2015,3/19/2015,1/22/2015
ANF,Abercrombie & Fitch Co. Class A,ANF.1Q15,3500,3525,1Q15,2015/1F,74.3,05/28/2015,4,3/31/2015,3/31/2014,9/30/2014,12/31/2014,-0.35,-0.34,-0.21,-42.75,-39.35,-23.04,1.016,22.04,1.000,20.76,1.709,24.03,-39.47227,-13.60799,-9.30537,8.583307,1.0483742,0.74329376,9.9,9.7,10.9,33.95805498,34.7448405,28.77596521,21.6,28.5,2.06,1.86,0.6726968,4116.89,3744.03,3504.7861,0.046,0.048,0.071,0.023,-48.056,-14.656,-10.049,0.024819017,-0.088598281,-0.022644672,0.18008396,0.19,3.94,32.08,2.907,64.986,-14.86811404,5/27/2015,6/2/2015,5/21/2015,5/29/2014,4/30/2015,4/23/2015,2/26/2015
ABMD,"ABIOMED, Inc.",ABMD.1Q15,2300,2325,1Q15,2014/4F,29.8,05/05/2015,2,3/31/2015,3/31/2014,9/30/2014,12/31/2014,0.16,0.15,0.15,174.88,188.28,88.07,0.657,71.58,0.633,66.93,0.638,52.89,217.0987,26.545668,-6.496233,11.335397,3.2539845,2.0448089,4.5,4.5,5.0,8.579335773,8.81110582,10.5780993,65.0,52.3,1.59,1.50,0.5838742,158.124,183.643,225.32918,0.009,0.009,0.012,0.003,205.763,23.292,-8.541,0,-0.103223591,-0.026304309,-0.188952993,0.09,-2.88,-19.56,3.328,4.441,42.50156839,5/4/2015,5/8/2015,4/28/2015,5/6/2014,4/7/2015,3/31/2015,2/3/2015
ACHC,"Acadia Healthcare Company, Inc.",ACHC.1Q15,3350,3365,1Q15,2015/1F,24.2,04/29/2015,3,3/31/2015,3/31/2014,9/30/2014,12/31/2014,0.40,0.41,0.49,58.69,47.63,16.97,2.208,71.6,2.242,71.98,2.205,59.08,67.06329,21.834803,1.7529011,9.572482,5.4015517,2.2099376,9.8,12.2,13.5,8.709451433,8.079561321,8.521940563,75.0,70.7,1.14,1.14,0.30562493,713.408,1004.6,1667.7107,0.031,0.031,0.037,0.006,57.491,16.433,-0.457,-0.202873052,-0.278325709,0.07796093,0.022003307,0.00,4.20,-5.69,-2.062,-17.650,133.7667506,4/28/2015,5/4/2015,4/22/2015,4/30/2014,4/1/2015,3/25/2015,1/28/2015
