ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,year_earlier,6m_earlier,3m_earlier,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,1y_rtn_qtr_end,6m_rtn_qtr_end,3m_rtn_qtr_end,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
DDD,3D Systems Corporation,DDD.2Q15,1300,1315,2Q15,2015/2F,62.7,08/06/2015,4,6/30/2015,6/30/2014,12/31/2014,3/31/2015,0.09,0.09,0.10,-67.36,-40.61,-28.81,0.701,19.52,0.704,13.85,0.689,22.13,-65.58897,-37.41527,-26.912928,7.6282024,0.8677006,1.2945294,15.3,15.3,10.1,34.32452537,34.47838904,35.07662007,22.2,28.1,1.98,1.98,0.56103873,513.4,653.652,739.5896,0.036,0.051,0.031,-0.020,-73.217,-38.283,-28.207,0,0.508601867,-0.004462612,-0.021441481,0.00,60.25,26.59,0.246,-5.483,44.05718738,8/5/2015,8/11/2015,7/30/2015,8/7/2014,7/9/2015,7/2/2015,5/7/2015
MMM,3M Company,MMM.2Q15,1200,1255,2Q15,2015/2F,368.1,07/23/2015,4,6/30/2015,6/30/2014,12/31/2014,3/31/2015,1.99,2.00,2.02,7.72,-6.10,-6.46,8.339,154.3,8.365,157.17,8.258,159.66,7.434714,-1.5595675,-1.5348911,6.098902,0.37828684,-0.03386736,3.2,3.1,3.1,1.388716532,1.204710383,1.12216004,167.9,166.8,1.91,1.92,0.6183469,30871,31821,31147.025,0.054,0.053,0.052,-0.001,1.336,-1.938,-1.501,0.032161732,0.031038296,0.152738909,0.237538749,0.00,6.80,-0.64,-0.569,-1.559,0.894123935,7/22/2015,7/28/2015,7/16/2015,7/24/2014,6/25/2015,6/18/2015,4/23/2015
AOS,A. O. Smith Corporation,AOS.2Q15,1200,1230,2Q15,2015/2F,34.4,07/23/2015,4,6/30/2015,6/30/2014,12/31/2014,3/31/2015,0.33,0.33,0.32,45.18,27.60,9.63,1.519,35.99,1.532,34.05,1.452,32.825,48.029114,3.7319064,-7.560742,6.098902,0.37828684,-0.03386736,2.7,2.3,2.0,1.857318674,1.29951058,1.46753229,36.8,33.6,1.54,1.46,0.4770368,2153.8,2356,2602.4163,0.042,0.045,0.044,-0.001,41.930,3.354,-7.527,0.182464856,0.343634678,0.429244749,0.265606683,0.08,7.93,-8.71,0.000,3.403,20.82906027,7/22/2015,7/28/2015,7/16/2015,7/24/2014,6/25/2015,6/18/2015,4/23/2015
AIR,AAR CORP.,AIR.2Q15,1300,1330,2Q15,2014/4F,10.8,07/14/2015,2,6/30/2015,6/30/2014,12/31/2014,3/31/2015,0.15,0.00,0.00,15.64,14.72,3.81,1.614,31.87,1.625,31.04,1.416,30.45,17.043686,1.937604,6.155956,6.5271854,-0.76344013,0.022935867,7.4,5.9,3.8,6.712792432,5.756331771,3.857988966,34.8,34.6,1.25,1.40,0.5,2137.3,2035,1751.85,0.051,0.052,0.046,-0.006,10.517,2.701,6.133,0.256908218,0.973389062,0.166158015,0.739971911,-0.15,11.95,-0.43,-6100.000,-6100.000,-18.03443597,7/13/2015,7/17/2015,7/7/2015,7/15/2014,6/16/2015,6/9/2015,4/14/2015
AAN,"Aaron's, Inc.",AAN.2Q15,4800,4830,2Q15,2015/2F,18.7,07/24/2015,5,6/30/2015,6/30/2014,12/31/2014,3/31/2015,0.47,0.45,0.45,1.60,18.45,27.91,2.332,36.21,2.348,36.99,2.267,32.8,27.459871,12.774396,4.7578573,6.618941,0.2373457,0.4737854,5.6,7.5,6.5,4.811387024,5.494055808,6.344332835,40.7,40.2,1.36,1.36,0.47559488,2234.63,2725.23,3215.5266,0.064,0.063,0.069,0.006,20.841,12.537,4.284,-0.253749463,-0.136455699,-0.124255888,-0.241624431,0.00,9.94,-1.23,2.725,2.725,43.89525783,7/23/2015,7/29/2015,7/17/2015,7/25/2014,6/26/2015,6/19/2015,4/24/2015
ABT,Abbott Laboratories,ABT.2Q15,2300,2325,2Q15,2015/2F,225.5,07/22/2015,3,6/30/2015,6/30/2014,12/31/2014,3/31/2015,0.50,0.50,0.50,20.00,9.02,5.94,2.283,49.08,2.290,49.31,2.234,48.35,15.196646,1.9855261,1.5235782,6.463027,-0.119674206,0.177598,2.4,2.5,2.5,0.9907074,0.842401913,0.76702651,52.5,52.1,1.32,1.36,0.45106897,21848,20247,20630.457,0.047,0.046,0.046,0.000,8.734,2.105,1.346,-0.005817065,-0.037827498,0.176050749,0.291620807,-0.05,6.53,-0.77,-0.414,-0.677,-5.572789271,7/21/2015,7/27/2015,7/15/2015,7/23/2014,6/24/2015,6/17/2015,4/22/2015
ABBV,"AbbVie, Inc.",ABBV.2Q15,2300,2305,2Q15,2015/2F,718.1,07/24/2015,5,6/30/2015,6/30/2014,12/31/2014,3/31/2015,1.07,1.05,1.05,19.05,2.67,14.78,4.643,67.19,4.680,69.99,4.503,66.07,32.493412,5.933094,0.7340193,6.618941,0.2373457,0.4737854,8.6,6.2,2.0,3.350183957,5.429035112,1.568957004,73.5,70.6,1.36,1.41,0.58925563,18790,19960,23329.564,0.069,0.067,0.068,0.001,25.874,5.696,0.260,0.382152033,3.349285332,-0.382913559,1.135293669,-0.05,4.97,-3.92,1.478,1.370,24.1594678,7/23/2015,7/29/2015,7/17/2015,7/25/2014,6/26/2015,6/19/2015,4/24/2015
ANF,Abercrombie & Fitch Co. Class A,ANF.2Q15,3500,3525,2Q15,2015/2F,59.2,08/26/2015,3,6/30/2015,6/30/2014,12/31/2014,3/31/2015,-0.07,-0.04,-0.02,-50.27,-24.90,-2.40,0.829,21.51,0.857,17.55,0.977,19.65,-54.954754,-10.687023,-16.547792,5.3503394,-2.1455705,-1.5818536,12.7,8.4,9.9,33.358612,34.02275697,33.95805498,20.9,21.4,2.15,2.06,0.65532494,4116.89,3744.03,3460.0808,0.039,0.049,0.050,0.001,-60.305,-8.541,-14.966,0.514568405,0.286742903,-0.01952061,-0.017652453,0.09,18.85,2.42,78.457,223.542,-15.95401383,8/25/2015,8/31/2015,8/19/2015,8/27/2014,7/29/2015,7/22/2015,5/27/2015
ABMD,"ABIOMED, Inc.",ABMD.2Q15,2300,2325,2Q15,2015/1F,41.1,08/04/2015,2,6/30/2015,6/30/2014,12/31/2014,3/31/2015,0.10,0.08,0.09,161.46,72.70,-8.17,0.722,65.73,0.746,74.12,0.658,75.47,158.48091,-1.788789,12.764335,8.611059,0.065624714,1.1032343,7.4,7.4,6.7,9.438192062,9.313128779,7.019840099,79.1,74.8,1.50,1.59,0.52704626,183.643,230.311,292.06033,0.011,0.010,0.009,-0.001,149.870,-1.854,11.661,0,0.114909576,0.013428708,0.344502429,-0.09,6.78,-5.55,21.622,15.385,59.03700658,8/3/2015,8/7/2015,7/28/2015,8/5/2014,7/7/2015,6/30/2015,5/5/2015
ACHC,"Acadia Healthcare Company, Inc.",ACHC.2Q15,3350,3365,2Q15,2015/2F,50.3,08/05/2015,3,6/30/2015,6/30/2014,12/31/2014,3/31/2015,0.52,0.52,0.53,72.15,27.97,9.40,2.408,78.33,2.434,78.98,2.330,66.5,63.234066,18.766928,-1.2503147,6.8161726,1.2234449,1.2019515,3.7,3.7,7.8,7.280411613,8.474751013,8.691176355,84.1,79.9,1.07,1.08,0.18156826,713.408,1004.6,1730.6355,0.031,0.031,0.035,0.004,56.418,17.543,-2.452,0,-0.532022052,-0.140929143,-0.162321495,-0.01,6.45,-4.95,0.126,-1.413,142.587061,8/4/2015,8/10/2015,7/29/2015,8/6/2014,7/8/2015,7/1/2015,5/6/2015
