ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
SVU,SUPERVALU INC.,SVU.2Q18,3500,3505,2Q18,2018/1F,22.5,07/26/2018,66.2,0.44,-0.17,-0.61,-0.2,4,7/25/2018,7/31/2018,66.2,-1.0,67.1,9,7/19/2018,0.72,0.36,0.36,-1.695
AOBC,American Outdoor Brands Corporation,AOBC.2Q18,1300,1330,2Q18,2018/1F,13.4,08/31/2018,49.3,0.12,0.21,0.09,3.2,5,8/30/2018,9/5/2018,47.6,-0.4,48.0,6,8/24/2018,0.14,0.10,0.04,2.292
TTD,"Trade Desk, Inc. Class A",TTD.2Q18,3200,3210,2Q18,2018/2F,91.0,08/10/2018,35.8,0.44,0.60,0.16,8.0,5,8/9/2018,8/15/2018,35.8,-1.2,37.0,10,8/3/2018,0.49,0.40,0.09,1.797
WIFI,"Boingo Wireless, Inc.",WIFI.2Q18,3300,3308,2Q18,2018/2F,10.2,08/02/2018,34.6,-0.14,0.05,0.19,5.4,4,8/1/2018,8/7/2018,34.6,1.6,33.0,9,7/26/2018,-0.13,-0.18,0.05,3.844
SODA,SodaStream International Ltd.,SODA.2Q18,1400,1425,2Q18,2018/2F,20.2,08/01/2018,34.3,0.73,1.14,0.41,15.0,3,7/31/2018,8/6/2018,34.3,1.2,33.1,4,7/25/2018,0.78,0.68,0.10,4.100
TNDM,"Tandem Diabetes Care, Inc.",TNDM.2Q18,2300,2325,2Q18,2018/2F,32.2,07/31/2018,33.0,-0.35,-1.17,-0.82,15.0,2,7/30/2018,8/3/2018,33.0,1.4,31.6,6,7/24/2018,-0.31,-0.39,0.08,-10.292
DDD,3D Systems Corporation,DDD.2Q18,1300,1315,2Q18,2018/2F,31.3,08/08/2018,32.1,0.01,0.06,0.05,6.4,3,8/7/2018,8/13/2018,32.1,-1.3,33.3,12,8/1/2018,0.04,-0.03,0.07,0.709
DXCM,"DexCom, Inc.",DXCM.2Q18,2300,2325,2Q18,2018/2F,91.6,08/02/2018,30.7,-0.18,-0.10,0.08,17.8,4,8/1/2018,8/7/2018,30.7,1.6,29.1,19,7/26/2018,-0.07,-0.28,0.21,0.394
HDP,"Hortonworks, Inc.",HDP.2Q18,3300,3308,2Q18,2018/2F,21.4,08/08/2018,30.6,-0.22,-0.12,0.10,7.0,3,8/7/2018,8/13/2018,30.6,-1.3,31.9,18,8/1/2018,-0.20,-0.26,0.06,1.731
MTCH,"Match Group, Inc.",MTCH.2Q18,3300,3320,2Q18,2018/2F,120.4,08/08/2018,28.6,0.34,0.41,0.07,1.9,3,8/7/2018,8/13/2018,28.6,-1.3,29.8,15,8/1/2018,0.41,0.28,0.13,0.530
MNK,Mallinckrodt Plc,MNK.2Q18,2300,2310,2Q18,2018/2F,49.9,08/07/2018,27.7,1.48,1.78,0.30,1.9,2,8/6/2018,8/10/2018,27.7,-0.6,28.3,19,7/31/2018,1.65,1.37,0.28,1.069
CATM,Cardtronics plc Class A,CATM.2Q18,3200,3205,2Q18,2018/2F,13.3,08/03/2018,26.9,0.39,0.61,0.22,5.2,5,8/2/2018,8/8/2018,26.9,1.0,25.9,8,7/27/2018,0.45,0.35,0.10,2.233
ICPT,"Intercept Pharmaceuticals, Inc.",ICPT.2Q18,2300,2310,2Q18,2018/2F,55.6,08/02/2018,26.7,-2.84,-2.58,0.26,5.5,4,8/1/2018,8/7/2018,26.7,1.6,25.1,16,7/26/2018,-2.61,-3.37,0.76,0.342
PAYC,"Paycom Software, Inc.",PAYC.2Q18,3300,3310,2Q18,2018/2F,89.3,08/01/2018,26.6,0.48,0.59,0.11,3.4,3,7/31/2018,8/6/2018,26.6,1.2,25.4,15,7/25/2018,0.52,0.45,0.07,1.518
TSLA,Tesla Inc,TSLA.2Q18,1400,1405,2Q18,2018/2F,"2,689.1",08/02/2018,26.2,-2.88,-3.06,-0.18,1.2,4,8/1/2018,8/7/2018,26.2,1.6,24.6,20,7/26/2018,-1.71,-3.44,1.73,-0.103
MEDP,"Medpace Holdings, Inc.",MEDP.2Q18,3200,3205,2Q18,2018/2F,12.9,07/31/2018,26.1,0.42,0.61,0.19,9.9,2,7/30/2018,8/3/2018,26.1,1.4,24.8,7,7/24/2018,0.45,0.36,0.09,2.136
