ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
CRC,California Resources Corp,CRC.4Q15,2100,2105,4Q15,2015/4F,24.3,03/01/2016,2,12/31/2015,-2.57,-2.40,-2.15,-8.449,23.3,-10.938,4.26,-7.133,40.5,-86.07427,-89.48148,-67.969925,-10.204327,-8.923984,0.9801626,2.4,3.5,6.4,14.1678379,9.853080559,10.65490753,26.9,57.5,1.95,1.77,0.68516016,,4173,2304.1067,-0.363,-2.568,-0.176,2.391,-75.870,-80.557,-68.950,-0.314742955,-0.628601889,0.437909476,0.329700691,0.18,530.87,113.95,6.944,19.380,,2/29/2016,3/4/2016,2/23/2016,3/3/2015,2/2/2016,1/26/2016,12/1/2015
HPR,HighPoint Resources Corp.,HPR.4Q15,2100,2105,4Q15,2015/4F,11.9,03/02/2016,3,12/31/2015,-0.04,-0.04,-0.04,-1.155,3.93,-1.342,2.62,-1.058,5.84,-65.933014,-55.13699,-15.483874,-9.350986,-7.4748936,2.579689,4.2,4.7,5.4,22.34293384,17.7060217,22.5389185,4.9,7.1,1.75,1.64,0.6386664,568.093,472.291,370.763,-0.294,-0.512,-0.181,0.331,-56.582,-47.662,-18.064,-0.102417216,-0.224360509,0.261883342,-0.008695389,0.11,85.54,46.57,4.582,-7.278,-34.73550985,3/1/2016,3/7/2016,2/24/2016,3/4/2015,2/3/2016,1/27/2016,12/2/2015
GRPN,"Groupon, Inc.",GRPN.4Q15,3200,3210,4Q15,2015/4F,29.7,02/12/2016,5,12/31/2015,0.00,0.00,0.00,-0.107,3.07,-0.094,2.45,-0.075,2.57,-67.37766,-4.6692553,-11.870503,-10.832018,-7.3210716,-2.2102594,9.8,11.8,10.2,18.23952951,17.59646356,13.77880372,3.7,3.8,1.88,1.88,0.49761334,2573.65,3191.68,3049.369,-0.035,-0.038,-0.029,0.009,-56.546,2.652,-9.660,-0.171619462,-0.044245475,0.036545181,0.323738249,0.00,52.70,1.42,228.201,478.243,18.48421503,2/11/2016,2/17/2016,2/5/2016,2/13/2015,1/15/2016,1/8/2016,11/13/2015
SGMS,Scientific Games Corporation,SGMS.4Q15,3400,3445,4Q15,2015/4F,12.0,02/26/2016,5,12/31/2015,-1.08,-1.11,-1.16,-3.763,8.97,-3.743,6.15,-4.654,8.71,-56.180607,-29.391502,4.948807,-8.27384,-8.601767,0.6387472,14.4,18.7,18.0,36.61146764,36.27218842,34.98305782,10.4,11.8,1.88,1.83,0.60771555,1090.9,1786.4,2718.844,-0.420,-0.609,-0.534,0.074,-47.907,-20.790,4.310,-0.229464437,-0.198524958,0.009353701,0.046548527,0.04,69.11,12.98,-3.396,-7.132,149.2294436,2/25/2016,3/2/2016,2/19/2016,2/27/2015,1/29/2016,1/22/2016,11/27/2015
FOSL,"Fossil Group, Inc.",FOSL.4Q15,1400,1445,4Q15,2015/4F,85.8,02/17/2016,3,12/31/2015,1.29,1.32,1.35,3.544,36.56,3.203,33.3,3.796,35.39,-63.615723,-5.9056225,12.045765,-11.958271,-11.3453865,-1.9849658,7.7,7.9,10.6,20.43454417,21.75199267,25.28748075,39.7,47.1,2.00,1.88,0.5477226,3260,3509.7,3158.0234,0.097,0.096,0.107,0.011,-51.657,5.440,14.031,-0.026759353,-0.272426669,-0.060566796,-0.191910639,0.13,19.12,18.70,-2.708,-4.779,-3.128116564,2/16/2016,2/22/2016,2/10/2016,2/18/2015,1/20/2016,1/13/2016,11/18/2015
AKAM,"Akamai Technologies, Inc.",AKAM.4Q15,3300,3320,4Q15,2015/4F,138.5,02/10/2016,3,12/31/2015,0.63,0.63,0.62,2.697,52.63,2.728,44.39,2.663,61.42,-28.125488,-27.727121,-12.064182,-9.134936,-8.131897,-3.9984763,2.2,4.4,1.1,3.267013791,3.838992706,2.596972471,65.6,69.5,1.58,1.63,0.64031243,1577.92,1963.87,2188.13,0.051,0.061,0.043,-0.018,-18.991,-19.595,-8.066,-0.499406411,1.035838744,-0.148991926,0.258008634,-0.05,47.78,5.98,0.258,0.467,38.67179578,2/9/2016,2/15/2016,2/3/2016,2/11/2015,1/13/2016,1/6/2016,11/11/2015
DAR,Darling Ingredients Inc.,DAR.4Q15,2200,2225,4Q15,2015/4F,15.2,03/02/2016,3,12/31/2015,,0.04,0.04,0.528,10.52,0.667,8.6,0.476,10.9,-50.813004,-21.100908,-3.2620907,-9.350986,-7.4748936,2.579689,3.8,4.9,4.3,5.086162461,5.161568132,4.172836397,15.3,15.6,1.25,1.25,0.46291006,1723.55,3956.44,3426.745,0.050,0.078,0.044,-0.034,-41.462,-13.626,-5.842,-0.224343917,-0.127557761,-0.014609062,0.218874161,0.00,78.05,1.63,0.000,0.000,98.81900728,3/1/2016,3/7/2016,2/24/2016,3/4/2015,2/3/2016,1/27/2016,12/2/2015
JCP,"J. C. Penney Company, Inc.",JCP.4Q15,3500,3515,4Q15,2015/4F,113.8,02/25/2016,4,12/31/2015,0.22,0.22,0.24,-0.363,6.66,-0.249,7.63,-0.471,8.27,-25.219297,-7.7388167,16.310978,-10.830534,-8.53076,2.704668,7.5,8.8,8.2,31.53282498,33.20354494,30.1484142,9.6,9.9,1.88,1.98,0.7260674,11859,12257,12615.684,-0.054,-0.033,-0.057,-0.024,-14.389,0.792,13.606,-0.141879981,-0.083712278,-0.050317518,0.045919854,-0.11,26.15,2.41,-0.578,-7.295,6.380672907,2/24/2016,3/1/2016,2/18/2016,2/26/2015,1/28/2016,1/21/2016,11/26/2015
WYNN,"Wynn Resorts, Limited",WYNN.4Q15,3400,3445,4Q15,2015/4F,329.7,02/12/2016,5,12/31/2015,0.74,0.75,0.70,3.205,69.19,3.137,61.91,3.432,62.2,-63.36764,-0.46623945,7.2220206,-10.832018,-7.3210716,-2.2102594,3.9,4.6,2.7,20.68105514,17.91476104,18.34396579,78.0,88.4,1.61,1.61,0.4990109,5620.93,5433.66,4074.7817,0.046,0.051,0.055,0.004,-52.536,6.855,9.432,-0.170529572,0.415077943,0.154414234,0.127403713,0.00,25.99,13.32,-1.347,6.201,-27.50698372,2/11/2016,2/17/2016,2/5/2016,2/13/2015,1/15/2016,1/8/2016,11/13/2015
SNEC,Sanchez Energy Corporation,SNEC.4Q15,2100,2105,4Q15,2015/4F,12.7,02/25/2016,4,12/31/2015,-0.68,-0.64,-0.53,-2.354,4.31,-2.325,3.01,-2.298,4.98,-73.3234,-39.55823,21.862352,-10.830534,-8.53076,2.704668,2.8,4.9,5.9,17.34936303,22.60290285,19.60530713,5.6,10.1,1.53,1.41,0.5163978,314.42,666.064,544.4371,-0.546,-0.773,-0.461,0.311,-62.493,-31.027,19.158,-0.427002768,-0.516389024,-0.23242766,-0.115068032,0.13,86.56,80.63,7.347,28.176,73.15600153,2/24/2016,3/1/2016,2/18/2016,2/26/2015,1/28/2016,1/21/2016,11/26/2015
