ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
ASRT,"Assertio Therapeutics, Inc.",ASRT.3Q17,2300,2305,3Q17,2017/3F,12.8,11/8/2017,40.8,0.11,0.14,0.03,-3.7,3,11/7/2017,11/13/2017,40.8,-0.2,41,7,11/1/2017,0.2,-0.14,0.34,0.099
SKX,"Skechers U.S.A., Inc. Class A",SKX.3Q17,2400,2440,3Q17,2017/3F,59,10/20/2017,39.4,0.43,0.59,0.16,2.5,5,10/19/2017,10/25/2017,39.4,-0.2,39.6,10,10/13/2017,0.46,0.4,0.06,2.77
NKTR,Nektar Therapeutics,NKTR.3Q17,2300,2320,3Q17,2017/3F,23.9,11/8/2017,38.2,0.23,0.37,0.14,19.6,3,11/7/2017,11/13/2017,38.2,-0.2,38.4,7,11/1/2017,0.27,-0.17,0.44,0.312
ANF,Abercrombie & Fitch Co. Class A,ANF.3Q17,3500,3525,3Q17,2017/3F,45.2,11/17/2017,32.4,0.22,0.3,0.08,4.8,5,11/16/2017,11/22/2017,32.4,0.5,31.9,15,11/10/2017,0.35,0.12,0.23,0.356
MBI,MBIA Inc.,MBI.3Q17,4800,4875,3Q17,2017/3F,20.2,11/8/2017,31.9,-0.16,-0.91,-0.75,24.6,3,11/7/2017,11/13/2017,31.9,-0.2,32.1,3,11/1/2017,0.17,0.01,0.16,-4.667
FNSR,Finisar Corporation,FNSR.3Q17,1300,1352,3Q17,2017/2F,68,12/8/2017,31.3,0.3,0.23,-0.07,0.5,5,12/7/2017,12/13/2017,31.3,0.9,30.4,13,12/1/2017,0.32,0.27,0.05,-1.323
HIBB,"Hibbett Sports, Inc.",HIBB.3Q17,3500,3540,3Q17,2017/3F,14.7,11/17/2017,29,0.22,0.37,0.15,8.4,5,11/16/2017,11/22/2017,29,0.5,28.4,17,11/10/2017,0.3,0.14,0.16,0.948
BHC,Bausch Health Companies Inc.,BHC.3Q17,2300,2310,3Q17,2017/3F,194.7,11/7/2017,27.7,0.89,1.04,0.15,2.5,2,11/6/2017,11/10/2017,27.7,-0.4,28.1,16,10/31/2017,1.02,0.77,0.25,0.596
FL,"Foot Locker, Inc.",FL.3Q17,3500,3525,3Q17,2017/3F,202.7,11/17/2017,27.3,0.8,0.87,0.07,2.5,5,11/16/2017,11/22/2017,27.3,0.5,26.7,21,11/10/2017,0.86,0.75,0.11,0.641
TIME,"Time, Inc.",TIME.3Q17,3400,3425,3Q17,2017/3F,11.4,11/9/2017,25,0.29,0.36,0.07,-2.1,4,11/8/2017,11/14/2017,25,-0.6,25.6,5,11/2/2017,0.32,0.23,0.09,0.757
