ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
DDD,3D Systems Corporation,DDD.2Q14,1300,1315,2Q14,2014/2F,229.8,07/31/2014,-16.4,0.18,0.16,-0.02,-6.6,4,7/30/2014,8/5/2014,-16.4,-2.5,-13.9,20,7/24/2014,0.20,0.15,0.05,-0.319
MMM,3M Company,MMM.2Q14,1200,1255,2Q14,2014/2F,304.3,07/24/2014,-0.5,1.91,1.91,0.00,0.5,4,7/23/2014,7/29/2014,-0.5,-0.9,0.4,13,7/17/2014,1.92,1.88,0.04,0.056
EGHT,"8x8, Inc.",EGHT.2Q14,3300,3310,2Q14,2014/1F,10.4,07/24/2014,6.3,0.03,0.03,0.00,1.2,4,7/23/2014,7/29/2014,6.3,-0.9,7.2,10,7/17/2014,0.03,0.03,0.00,#DIV/0!
AOS,A. O. Smith Corporation,AOS.2Q14,1200,1230,2Q14,2014/2F,31.1,07/22/2014,5.4,0.30,0.33,0.03,-0.4,2,7/21/2014,7/25/2014,5.4,0.2,5.3,10,7/15/2014,0.32,0.29,0.03,0.955
AAN,"Aaron's, Inc.",AAN.2Q14,4800,4830,2Q14,2014/2F,29.7,07/25/2014,-6.5,0.38,0.37,-0.01,0.0,5,7/24/2014,7/30/2014,-6.5,-0.9,-5.6,9,7/18/2014,0.44,0.35,0.09,-0.097
ABT,Abbott Laboratories,ABT.2Q14,2300,2325,2Q14,2014/2F,238.8,07/16/2014,4.3,0.51,0.54,0.03,0.4,3,7/15/2014,7/21/2014,4.3,0.0,4.4,18,7/9/2014,0.52,0.47,0.05,0.664
ABBV,"AbbVie, Inc.",ABBV.2Q14,2300,2305,2Q14,2014/2F,308.3,07/25/2014,-0.6,0.76,0.82,0.06,4.8,5,7/24/2014,7/30/2014,-0.6,-0.9,0.3,7,7/18/2014,0.77,0.75,0.02,2.782
ANF,Abercrombie & Fitch Co. Class A,ANF.2Q14,3500,3525,2Q14,2014/2F,78.7,08/28/2014,-5.6,0.11,0.19,0.08,-1.8,4,8/27/2014,9/2/2014,-5.2,0.2,-5.3,34,8/21/2014,0.19,0.02,0.17,0.483
ACHC,"Acadia Healthcare Company, Inc.",ACHC.2Q14,3350,3365,2Q14,2014/2F,21.8,07/30/2014,-3.8,0.32,0.32,0.00,2.5,3,7/29/2014,8/4/2014,-3.8,-1.6,-2.2,13,7/23/2014,0.34,0.30,0.04,0.105
ACN,Accenture Plc Class A,ACN.2Q14,3300,3308,2Q14,2014/3F,222.7,06/26/2014,-2.2,1.21,1.26,0.05,2.5,4,6/25/2014,7/1/2014,-2.2,0.8,-3.0,1,6/19/2014,1.23,1.16,0.07,0.754
ACIW,"ACI Worldwide, Inc.",ACIW.2Q14,3300,3310,2Q14,2014/2F,13.1,07/31/2014,0.9,0.05,0.12,0.07,3.9,4,7/30/2014,8/5/2014,0.9,-2.5,3.4,4,7/24/2014,0.09,0.02,0.07,1.012
ACOR,"Acorda Therapeutics, Inc.",ACOR.2Q14,2300,2320,2Q14,2014/2F,20.3,07/31/2014,-1.4,0.14,0.11,-0.03,6.0,4,7/30/2014,8/5/2014,-1.4,-2.5,1.1,10,7/24/2014,0.22,0.06,0.16,-0.206
ATVI,"Activision Blizzard, Inc.",ATVI.2Q14,1400,1435,2Q14,2014/2F,138.8,08/06/2014,2.0,0.02,0.06,0.04,8.3,3,8/5/2014,8/11/2014,2.0,0.9,1.0,22,7/30/2014,0.04,0.01,0.03,1.404
ATU,Actuant Corporation Class A,ATU.2Q14,1200,1210,2Q14,2014/3F,21.2,06/18/2014,-6.2,0.63,0.63,0.00,0.4,3,6/17/2014,6/23/2014,-6.2,1.0,-7.2,1,6/11/2014,0.64,0.60,0.04,0.095
AYI,"Acuity Brands, Inc.",AYI.2Q14,1200,1235,2Q14,2014/3F,60.2,07/01/2014,-13.6,1.13,1.00,-0.13,-0.9,2,6/30/2014,7/4/2014,-14.0,1.2,-15.3,13,6/24/2014,1.23,0.99,0.24,-0.524
ADBE,Adobe Inc.,ADBE.2Q14,3300,3310,2Q14,2014/2F,233.2,06/18/2014,7.9,0.30,0.37,0.07,3.9,3,6/17/2014,6/23/2014,7.9,1.0,6.9,1,6/11/2014,0.33,0.28,0.05,1.436
ADT.I,ADT Corporation,ADT.I.2Q14,3200,3205,2Q14,2014/3F,82.7,07/30/2014,4.7,0.47,0.55,0.08,0.1,3,7/29/2014,8/4/2014,4.7,-1.6,6.2,7,7/23/2014,0.51,0.44,0.07,1.184
