ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
LL,"Lumber Liquidators Holdings, Inc.",LL.2Q17,3500,3540,2Q17,2017/2F,35.0,08/01/2017,47.7,-0.06,0.16,0.22,2.6,2,7/31/2017,8/4/2017,47.7,0.2,47.5,12,7/25/2017,0.01,-0.21,0.22,1.015
RH,RH,RH.2Q17,3500,3540,2Q17,2017/2F,116.1,09/07/2017,44.0,0.47,0.65,0.18,2.1,4,9/6/2017,9/12/2017,44.0,1.3,42.7,21,8/31/2017,0.52,0.39,0.13,1.423
SGMS,Scientific Games Corporation,SGMS.2Q17,3400,3445,2Q17,2017/2F,21.3,07/24/2017,41.5,-0.51,-0.44,0.07,4.6,1,7/21/2017,7/27/2017,41.5,0.1,41.4,9,7/17/2017,-0.31,-0.69,0.38,0.197
STMP,Stamps.com Inc.,STMP.2Q17,3300,3320,2Q17,2017/2F,82.2,08/03/2017,40.6,1.64,2.08,0.44,17.7,4,8/2/2017,8/8/2017,40.6,-0.1,40.7,6,7/27/2017,1.76,1.48,0.28,1.571
WTW,"Weight Watchers International, Inc.",WTW.2Q17,3400,3450,2Q17,2017/2F,33.7,08/04/2017,39.9,0.51,0.66,0.15,2.3,5,8/3/2017,8/9/2017,39.9,0.0,39.9,3,7/28/2017,0.53,0.49,0.04,3.898
HTZ,"Hertz Global Holdings, Inc.",HTZ.2Q17,4800,4830,2Q17,2017/2F,84.7,08/09/2017,37.1,-0.20,-0.63,-0.43,0.3,3,8/8/2017,8/14/2017,37.1,-0.4,37.5,10,8/2/2017,0.10,-0.41,0.51,-0.834
YELP,Yelp Inc,YELP.2Q17,3300,3320,2Q17,2017/2F,113.6,08/04/2017,32.5,-0.03,0.09,0.12,1.9,5,8/3/2017,8/9/2017,32.5,0.0,32.5,27,7/28/2017,0.03,-0.10,0.13,0.935
ANF,Abercrombie & Fitch Co. Class A,ANF.2Q17,3500,3525,2Q17,2017/2F,42.9,08/24/2017,30.5,-0.33,-0.16,0.17,2.7,4,8/23/2017,8/29/2017,30.5,0.1,30.4,19,8/17/2017,-0.23,-0.44,0.21,0.812
GES,"Guess?, Inc.",GES.2Q17,2400,2440,2Q17,2017/2F,15.3,08/24/2017,29.0,0.10,0.19,0.09,2.6,4,8/23/2017,8/29/2017,29.0,0.1,28.9,6,8/17/2017,0.10,0.09,0.01,9.200
DSW,DSW Inc. Class A,DSW.2Q17,3500,3525,2Q17,2017/2F,35.1,08/22/2017,27.8,0.29,0.38,0.09,2.2,2,8/21/2017,8/25/2017,27.8,0.7,27.1,16,8/15/2017,0.31,0.26,0.05,1.956
