ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
IONS,"Ionis Pharmaceuticals, Inc.",IONS.3Q16,2300,2320,3Q16,2016/3F,73.1,11/09/2016,51.0,0.08,0.06,-0.02,-1.9,3,11/8/2016,11/14/2016,51.0,1.7,49.3,13,11/2/2016,0.36,-0.04,0.40,-0.042
TLRD,"Tailored Brands, Inc.",TLRD.3Q16,3500,3525,3Q16,2016/3F,17.6,12/08/2016,44.7,0.55,0.68,0.13,1.7,4,12/7/2016,12/13/2016,44.7,1.3,43.4,7,12/1/2016,0.59,0.47,0.12,1.065
HALO,"Halozyme Therapeutics, Inc.",HALO.3Q16,2300,2320,3Q16,2016/3F,12.8,11/08/2016,41.8,-0.27,-0.23,0.04,-5.9,2,11/7/2016,11/11/2016,41.8,1.9,39.9,8,11/1/2016,-0.22,-0.31,0.09,0.403
FRAN,Francesca's Holdings Corporation,FRAN.3Q16,3500,3525,3Q16,2016/3F,13.3,12/06/2016,36.4,0.18,0.26,0.08,2.5,2,12/5/2016,12/9/2016,36.4,2.6,33.8,12,11/29/2016,0.19,0.16,0.03,2.725
NVDA,NVIDIA Corporation,NVDA.3Q16,1300,1305,3Q16,2016/3F,581.0,11/11/2016,35.2,0.56,0.83,0.27,18.5,5,11/10/2016,11/16/2016,35.2,0.8,34.5,22,11/4/2016,0.62,0.53,0.09,2.987
ARIA,"ARIAD Pharmaceuticals, Inc.",ARIA.3Q16,2300,2320,3Q16,2016/3F,55.4,11/07/2016,32.6,-0.19,-0.14,0.05,6.9,1,11/4/2016,11/10/2016,32.6,4.1,28.5,9,10/31/2016,-0.17,-0.21,0.04,1.222
ASNA,"Ascena Retail Group, Inc.",ASNA.3Q16,3500,3525,3Q16,2017/1F,22.6,12/02/2016,32.4,0.20,0.18,-0.02,-2.0,5,12/1/2016,12/7/2016,32.4,2.4,30.0,11,11/25/2016,0.27,0.16,0.11,-0.205
HPR,HighPoint Resources Corp.,HPR.3Q16,2100,2105,3Q16,2016/3F,12.5,11/04/2016,31.8,-0.14,-0.10,0.04,-26.6,5,11/3/2016,11/9/2016,31.8,3.7,28.1,17,10/28/2016,-0.01,-0.29,0.28,0.140
CBM,Cambrex Corporation,CBM.3Q16,2200,2210,3Q16,2016/3F,19.8,11/04/2016,30.8,0.41,0.47,0.06,2.0,5,11/3/2016,11/9/2016,30.8,3.7,27.1,4,10/28/2016,0.45,0.37,0.08,0.719
TALO,"Talos Energy, Inc.",TALO.3Q16,2100,2110,3Q16,2016/3F,18.3,11/08/2016,28.4,-37.82,-41.98,-4.16,-0.7,2,11/7/2016,11/11/2016,28.4,1.9,26.5,10,11/1/2016,-18.72,-49.24,30.52,-0.136
NFLX,"Netflix, Inc.",NFLX.3Q16,3400,3415,3Q16,2016/3F,"1,003.0",10/18/2016,27.8,0.06,0.12,0.06,0.3,2,10/17/2016,10/21/2016,27.8,0.7,27.1,36,10/11/2016,0.13,0.03,0.10,0.626
SC,"Santander Consumer USA Holdings, Inc.",SC.3Q16,4800,4830,3Q16,2016/3F,19.8,11/09/2016,27.6,0.56,0.59,0.03,2.6,3,11/8/2016,11/14/2016,27.6,1.7,26.0,16,11/2/2016,0.61,0.45,0.16,0.197
BRS,Bristow Group Inc.,BRS.3Q16,3100,3110,3Q16,2016/2F,13.4,11/04/2016,26.0,-0.47,-0.35,0.12,-3.9,5,11/3/2016,11/9/2016,26.0,3.7,22.3,7,10/28/2016,-0.17,-0.62,0.45,0.267
CRC,California Resources Corp,CRC.3Q16,2100,2105,3Q16,2016/3F,36.8,11/04/2016,25.5,-1.55,-1.75,-0.20,4.6,5,11/3/2016,11/9/2016,25.5,3.7,21.8,7,10/28/2016,-1.31,-1.77,0.46,-0.443
MGLN,"Magellan Health, Inc.",MGLN.3Q16,3350,3355,3Q16,2016/3F,13.0,11/09/2016,24.5,0.66,1.06,0.40,5.7,3,11/8/2016,11/14/2016,24.5,1.7,22.9,4,11/2/2016,0.73,0.57,0.16,2.513
REGN,"Regeneron Pharmaceuticals, Inc.",REGN.3Q16,2300,2320,3Q16,2016/3F,306.9,11/04/2016,24.5,2.69,3.13,0.44,-5.2,5,11/3/2016,11/9/2016,24.5,3.7,20.8,22,10/28/2016,3.30,2.00,1.30,0.337
FEYE,"FireEye, Inc.",FEYE.3Q16,3300,3308,3Q16,2016/3F,78.6,11/04/2016,23.1,-0.31,-0.18,0.13,2.1,5,11/3/2016,11/9/2016,23.1,3.7,19.4,29,10/28/2016,-0.29,-0.33,0.04,3.214
TREX,"Trex Company, Inc.",TREX.3Q16,1100,1130,3Q16,2016/3F,14.7,11/08/2016,22.4,0.21,0.23,0.02,1.0,2,11/7/2016,11/11/2016,22.4,1.9,20.5,8,11/1/2016,0.23,0.19,0.04,0.464
CC,Chemours Co.,CC.3Q16,2200,2240,3Q16,2016/3F,37.5,11/07/2016,21.9,0.34,0.61,0.27,0.0,1,11/4/2016,11/10/2016,21.9,4.1,17.8,7,10/31/2016,0.44,0.29,0.15,1.827
WTW,"Weight Watchers International, Inc.",WTW.3Q16,3400,3450,3Q16,2016/3F,13.5,11/04/2016,21.2,0.45,0.40,-0.05,-1.6,5,11/3/2016,11/9/2016,21.2,3.7,17.5,4,10/28/2016,0.51,0.39,0.12,-0.409
NXST,"Nexstar Media Group, Inc. Class A",NXST.3Q16,3400,3410,3Q16,2016/3F,25.8,11/08/2016,20.7,0.85,0.78,-0.07,0.5,2,11/7/2016,11/11/2016,20.7,1.9,18.8,7,11/1/2016,0.98,0.72,0.26,-0.269
