ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
SCG,SCANA Corporation,SCG.1Q15,4700,4705,1Q15,2015/1F,61.4,04/30/2015,-2.9,1.25,1.39,0.14,-7.2,4,4/29/2015,5/5/2015,-2.9,-0.9,-2.0,3,4/23/2015,1.32,1.15,0.17,0.824
SLB,Schlumberger NV,SLB.1Q15,3100,3110,1Q15,2015/1F,721.0,04/17/2015,0.3,0.89,1.06,0.17,-1.4,5,4/16/2015,4/22/2015,0.3,0.1,0.2,35,4/10/2015,1.16,0.83,0.33,0.515
SAIC,Science Applications International Corp.,SAIC.1Q15,3300,3308,1Q15,2015/1F,15.6,06/09/2015,-4.5,0.74,0.69,-0.05,2.1,2,6/8/2015,6/12/2015,-4.5,0.7,-5.3,6,6/2/2015,0.76,0.69,0.07,-0.756
SGMS,Scientific Games Corporation,SGMS.1Q15,3400,3445,1Q15,2015/1F,12.9,05/08/2015,-3.7,-1.40,-0.80,0.60,-7.9,5,5/7/2015,5/13/2015,-3.7,0.5,-4.2,6,5/1/2015,-0.60,-1.91,1.31,0.461
STNG,Scorpio Tankers Inc.,STNG.1Q15,4600,4625,1Q15,2015/1F,18.4,04/27/2015,-7.2,2.25,2.40,0.15,6.7,1,4/24/2015,4/30/2015,-7.2,-1.6,-5.5,11,4/20/2015,3.10,1.20,1.90,0.078
SMG,Scotts Miracle-Gro Company Class A,SMG.1Q15,2200,2215,1Q15,2015/2F,17.5,05/05/2015,3.2,2.25,2.06,-0.19,-1.8,2,5/4/2015,5/8/2015,3.2,0.1,3.2,8,4/28/2015,2.29,2.18,0.11,-1.753
SNI,"Scripps Networks Interactive, Inc. Class A",SNI.1Q15,3400,3430,1Q15,2015/1F,70.9,05/07/2015,-4.7,0.91,1.02,0.11,-0.4,4,5/6/2015,5/12/2015,-4.7,0.9,-5.6,18,4/30/2015,0.98,0.86,0.12,0.882
SDRLF,Seadrill Ltd.,SDRLF.1Q15,3100,3110,1Q15,2015/1F,145.9,05/28/2015,-2.9,0.62,0.76,0.13,-1.1,4,5/27/2015,6/2/2015,-2.9,-0.6,-2.3,19,5/21/2015,0.75,0.46,0.29,0.447
STX,Seagate Technology PLC,STX.1Q15,1300,1345,1Q15,2015/3F,218.4,04/17/2015,4.1,1.05,1.08,0.03,-2.6,5,4/16/2015,4/22/2015,4.1,0.1,4.0,22,4/10/2015,1.18,0.95,0.23,0.152
SEE,Sealed Air Corporation,SEE.1Q15,2200,2235,1Q15,2015/1F,99.0,04/30/2015,5.8,0.42,0.54,0.12,1.6,4,4/29/2015,5/5/2015,5.8,-0.9,6.7,11,4/23/2015,0.47,0.37,0.10,1.205
SHLDQ,Sears Holdings Corporation,SHLDQ.1Q15,3500,3520,1Q15,2015/1F,24.1,06/08/2015,-29.9,-2.59,-2.00,0.59,-3.2,1,6/5/2015,6/11/2015,-29.9,0.8,-30.7,1,6/1/2015,-2.59,-2.59,0.00,#DIV/0!
SGEN,"Seattle Genetics, Inc.",SGEN.1Q15,2300,2320,1Q15,2015/1F,41.1,05/01/2015,8.5,-0.19,-0.17,0.02,10.2,5,4/30/2015,5/6/2015,8.5,-0.2,8.8,15,4/24/2015,-0.16,-0.22,0.06,0.251
SEAS,"SeaWorld Entertainment, Inc.",SEAS.1Q15,3400,3430,1Q15,2015/1F,21.9,05/07/2015,-0.7,-0.59,-0.51,0.08,1.9,4,5/6/2015,5/12/2015,-0.7,0.9,-1.6,9,4/30/2015,-0.54,-0.64,0.10,0.790
SEIC,SEI Investments Company,SEIC.1Q15,4800,4845,1Q15,2015/1F,23.3,04/22/2015,1.5,0.49,0.49,0.00,-0.9,3,4/21/2015,4/27/2015,1.5,0.5,1.0,4,4/15/2015,0.50,0.48,0.02,0.000
SEM,Select Medical Holdings Corporation,SEM.1Q15,3350,3360,1Q15,2015/1F,19.6,05/01/2015,0.8,0.23,0.27,0.04,1.7,5,4/30/2015,5/6/2015,0.8,-0.2,1.0,7,4/24/2015,0.25,0.19,0.06,0.706
SEMG,SemGroup Corporation Class A,SEMG.1Q15,3100,3130,1Q15,2015/1F,36.4,05/08/2015,-3.9,0.37,0.03,-0.34,-41.9,5,5/7/2015,5/13/2015,-3.9,0.5,-4.4,6,5/1/2015,0.54,0.22,0.32,-1.076
SRE,Sempra Energy,SRE.1Q15,4700,4735,1Q15,2015/1F,117.3,05/05/2015,-1.8,1.38,1.71,0.33,-13.2,2,5/4/2015,5/8/2015,-1.8,0.1,-1.9,7,4/28/2015,1.53,1.10,0.43,0.763
SMTC,Semtech Corporation,SMTC.1Q15,1300,1305,1Q15,2015/1F,11.7,05/28/2015,-13.2,0.28,0.27,-0.01,-1.8,4,5/27/2015,6/2/2015,-13.2,-0.6,-12.5,8,5/21/2015,0.29,0.27,0.02,-0.563
SNH,Senior Housing Properties Trust,SNH.1Q15,4800,4890,1Q15,2015/1F,61.1,05/06/2015,-1.3,0.22,0.18,-0.04,-2.0,3,5/5/2015,5/11/2015,-1.3,0.8,-2.1,2,4/29/2015,0.23,0.20,0.03,-1.222
ST,Sensata Technologies Holding PLC,ST.1Q15,1300,1315,1Q15,2015/1F,60.9,04/28/2015,-5.6,0.65,0.65,0.00,-0.3,2,4/27/2015,5/1/2015,-5.6,-0.1,-5.5,14,4/21/2015,0.68,0.63,0.05,0.009
SXT,Sensient Technologies Corporation,SXT.1Q15,2200,2205,1Q15,2015/1F,14.6,04/21/2015,1.1,0.73,0.76,0.04,-4.3,2,4/20/2015,4/24/2015,1.1,0.8,0.3,4,4/14/2015,0.76,0.68,0.08,0.438
SCI,Service Corporation International,SCI.1Q15,3400,3450,1Q15,2015/1F,26.1,04/30/2015,-1.4,0.28,0.32,0.04,-0.6,4,4/29/2015,5/5/2015,-1.4,-0.9,-0.5,3,4/23/2015,0.28,0.27,0.01,4.161
SERV,"ServiceMaster Global Holdings, Inc.",SERV.1Q15,3400,3450,1Q15,2015/1F,22.3,04/28/2015,0.5,0.28,0.33,0.05,0.0,2,4/27/2015,5/1/2015,0.5,-0.1,0.6,8,4/21/2015,0.31,0.21,0.10,0.555
