ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
CWEI,"Clayton Williams Energy, Inc.",CWEI.2Q16,2100,2110,2Q16,2016/2F,12.8,08/03/2016,40.7,-2.40,-2.82,-0.42,17.8,3,8/2/2016,8/8/2016,40.7,1.2,39.6,7,7/27/2016,-2.00,-2.76,0.76,-0.551
GRPN,"Groupon, Inc.",GRPN.2Q16,3200,3210,2Q16,2016/2F,31.8,07/28/2016,34.9,-0.02,-0.01,0.01,6.3,4,7/27/2016,8/2/2016,34.9,-0.5,35.4,17,7/21/2016,0.02,-0.06,0.08,0.136
GOGO,Gogo Inc.,GOGO.2Q16,4900,4915,2Q16,2016/2F,16.4,08/04/2016,34.4,-0.41,-0.51,-0.10,4.3,4,8/3/2016,8/9/2016,34.4,0.9,33.6,7,7/28/2016,-0.28,-0.54,0.26,-0.403
ENDP,Endo International Plc,ENDP.2Q16,2300,2310,2Q16,2016/2F,213.1,08/09/2016,32.9,0.74,0.86,0.12,6.6,2,8/8/2016,8/12/2016,32.9,0.1,32.8,21,8/2/2016,0.95,0.62,0.33,0.361
AMD,"Advanced Micro Devices, Inc.",AMD.2Q16,1300,1305,2Q16,2016/2F,90.6,07/22/2016,31.2,-0.08,-0.05,0.03,8.0,5,7/21/2016,7/27/2016,31.2,0.1,31.1,17,7/15/2016,-0.05,-0.13,0.08,0.416
S,Sprint Corp.,S.2Q16,4900,4915,2Q16,2016/1F,58.6,07/25/2016,29.9,-0.08,-0.08,0.00,0.3,1,7/22/2016,7/28/2016,29.9,-0.2,30.1,21,7/18/2016,-0.02,-0.18,0.16,0.029
XPO,"XPO Logistics, Inc.",XPO.2Q16,4600,4615,2Q16,2016/2F,38.9,08/04/2016,27.1,0.19,0.42,0.23,-3.8,4,8/3/2016,8/9/2016,27.1,0.9,26.3,18,7/28/2016,0.28,-0.14,0.42,0.537
GRUB,"GrubHub, Inc.",GRUB.2Q16,3500,3550,2Q16,2016/2F,47.0,07/28/2016,26.9,0.19,0.23,0.04,5.4,4,7/27/2016,8/2/2016,26.9,-0.5,27.4,18,7/21/2016,0.21,0.14,0.07,0.601
GNW,"Genworth Financial, Inc. Class A",GNW.2Q16,4800,4865,2Q16,2016/2F,25.6,08/03/2016,26.5,0.21,0.25,0.04,7.6,3,8/2/2016,8/8/2016,26.5,1.2,25.4,10,7/27/2016,0.24,0.16,0.08,0.535
DDD,3D Systems Corporation,DDD.2Q16,1300,1315,2Q16,2016/2F,55.4,08/03/2016,26.1,0.06,0.12,0.06,-1.7,3,8/2/2016,8/8/2016,26.1,1.2,24.9,17,7/27/2016,0.08,0.02,0.06,1.043
