ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
DDD,3D Systems Corporation,DDD.2Q15,1300,1315,2Q15,2015/2F,62.7,08/06/2015,19.9,0.08,0.03,-0.05,-0.7,4,8/5/2015,8/11/2015,19.9,-0.7,20.7,22,7/30/2015,0.14,0.05,0.09,-0.601
MMM,3M Company,MMM.2Q15,1200,1255,2Q15,2015/2F,368.1,07/23/2015,-2.8,2.00,2.02,0.02,-1.8,4,7/22/2015,7/28/2015,-2.8,-1.1,-1.7,14,7/16/2015,2.02,1.94,0.08,0.293
AOS,A. O. Smith Corporation,AOS.2Q15,1200,1230,2Q15,2015/2F,34.4,07/23/2015,2.9,0.33,0.40,0.07,4.1,4,7/22/2015,7/28/2015,2.9,-1.1,3.9,12,7/16/2015,0.34,0.32,0.02,3.295
AIR,AAR CORP.,AIR.2Q15,1300,1330,2Q15,2014/4F,10.8,07/14/2015,-5.4,0.16,0.36,0.20,5.2,2,7/13/2015,7/17/2015,-5.4,1.1,-6.5,3,7/7/2015,0.18,0.15,0.03,6.667
AAN,"Aaron's, Inc.",AAN.2Q15,4800,4830,2Q15,2015/2F,18.7,07/24/2015,-5.9,0.45,0.61,0.16,0.7,5,7/23/2015,7/29/2015,-5.9,0.3,-6.2,7,7/17/2015,0.50,0.43,0.07,2.250
ABT,Abbott Laboratories,ABT.2Q15,2300,2325,2Q15,2015/2F,225.5,07/22/2015,1.9,0.50,0.52,0.02,0.4,3,7/21/2015,7/27/2015,1.9,-2.4,4.3,18,7/15/2015,0.51,0.50,0.01,1.684
ABBV,"AbbVie, Inc.",ABBV.2Q15,2300,2305,2Q15,2015/2F,718.1,07/24/2015,0.4,1.06,1.08,0.02,-2.3,5,7/23/2015,7/29/2015,0.4,0.3,0.1,14,7/17/2015,1.17,0.99,0.18,0.115
ANF,Abercrombie & Fitch Co. Class A,ANF.2Q15,3500,3525,2Q15,2015/2F,59.2,08/26/2015,15.0,-0.04,0.12,0.16,0.7,3,8/25/2015,8/31/2015,15.0,5.5,9.5,30,8/19/2015,0.19,-0.21,0.40,0.402
ABMD,"ABIOMED, Inc.",ABMD.2Q15,2300,2325,2Q15,2015/1F,41.1,08/04/2015,23.6,0.08,0.20,0.12,11.2,2,8/3/2015,8/7/2015,23.6,-1.0,24.6,9,7/28/2015,0.11,0.05,0.06,1.963
ACHC,"Acadia Healthcare Company, Inc.",ACHC.2Q15,3350,3365,2Q15,2015/2F,50.3,08/05/2015,5.9,0.52,0.57,0.05,4.7,3,8/4/2015,8/10/2015,5.9,0.5,5.3,15,7/29/2015,0.55,0.49,0.06,0.786
AKR,Acadia Realty Trust,AKR.2Q15,4800,4890,2Q15,2015/2F,10.9,07/29/2015,2.2,0.31,0.30,-0.01,8.7,3,7/28/2015,8/3/2015,2.2,0.3,1.9,3,7/22/2015,0.39,0.16,0.23,-0.033
ACN,Accenture Plc Class A,ACN.2Q15,3300,3308,2Q15,2015/3F,209.2,06/25/2015,-1.0,1.22,1.30,0.08,3.1,4,6/24/2015,6/30/2015,-1.0,-2.2,1.1,1,6/18/2015,1.25,1.14,0.11,0.762
ARAY,Accuray Incorporated,ARAY.2Q15,2300,2325,2Q15,2015/4F,11.4,08/21/2015,9.9,-0.05,-0.07,-0.02,-0.4,5,8/20/2015,8/26/2015,9.9,-4.7,14.6,8,8/14/2015,-0.04,-0.09,0.05,-0.325
ACIW,"ACI Worldwide, Inc.",ACIW.2Q15,3300,3310,2Q15,2015/2F,13.2,07/30/2015,5.2,0.07,0.26,0.19,8.3,4,7/29/2015,8/4/2015,5.2,-0.6,5.8,7,7/23/2015,0.14,0.03,0.11,1.697
ACOR,"Acorda Therapeutics, Inc.",ACOR.2Q15,2300,2320,2Q15,2015/2F,20.1,07/30/2015,2.2,-0.09,0.02,0.11,2.6,4,7/29/2015,8/4/2015,2.2,-0.6,2.9,9,7/23/2015,0.13,-0.16,0.29,0.379
ATVI,"Activision Blizzard, Inc.",ATVI.2Q15,1400,1435,2Q15,2015/2F,130.7,08/05/2015,12.2,0.08,0.13,0.05,14.0,3,8/4/2015,8/10/2015,12.2,0.5,11.7,20,7/29/2015,0.10,0.06,0.04,1.267
ATU,Actuant Corporation Class A,ATU.2Q15,1200,1210,2Q15,2015/3F,13.5,06/17/2015,-3.2,0.52,0.63,0.11,-0.6,3,6/16/2015,6/22/2015,-3.2,1.3,-4.4,1,6/10/2015,0.56,0.49,0.07,1.536
AYI,"Acuity Brands, Inc.",AYI.2Q15,1200,1235,2Q15,2015/3F,65.8,07/01/2015,5.1,1.34,1.37,0.03,-0.3,3,6/30/2015,7/6/2015,3.9,0.2,3.7,14,6/24/2015,1.43,1.27,0.16,0.183
