ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
LOCK,"LifeLock, Inc.",LOCK.3Q15,3200,3205,3Q15,2015/3F,32.3,10/29/2015,47.1,0.25,0.28,0.03,3.1,4,10/28/2015,11/3/2015,47.1,0.9,46.1,7,10/22/2015,0.25,0.23,0.02,1.643
ECHO,"Echo Global Logistics, Inc",ECHO.3Q15,4600,4630,3Q15,2015/3F,11.5,10/29/2015,41.8,0.31,0.34,0.03,0.3,4,10/28/2015,11/3/2015,41.8,0.9,40.9,11,10/22/2015,0.37,0.28,0.09,0.333
CSTM,Constellium NV Class A,CSTM.3Q15,3200,3205,3Q15,2015/3F,10.7,11/05/2015,38.9,0.04,-0.47,-0.51,1.4,4,11/4/2015,11/10/2015,38.9,-0.9,39.8,8,10/29/2015,0.14,-0.09,0.23,-2.205
ANF,Abercrombie & Fitch Co. Class A,ANF.3Q15,3500,3525,3Q15,2015/3F,57.0,11/20/2015,37.1,0.22,0.48,0.26,1.8,5,11/19/2015,11/25/2015,37.1,0.5,36.6,30,11/13/2015,0.40,0.07,0.33,0.789
SSTK,"Shutterstock, Inc.",SSTK.3Q15,3300,3320,3Q15,2015/3F,25.7,11/05/2015,34.3,0.27,0.28,0.01,0.8,4,11/4/2015,11/10/2015,34.3,-0.9,35.2,8,10/29/2015,0.31,0.25,0.06,0.168
STMP,Stamps.com Inc.,STMP.3Q15,3300,3320,3Q15,2015/3F,21.0,11/06/2015,31.1,0.86,1.14,0.28,8.1,5,11/5/2015,11/11/2015,31.1,-1.2,32.3,5,10/30/2015,0.92,0.72,0.20,1.383
MDAS,"MedAssets, Inc.",MDAS.3Q15,3300,3305,3Q15,2015/3F,14.2,11/02/2015,29.5,0.28,0.32,0.04,1.5,1,10/30/2015,11/5/2015,29.5,1.1,28.4,21,10/26/2015,0.30,0.25,0.05,0.832
TALO,"Talos Energy, Inc.",TALO.3Q15,2100,2110,3Q15,2015/3F,15.0,11/03/2015,29.1,0.57,-8.51,-9.08,-0.7,2,11/2/2015,11/6/2015,29.1,-0.2,29.2,14,10/27/2015,0.96,-15.89,16.85,-0.539
SLCA,"U.S. Silica Holdings, Inc.",SLCA.3Q15,1100,1125,3Q15,2015/3F,47.1,10/28/2015,28.8,-0.02,-0.03,-0.01,0.1,3,10/27/2015,11/2/2015,28.8,2.0,26.9,14,10/21/2015,0.03,-0.12,0.15,-0.043
RYAM,Rayonier Advanced Materials Inc,RYAM.3Q15,2200,2210,3Q15,2015/3F,12.0,10/29/2015,27.1,0.44,0.78,0.34,5.1,4,10/28/2015,11/3/2015,27.1,0.9,26.1,4,10/22/2015,0.51,0.39,0.12,2.811
