ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp,
LECO,"Lincoln Electric Holdings, Inc.",LECO.1Q14,1200,1210,1Q14,2014/1F,24.7,04/23/2014,-5.1,0.90,0.91,0.01,-5.2,3,4/22/2014,4/28/2014,-5.1,-0.7,-4.3,9,4/16/2014,0.98,0.84,0.14,0.095,
EHC,Encompass Health Corporation,EHC.1Q14,3350,3360,1Q14,2014/1F,28.3,04/29/2014,1.4,0.49,0.48,-0.01,-0.3,2,4/28/2014,5/2/2014,1.4,0.7,0.7,13,4/22/2014,0.51,0.44,0.07,-0.095,
CXO,Concho Resources Inc.,CXO.1Q14,2100,2105,1Q14,2014/1F,156.7,05/12/2014,-2.8,0.98,1.01,0.03,4.8,1,5/9/2014,5/15/2014,-2.8,-0.5,-2.3,25,5/5/2014,1.13,0.84,0.29,0.095,
STT,State Street Corporation,STT.1Q14,4800,4810,1Q14,2014/1F,224.6,04/25/2014,-1.8,1.00,0.99,-0.01,-1.9,5,4/24/2014,4/30/2014,-1.8,0.2,-1.9,20,4/18/2014,1.03,0.95,0.09,-0.094,
MWV,MeadWestvaco Corporation,MWV.1Q14,2200,2235,1Q14,2014/1F,70.0,04/30/2014,4.5,0.24,0.23,-0.01,-2.7,3,4/29/2014,5/5/2014,4.5,0.4,4.1,9,4/23/2014,0.31,0.21,0.10,-0.094,
AXLL,Axiall Corporation,AXLL.1Q14,2200,2210,1Q14,2014/1F,33.7,05/06/2014,-5.7,-0.05,-0.08,-0.03,-4.9,2,5/5/2014,5/9/2014,-5.7,-0.4,-5.4,9,4/29/2014,0.15,-0.18,0.33,-0.093,
HPY,"Heartland Payment Systems, Inc.",HPY.1Q14,3200,3205,1Q14,2014/1F,29.8,04/30/2014,5.9,0.51,0.52,0.01,0.0,3,4/29/2014,5/5/2014,5.9,0.4,5.5,17,4/23/2014,0.55,0.48,0.07,0.092,
FRC,First Republic Bank,FRC.1Q14,4800,4810,1Q14,2014/1F,56.0,04/16/2014,-0.8,0.72,0.73,0.01,2.4,3,4/15/2014,4/21/2014,-0.9,1.6,-2.5,19,4/9/2014,0.77,0.65,0.12,0.092,
CCEP,Coca-Cola European Partners Plc,CCEP.1Q14,2400,2420,1Q14,2014/1F,88.6,04/24/2014,1.1,0.44,0.45,0.00,-5.9,4,4/23/2014,4/29/2014,1.1,0.0,1.2,11,4/17/2014,0.46,0.41,0.05,0.092,
IPI,"Intrepid Potash, Inc.",IPI.1Q14,1100,1125,1Q14,2014/1F,4.9,05/01/2014,2.8,-0.02,-0.01,0.01,9.7,4,4/30/2014,5/6/2014,2.8,-0.9,3.6,12,4/24/2014,0.03,-0.05,0.08,0.092,
