ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp,
RAMP,"LiveRamp Holdings, Inc.",RAMP.1Q14,3300,3305,1Q14,2013/4F,14.4,05/15/2014,-22.0,0.20,-0.38,-0.58,0.1,4,5/14/2014,5/20/2014,-22.0,-0.8,-21.2,4,5/8/2014,0.20,0.19,0.01,-58.000,
AMBC,"Ambac Financial Group, Inc.",AMBC.1Q14,4800,4875,1Q14,2014/1F,17.6,05/13/2014,-1.3,0.95,3.75,2.80,7.0,2,5/12/2014,5/16/2014,-1.3,-1.1,-0.2,2,5/6/2014,1.01,0.89,0.12,23.333,
TCO,"Taubman Centers, Inc.",TCO.1Q14,4800,4890,1Q14,2014/1F,37.3,04/25/2014,-0.2,0.40,5.77,5.37,3.4,5,4/24/2014,4/30/2014,-0.2,0.2,-0.3,7,4/18/2014,0.50,0.23,0.27,19.904,
WRI,Weingarten Realty Investors,WRI.1Q14,4800,4890,1Q14,2014/1F,25.3,04/25/2014,0.3,0.14,0.49,0.35,0.6,5,4/24/2014,4/30/2014,0.3,0.2,0.1,2,4/18/2014,0.15,0.13,0.02,19.380,
LF,"LeapFrog Enterprises, Inc. Class A",LF.1Q14,1400,1435,1Q14,2013/4F,6.4,02/13/2014,-3.7,0.13,0.90,0.77,-13.3,4,2/12/2014,2/18/2014,-6.3,1.3,-7.5,1,2/6/2014,0.17,0.11,0.06,12.833,
SNX,SYNNEX Corporation,SNX.1Q14,3250,3265,1Q14,2014/1F,17.4,04/04/2014,15.2,0.94,1.25,0.31,9.5,5,4/3/2014,4/9/2014,15.2,-1.0,16.2,9,3/28/2014,0.95,0.92,0.03,10.411,
KFN,KKR Financial Holdings LLC,KFN.1Q14,4800,4890,1Q14,2014/1F,14.1,04/24/2014,-1.5,0.24,0.49,0.25,2.3,4,4/23/2014,4/29/2014,-1.5,0.0,-1.5,3,4/17/2014,0.25,0.22,0.03,9.165,
AIV,Apartment Investment and Management Company Class A,AIV.1Q14,4800,4890,1Q14,2014/1F,62.7,05/02/2014,2.1,0.05,0.45,0.40,4.1,5,5/1/2014,5/7/2014,2.1,-0.3,2.4,4,4/25/2014,0.07,0.02,0.05,7.405,
WTM,White Mountains Insurance Group Ltd,WTM.1Q14,4800,4855,1Q14,2014/1F,14.5,04/28/2014,1.3,7.08,15.56,8.48,2.1,1,4/25/2014,5/1/2014,1.3,1.0,0.2,2,4/21/2014,7.65,6.50,1.15,7.379,
MBI,MBIA Inc.,MBI.1Q14,4800,4875,1Q14,2014/1F,27.1,05/13/2014,-5.3,0.14,1.32,1.19,4.8,2,5/12/2014,5/16/2014,-5.3,-1.1,-4.2,2,5/6/2014,0.22,0.05,0.17,6.971,
IT,"Gartner, Inc.",IT.1Q14,3200,3205,1Q14,2014/1F,51.1,05/01/2014,4.8,0.37,0.44,0.07,3.1,4,4/30/2014,5/6/2014,4.8,-0.9,5.6,10,4/24/2014,0.38,0.37,0.01,6.900,
HLF,Herbalife Nutrition Ltd.,HLF.1Q14,3250,3260,1Q14,2014/1F,266.8,04/29/2014,1.9,0.65,0.75,0.10,2.1,2,4/28/2014,5/2/2014,1.9,0.7,1.2,3,4/22/2014,0.66,0.64,0.02,6.667,
MPWR,"Monolithic Power Systems, Inc.",MPWR.1Q14,1300,1305,1Q14,2014/1F,23.0,04/25/2014,-2.6,0.26,0.39,0.13,-0.1,5,4/24/2014,4/30/2014,-2.6,0.2,-2.8,9,4/18/2014,0.27,0.25,0.02,6.650,
NRF,NorthStar Realty Finance Corp.,NRF.1Q14,4800,4890,1Q14,2014/1F,49.7,05/09/2014,0.4,0.38,-0.69,-1.07,7.6,5,5/8/2014,5/14/2014,0.4,0.6,-0.2,2,5/2/2014,0.47,0.29,0.18,-5.944,
WETF,"WisdomTree Investments, Inc.",WETF.1Q14,4800,4845,1Q14,2014/1F,39.2,05/02/2014,-6.2,0.11,0.22,0.11,-1.1,5,5/1/2014,5/7/2014,-6.2,-0.3,-5.9,9,4/25/2014,0.12,0.10,0.02,5.567,
SLG,SL Green Realty Corp.,SLG.1Q14,4800,4890,1Q14,2014/1F,58.5,04/24/2014,1.5,0.33,1.53,1.20,16.7,4,4/23/2014,4/29/2014,1.5,0.0,1.5,5,4/17/2014,0.43,0.21,0.22,5.532,
SKX,"Skechers U.S.A., Inc. Class A",SKX.1Q14,2400,2440,1Q14,2014/1F,41.2,04/23/2014,7.6,0.11,0.20,0.09,7.4,3,4/22/2014,4/28/2014,7.6,-0.7,8.3,6,4/16/2014,0.12,0.10,0.02,5.514,
BNNY,"Annie's, Inc.",BNNY.1Q14,2400,2410,1Q14,2013/4F,12.9,05/30/2014,-13.8,0.35,0.29,-0.06,-1.6,5,5/29/2014,6/4/2014,-13.8,0.4,-14.2,9,5/23/2014,0.35,0.34,0.01,-5.500,
BIOS,"BioScrip, Inc.",BIOS.1Q14,3350,3355,1Q14,2014/1F,6.3,05/09/2014,18.6,-0.06,-0.17,-0.11,8.6,5,5/8/2014,5/14/2014,18.6,0.6,17.9,5,5/2/2014,-0.05,-0.07,0.02,-5.500,
EA,Electronic Arts Inc.,EA.1Q14,1400,1435,1Q14,2013/4F,421.9,05/07/2014,25.9,0.11,0.48,0.37,12.5,3,5/6/2014,5/12/2014,25.9,1.6,24.3,23,4/30/2014,0.15,0.08,0.07,5.430,
RDEN,"Elizabeth Arden, Inc.",RDEN.1Q14,3500,3540,1Q14,2014/3F,6.2,05/13/2014,-28.1,0.00,-0.84,-0.84,-17.9,2,5/12/2014,5/16/2014,-28.1,-1.1,-27.0,9,5/6/2014,0.07,-0.09,0.16,-5.266,
SBGI,"Sinclair Broadcast Group, Inc. Class A",SBGI.1Q14,3400,3410,1Q14,2014/1F,63.5,05/07/2014,-0.7,0.17,0.27,0.10,2.3,3,5/6/2014,5/12/2014,-0.7,1.6,-2.3,5,4/30/2014,0.17,0.15,0.02,5.100,
GWRE,"Guidewire Software, Inc.",GWRE.1Q14,3300,3308,1Q14,2014/3F,25.3,06/03/2014,4.1,0.03,0.11,0.08,4.0,2,6/2/2014,6/6/2014,4.1,1.4,2.7,6,5/27/2014,0.03,0.01,0.02,5.084,
DRE,Duke Realty Corporation,DRE.1Q14,4800,4890,1Q14,2014/1F,53.5,05/01/2014,-1.5,-0.06,0.01,0.07,6.7,4,4/30/2014,5/6/2014,-1.5,-0.9,-0.7,2,4/24/2014,-0.06,-0.07,0.01,5.008,
MASI,Masimo Corporation,MASI.1Q14,2300,2325,1Q14,2014/1F,31.2,05/01/2014,-12.9,0.28,0.39,0.11,-2.9,4,4/30/2014,5/6/2014,-12.9,-0.9,-12.0,7,4/24/2014,0.30,0.28,0.02,4.909,
GEOS,Geospace Technologies Corporation,GEOS.1Q14,3100,3110,1Q14,2014/2F,4.9,05/08/2014,-12.0,1.11,0.82,-0.29,4.3,4,5/7/2014,5/13/2014,-12.0,1.0,-13.0,2,5/1/2014,1.14,1.08,0.06,-4.833,
DLB,"Dolby Laboratories, Inc. Class A",DLB.1Q14,1300,1315,1Q14,2014/2F,22.4,04/30/2014,-10.7,0.49,0.73,0.24,13.8,3,4/29/2014,5/5/2014,-10.7,0.4,-11.1,6,4/23/2014,0.52,0.47,0.05,4.733,
MANH,"Manhattan Associates, Inc.",MANH.1Q14,3300,3310,1Q14,2014/1F,29.8,04/23/2014,-8.7,0.21,0.26,0.05,6.7,3,4/22/2014,4/28/2014,-8.7,-0.7,-8.0,3,4/16/2014,0.22,0.21,0.01,4.667,
PSA,Public Storage,PSA.1Q14,4800,4890,1Q14,2014/1F,153.8,05/02/2014,-1.7,1.11,1.01,-0.10,-0.3,5,5/1/2014,5/7/2014,-1.7,-0.3,-1.4,5,4/25/2014,1.12,1.10,0.02,-4.617,
BSX,Boston Scientific Corporation,BSX.1Q14,2300,2325,1Q14,2014/1F,278.7,04/29/2014,-5.7,0.11,0.20,0.09,-1.2,2,4/28/2014,5/2/2014,-5.7,0.7,-6.4,14,4/22/2014,0.12,0.10,0.02,4.567,
JW.A,"John Wiley & Sons, Inc. Class A",JW.A.1Q14,3400,3425,1Q14,2013/4F,13.6,06/17/2014,4.4,0.68,0.77,0.09,2.7,2,6/16/2014,6/20/2014,4.4,1.3,3.1,2,6/10/2014,0.69,0.67,0.02,4.500,
BEE,"Strategic Hotels & Resorts, Inc.",BEE.1Q14,4800,4890,1Q14,2014/1F,15.3,05/08/2014,0.3,0.21,0.25,0.05,-4.5,4,5/7/2014,5/13/2014,0.3,1.0,-0.7,2,5/1/2014,0.21,0.20,0.01,4.500,
CALL,magicJack VocalTec Ltd.,CALL.1Q14,3300,3310,1Q14,2014/1F,7.4,05/13/2014,-20.8,0.49,0.53,0.05,-5.0,2,5/12/2014,5/16/2014,-20.8,-1.1,-19.7,2,5/6/2014,0.49,0.48,0.01,4.500,
COTY,Coty Inc. Class A,COTY.1Q14,2400,2435,1Q14,2014/3F,20.1,05/14/2014,4.9,0.09,0.22,0.13,0.9,3,5/13/2014,5/19/2014,4.9,-0.6,5.6,12,5/7/2014,0.11,0.08,0.03,4.321,
AIR,AAR CORP.,AIR.1Q14,1300,1330,1Q14,2013/3F,13.1,03/21/2014,-15.9,0.49,0.45,-0.04,-9.8,5,3/20/2014,3/26/2014,-15.9,-1.2,-14.7,1,3/14/2014,0.50,0.49,0.01,-4.250,
TROX,Tronox Ltd. Class A,TROX.1Q14,2200,2210,1Q14,2014/1F,7.4,05/08/2014,-1.5,-0.27,-0.51,-0.24,-6.0,4,5/7/2014,5/13/2014,-1.5,1.0,-2.5,3,5/1/2014,-0.24,-0.30,0.06,-4.053,
TAP,Molson Coors Brewing Company Class B,TAP.1Q14,2400,2425,1Q14,2014/1F,78.9,05/07/2014,6.5,0.35,0.55,0.20,0.4,3,5/6/2014,5/12/2014,6.5,1.6,4.9,5,4/30/2014,0.38,0.33,0.05,4.000,
HURN,Huron Consulting Group Inc.,HURN.1Q14,3200,3205,1Q14,2014/1F,9.6,04/30/2014,8.7,0.60,1.10,0.50,14.1,3,4/29/2014,5/5/2014,8.7,0.4,8.3,7,4/23/2014,0.65,0.52,0.13,3.857,
INFN,Infinera Corporation,INFN.1Q14,1300,1320,1Q14,2014/1F,23.3,04/24/2014,1.2,-0.01,0.03,0.04,1.6,4,4/23/2014,4/29/2014,1.2,0.0,1.3,9,4/17/2014,0.00,-0.01,0.01,3.700,
RGP,Regency Energy Partners LP,RGP.1Q14,3100,3130,1Q14,2014/1F,20.1,05/07/2014,2.1,0.04,0.00,-0.04,21.2,3,5/6/2014,5/12/2014,2.1,1.6,0.5,8,4/30/2014,0.04,0.03,0.01,-3.694,
WPC,W. P. Carey Inc.,WPC.1Q14,4800,4890,1Q14,2014/1F,65.0,05/08/2014,-0.9,0.22,1.18,0.96,10.1,4,5/7/2014,5/13/2014,-0.9,1.0,-1.9,2,5/1/2014,0.35,0.09,0.26,3.692,
UIS,Unisys Corporation,UIS.1Q14,3300,3308,1Q14,2014/1F,11.5,04/23/2014,-16.3,0.39,-1.15,-1.54,-7.8,3,4/22/2014,4/28/2014,-16.3,-0.7,-15.6,4,4/16/2014,0.59,0.15,0.44,-3.506,
CVT,"Cvent, Inc.",CVT.1Q14,3300,3310,1Q14,2014/1F,9.9,05/15/2014,4.9,-0.01,0.06,0.07,1.7,4,5/14/2014,5/20/2014,4.9,-0.8,5.7,5,5/8/2014,0.00,-0.02,0.02,3.500,
NYT,New York Times Company Class A,NYT.1Q14,3400,3420,1Q14,2014/1F,16.5,04/24/2014,-2.8,0.04,0.07,0.04,1.5,4,4/23/2014,4/29/2014,-2.8,0.0,-2.8,4,4/17/2014,0.04,0.03,0.01,3.500,
AMBA,"Ambarella, Inc.",AMBA.1Q14,1300,1305,1Q14,2014/1F,78.6,06/04/2014,8.4,0.22,0.25,0.03,2.3,3,6/3/2014,6/9/2014,8.4,1.6,6.8,6,5/28/2014,0.22,0.21,0.01,3.429,
FMC,FMC Corporation,FMC.1Q14,2200,2215,1Q14,2014/1F,61.0,05/07/2014,-1.1,1.00,0.82,-0.17,-6.4,3,5/6/2014,5/12/2014,-3.3,1.6,-4.9,12,4/30/2014,0.85,0.80,0.05,-3.344,
ASGN,ASGN Inc,ASGN.1Q14,3200,3235,1Q14,2014/1F,18.4,04/24/2014,-6.2,0.39,0.42,0.03,0.7,4,4/23/2014,4/29/2014,-6.2,0.0,-6.2,6,4/17/2014,0.39,0.38,0.01,3.333,
XRX,Xerox Corporation,XRX.1Q14,1300,1345,1Q14,2014/1F,98.9,04/22/2014,2.4,0.95,1.08,0.13,-0.9,2,4/21/2014,4/25/2014,2.4,-0.5,2.9,9,4/15/2014,0.96,0.92,0.04,3.269,
LPI,"Laredo Petroleum, Inc.",LPI.1Q14,2100,2105,1Q14,2014/1F,20.9,05/08/2014,-5.1,0.14,0.49,0.35,1.2,4,5/7/2014,5/13/2014,-5.1,1.0,-6.1,17,5/1/2014,0.19,0.08,0.11,3.226,
ABG,"Asbury Automotive Group, Inc.",ABG.1Q14,3500,3540,1Q14,2014/1F,21.6,04/23/2014,8.9,0.86,1.03,0.17,3.2,3,4/22/2014,4/28/2014,8.9,-0.7,9.6,11,4/16/2014,0.88,0.83,0.05,3.182,
BKH,Black Hills Corporation,BKH.1Q14,4700,4705,1Q14,2014/1F,17.1,05/02/2014,1.4,0.92,1.08,0.16,16.4,5,5/1/2014,5/7/2014,1.4,-0.3,1.7,2,4/25/2014,0.95,0.90,0.05,3.139,
LOPE,"Grand Canyon Education, Inc.",LOPE.1Q14,3200,3205,1Q14,2014/1F,20.7,05/01/2014,3.6,0.52,0.56,0.04,1.3,4,4/30/2014,5/6/2014,3.6,-0.9,4.4,11,4/24/2014,0.52,0.51,0.01,3.127,
FSLR,"First Solar, Inc.",FSLR.1Q14,1300,1310,1Q14,2014/1F,274.5,05/07/2014,-5.4,0.52,1.10,0.58,13.5,3,5/6/2014,5/12/2014,-5.4,1.6,-7.0,15,4/30/2014,0.58,0.39,0.19,3.121,
AZPN,"Aspen Technology, Inc.",AZPN.1Q14,3300,3310,1Q14,2014/3F,27.3,04/30/2014,17.0,0.19,0.28,0.09,11.5,3,4/29/2014,5/5/2014,17.0,0.4,16.6,7,4/23/2014,0.20,0.17,0.03,3.048,
KBR,"KBR, Inc.",KBR.1Q14,3100,3115,1Q14,2014/1F,43.4,06/19/2014,-10.1,0.37,-0.29,-0.66,-7.9,4,6/18/2014,6/24/2014,-10.1,-0.4,-9.7,16,6/12/2014,0.47,0.25,0.22,-3.010,
NOC,Northrop Grumman Corporation,NOC.1Q14,1300,1330,1Q14,2014/1F,314.4,04/23/2014,-0.6,2.15,2.63,0.48,0.0,3,4/22/2014,4/28/2014,-0.6,-0.7,0.1,20,4/16/2014,2.21,2.05,0.16,2.988,
KW,"Kennedy-Wilson Holdings, Inc.",KW.1Q14,4800,4885,1Q14,2014/1F,10.1,05/08/2014,8.3,-0.09,0.12,0.21,49.6,4,5/7/2014,5/13/2014,8.3,1.0,7.3,4,5/1/2014,-0.05,-0.12,0.07,2.971,
TFCFA,"Twenty-First Century Fox, Inc. Class A",TFCFA.1Q14,3400,3430,1Q14,2014/3F,327.2,05/08/2014,8.7,0.35,0.47,0.12,2.8,4,5/7/2014,5/13/2014,8.7,1.0,7.7,21,5/1/2014,0.37,0.33,0.04,2.968,
TTEK,"Tetra Tech, Inc.",TTEK.1Q14,3100,3120,1Q14,2014/2F,13.7,05/01/2014,-10.7,0.39,0.48,0.09,-7.5,4,4/30/2014,5/6/2014,-10.7,-0.9,-9.9,9,4/24/2014,0.40,0.37,0.03,2.963,
THRM,Gentherm Incorporated,THRM.1Q14,1200,1225,1Q14,2014/1F,19.2,05/01/2014,6.3,0.26,0.47,0.21,12.0,4,4/30/2014,5/6/2014,6.3,-0.9,7.2,3,4/24/2014,0.29,0.22,0.07,2.952,
KDP,Keurig Dr Pepper Inc.,KDP.1Q14,2400,2420,1Q14,2014/1F,29.3,04/23/2014,5.7,0.10,0.12,0.02,1.6,3,4/22/2014,4/28/2014,5.7,-0.7,6.5,15,4/16/2014,0.10,0.09,0.01,2.926,
EDR,"Education Realty Trust, Inc.",EDR.1Q14,4800,4890,1Q14,2014/1F,15.5,04/28/2014,0.2,0.08,0.30,0.22,5.9,1,4/25/2014,5/1/2014,0.2,1.0,-0.8,3,4/21/2014,0.11,0.03,0.08,2.889,
MMP,"Magellan Midstream Partners, L.P.",MMP.1Q14,3100,3130,1Q14,2014/1F,37.6,05/06/2014,1.3,0.67,1.07,0.40,21.5,2,5/5/2014,5/9/2014,1.3,-0.4,1.7,13,4/29/2014,0.75,0.61,0.14,2.862,
ROP,"Roper Technologies, Inc.",ROP.1Q14,1200,1255,1Q14,2014/1F,106.1,04/28/2014,6.8,1.35,1.46,0.11,1.2,1,4/25/2014,5/1/2014,6.8,1.0,5.8,10,4/21/2014,1.36,1.32,0.04,2.839,
SWK,"Stanley Black & Decker, Inc.",SWK.1Q14,1400,1430,1Q14,2014/1F,164.5,04/24/2014,2.9,0.96,1.07,0.11,1.5,4,4/23/2014,4/29/2014,2.9,0.0,2.9,13,4/17/2014,0.98,0.94,0.04,2.829,
ISIL,Intersil Corporation Class A,ISIL.1Q14,1300,1305,1Q14,2014/1F,16.2,05/01/2014,1.3,0.14,0.17,0.03,2.2,4,4/30/2014,5/6/2014,1.3,-0.9,2.1,12,4/24/2014,0.15,0.14,0.01,2.818,
WAT,Waters Corporation,WAT.1Q14,2300,2325,1Q14,2014/1F,87.5,04/29/2014,-7.7,1.11,0.92,-0.19,-3.8,2,4/28/2014,5/2/2014,-7.7,0.7,-8.4,15,4/22/2014,1.17,1.10,0.07,-2.782,
CAR,"Avis Budget Group, Inc.",CAR.1Q14,4800,4830,1Q14,2014/1F,85.5,05/08/2014,1.9,0.08,0.16,0.08,2.1,4,5/7/2014,5/13/2014,1.9,1.0,0.9,7,5/1/2014,0.09,0.06,0.03,2.762,
MCHP,Microchip Technology Incorporated,MCHP.1Q14,1300,1305,1Q14,2013/4F,134.9,05/07/2014,2.8,0.61,0.64,0.03,0.7,3,5/6/2014,5/12/2014,2.8,1.6,1.2,12,4/30/2014,0.62,0.61,0.01,2.750,
ASRT,"Assertio Therapeutics, Inc.",ASRT.1Q14,2300,2305,1Q14,2014/1F,13.9,05/09/2014,-10.4,0.06,0.30,0.25,83.2,5,5/8/2014,5/14/2014,-10.4,0.6,-11.0,2,5/2/2014,0.10,0.01,0.09,2.722,
IRF,International Rectifier Corporation,IRF.1Q14,1300,1305,1Q14,2014/3F,14.5,05/01/2014,-2.9,0.18,0.26,0.08,0.0,4,4/30/2014,5/6/2014,-2.9,-0.9,-2.1,7,4/24/2014,0.19,0.16,0.03,2.716,
WWW,"Wolverine World Wide, Inc.",WWW.1Q14,2400,2440,1Q14,2014/1F,29.1,04/29/2014,3.8,0.30,0.38,0.08,0.2,2,4/28/2014,5/2/2014,3.8,0.7,3.1,14,4/22/2014,0.32,0.29,0.03,2.704,
ATVI,"Activision Blizzard, Inc.",ATVI.1Q14,1400,1435,1Q14,2014/1F,305.4,05/07/2014,7.0,0.10,0.19,0.09,12.5,3,5/6/2014,5/12/2014,7.0,1.6,5.4,21,4/30/2014,0.12,0.09,0.03,2.669,
MTOR,"Meritor, Inc.",MTOR.1Q14,1200,1225,1Q14,2014/2F,22.5,05/01/2014,14.2,0.09,0.22,0.13,4.7,4,4/30/2014,5/6/2014,14.2,-0.9,15.1,10,4/24/2014,0.12,0.07,0.05,2.639,
YRCW,YRC Worldwide Inc.,YRCW.1Q14,4600,4615,1Q14,2014/1F,16.9,05/01/2014,-7.4,-1.45,-3.95,-2.50,3.1,4,4/30/2014,5/6/2014,-7.4,-0.9,-6.6,5,4/24/2014,-1.00,-1.98,0.98,-2.548,
ETFC,E*TRADE Financial Corporation,ETFC.1Q14,4800,4840,1Q14,2014/1F,136.6,04/24/2014,2.3,0.23,0.33,0.10,4.4,4,4/23/2014,4/29/2014,2.3,0.0,2.3,13,4/17/2014,0.24,0.20,0.04,2.547,
POST,"Post Holdings, Inc.",POST.1Q14,2400,2410,1Q14,2014/2F,38.5,05/09/2014,-7.5,0.22,-0.21,-0.43,-1.9,5,5/8/2014,5/14/2014,-7.5,0.6,-8.1,5,5/2/2014,0.34,0.17,0.17,-2.544,
FRX,"Forest Laboratories, Inc.",FRX.1Q14,2300,2310,1Q14,2013/4F,334.2,04/29/2014,2.2,0.44,0.87,0.43,13.6,2,4/28/2014,5/2/2014,2.2,0.7,1.5,21,4/22/2014,0.54,0.37,0.17,2.536,
CLMT,"Calumet Specialty Products Partners, L.P.",CLMT.1Q14,2200,2240,1Q14,2014/1F,6.1,05/07/2014,7.1,0.04,-0.76,-0.80,9.2,3,5/6/2014,5/12/2014,7.1,1.6,5.5,7,4/30/2014,0.14,-0.18,0.32,-2.500,
SNPS,"Synopsys, Inc.",SNPS.1Q14,3300,3310,1Q14,2014/2F,49.9,05/22/2014,1.5,0.60,0.65,0.05,0.9,4,5/21/2014,5/27/2014,2.0,1.4,0.6,8,5/15/2014,0.61,0.59,0.02,2.500,
CLB,Core Laboratories NV,CLB.1Q14,3100,3110,1Q14,2014/1F,36.2,04/24/2014,-11.4,1.45,1.38,-0.07,-7.1,4,4/23/2014,4/29/2014,-11.4,0.0,-11.4,11,4/17/2014,1.47,1.44,0.03,-2.485,
NUAN,"Nuance Communications, Inc.",NUAN.1Q14,3300,3310,1Q14,2014/2F,76.6,05/09/2014,-1.6,0.23,0.28,0.05,1.2,5,5/8/2014,5/14/2014,-1.6,0.6,-2.3,15,5/2/2014,0.24,0.22,0.02,2.485,
CZR,Caesars Entertainment Corporation,CZR.1Q14,3400,3445,1Q14,2014/1F,10.9,05/08/2014,-5.1,-1.33,-2.70,-1.37,-3.3,4,5/7/2014,5/13/2014,-5.1,1.0,-6.1,4,5/1/2014,-1.13,-1.68,0.55,-2.474,
TRN,"Trinity Industries, Inc.",TRN.1Q14,1200,1220,1Q14,2014/1F,57.2,04/30/2014,6.5,1.26,1.43,0.16,9.0,3,4/29/2014,5/5/2014,6.5,0.4,6.1,7,4/23/2014,1.32,1.25,0.06,2.470,
GAS,"AGL Resources, Inc.",GAS.1Q14,4700,4735,1Q14,2014/1F,37.9,04/29/2014,-0.2,1.85,2.86,1.01,35.8,2,4/28/2014,5/2/2014,-0.2,0.7,-0.9,3,4/22/2014,2.12,1.71,0.41,2.460,
BAH,Booz Allen Hamilton Holding Corporation Class A,BAH.1Q14,3200,3205,1Q14,2013/4F,22.0,05/21/2014,-2.9,0.31,0.33,0.02,0.0,3,5/20/2014,5/26/2014,-1.8,1.5,-3.3,10,5/14/2014,0.31,0.30,0.01,2.443,
TWI,"Titan International, Inc.",TWI.1Q14,1200,1220,1Q14,2014/1F,7.1,04/24/2014,-7.5,0.36,0.04,-0.32,-9.7,4,4/23/2014,4/29/2014,-7.5,0.0,-7.5,5,4/17/2014,0.43,0.30,0.13,-2.431,
TUP,Tupperware Brands Corporation,TUP.1Q14,1200,1250,1Q14,2014/1F,38.8,04/23/2014,-2.2,1.16,1.31,0.15,1.8,3,4/22/2014,4/28/2014,-2.2,-0.7,-1.5,9,4/16/2014,1.20,1.14,0.06,2.426,
SGMS,Scientific Games Corporation,SGMS.1Q14,3400,3445,1Q14,2014/1F,16.2,05/09/2014,-12.2,-0.03,-0.66,-0.63,-8.7,5,5/8/2014,5/14/2014,-12.2,0.6,-12.9,4,5/2/2014,0.05,-0.21,0.26,-2.420,
DK,Delek US Holdings Inc,DK.1Q14,2100,2120,1Q14,2014/1F,23.0,05/08/2014,-0.3,0.16,0.56,0.40,9.1,4,5/7/2014,5/13/2014,-0.3,1.0,-1.3,8,5/1/2014,0.25,0.08,0.17,2.381,
MRVL,Marvell Technology Group Ltd.,MRVL.1Q14,1300,1305,1Q14,2014/1F,81.6,05/23/2014,1.0,0.22,0.27,0.05,7.3,5,5/22/2014,5/28/2014,0.8,0.9,-0.1,26,5/16/2014,0.24,0.22,0.02,2.354,
PHH,PHH Corporation,PHH.1Q14,4800,4830,1Q14,2014/1F,15.3,05/08/2014,-4.5,0.22,-0.32,-0.54,-6.3,4,5/7/2014,5/13/2014,-4.5,1.0,-5.5,8,5/1/2014,0.37,0.14,0.23,-2.354,
SXT,Sensient Technologies Corporation,SXT.1Q14,2200,2205,1Q14,2014/1F,18.7,04/15/2014,2.7,0.66,0.71,0.05,1.8,2,4/14/2014,4/18/2014,2.4,1.9,0.5,3,4/8/2014,0.67,0.65,0.02,2.333,
AWHHF,"Allied World Assurance Company Holdings, AG",AWHHF.1Q14,4800,4860,1Q14,2014/1F,25.5,04/24/2014,3.3,0.73,1.28,0.55,10.0,4,4/23/2014,4/29/2014,3.3,0.0,3.3,10,4/17/2014,0.87,0.63,0.24,2.316,
V,Visa Inc. Class A,V.1Q14,4800,4830,1Q14,2014/2F,"1,173.1",04/25/2014,-3.2,0.55,0.63,0.08,-0.8,5,4/24/2014,4/30/2014,-3.2,0.2,-3.4,30,4/18/2014,0.57,0.53,0.04,2.313,
RH,RH,RH.1Q14,3500,3540,1Q14,2014/1F,76.0,06/12/2014,20.9,0.11,0.18,0.07,5.6,4,6/11/2014,6/17/2014,20.9,0.0,20.9,13,6/5/2014,0.12,0.09,0.03,2.282,
BG,Bunge Limited,BG.1Q14,2200,2225,1Q14,2014/1F,70.0,05/01/2014,-5.2,1.40,-0.12,-1.52,-9.5,4,4/30/2014,5/6/2014,-5.2,-0.9,-4.4,13,4/24/2014,1.77,1.10,0.67,-2.272,
EL,Estee Lauder Companies Inc. Class A,EL.1Q14,2400,2435,1Q14,2014/3F,234.0,05/02/2014,2.1,0.55,0.64,0.09,2.3,5,5/1/2014,5/7/2014,2.1,-0.3,2.4,21,4/25/2014,0.57,0.53,0.04,2.271,
AET,Aetna Inc.,AET.1Q14,3350,3355,1Q14,2014/1F,325.7,04/24/2014,2.2,1.53,1.98,0.45,2.7,4,4/23/2014,4/29/2014,2.2,0.0,2.3,19,4/17/2014,1.63,1.43,0.20,2.260,
GTI,GrafTech International Ltd,GTI.1Q14,1200,1235,1Q14,2014/1F,11.1,04/24/2014,-3.5,-0.04,0.01,0.05,3.3,4,4/23/2014,4/29/2014,-3.5,0.0,-3.5,4,4/17/2014,-0.02,-0.04,0.02,2.250,
WRB,W. R. Berkley Corporation,WRB.1Q14,4800,4855,1Q14,2014/1F,44.8,04/23/2014,4.9,0.80,1.00,0.20,7.4,3,4/22/2014,4/28/2014,4.9,-0.7,5.6,11,4/16/2014,0.86,0.77,0.09,2.220,
VRA,"Vera Bradley, Inc.",VRA.1Q14,2400,2440,1Q14,2014/1F,8.0,06/05/2014,-8.1,0.13,0.17,0.04,-4.2,4,6/4/2014,6/10/2014,-8.1,1.3,-9.4,10,5/29/2014,0.14,0.12,0.02,2.176,
GOGO,Gogo Inc.,GOGO.1Q14,4900,4915,1Q14,2014/1F,41.4,05/12/2014,8.9,-0.25,-0.20,0.05,2.1,1,5/9/2014,5/15/2014,8.9,-0.5,9.3,3,5/5/2014,-0.24,-0.26,0.02,2.173,
VRNT,Verint Systems Inc.,VRNT.1Q14,3300,3308,1Q14,2014/1F,13.7,06/05/2014,5.9,0.55,0.72,0.17,5.7,4,6/4/2014,6/10/2014,5.9,1.3,4.6,5,5/29/2014,0.60,0.52,0.08,2.172,
